state_name,state,county_name,county,cz,czname,kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_se,jail_pooled_pooled_p25,jail_pooled_pooled_p25_se,pooled_pooled_count,kfr_black_pooled_p25,kfr_black_pooled_p25_se,kfr_hisp_pooled_p25,kfr_hisp_pooled_p25_se,kfr_white_pooled_p25,kfr_white_pooled_p25_se,jail_black_pooled_p25,jail_black_pooled_p25_se,jail_hisp_pooled_p25,jail_hisp_pooled_p25_se,jail_white_pooled_p25,jail_white_pooled_p25_se,white_pooled_count,black_pooled_count,hisp_pooled_count,kfr_pooled_female_p25,kfr_pooled_female_p25_se,kfr_pooled_male_p25,kfr_pooled_male_p25_se,jail_pooled_female_p25,jail_pooled_female_p25_se,jail_pooled_male_p25,jail_pooled_male_p25_se,pooled_male_count,pooled_female_count,kfr_black_female_p25,kfr_black_female_p25_se,kfr_hisp_female_p25,kfr_hisp_female_p25_se,kfr_white_female_p25,kfr_white_female_p25_se,kfr_black_male_p25,kfr_black_male_p25_se,kfr_hisp_male_p25,kfr_hisp_male_p25_se,kfr_white_male_p25,kfr_white_male_p25_se,jail_black_female_p25,jail_black_female_p25_se,jail_hisp_female_p25,jail_hisp_female_p25_se,jail_white_female_p25,jail_white_female_p25_se,jail_black_male_p25,jail_black_male_p25_se,jail_hisp_male_p25,jail_hisp_male_p25_se,jail_white_male_p25,jail_white_male_p25_se,white_male_count,black_male_count,hisp_male_count,white_female_count,black_female_count,hisp_female_count
Texas,48,Galveston County,167,32000.0,Houston,0.40848082,0.0025412634,0.035935201,0.0020889456,29778.443,0.33593243,0.0039018726,0.44451889,0.0050569735,0.46411014,0.0043110191,0.064429455,0.0049385927,0.01957815,0.0026817762,0.025585365,0.0029548698,10218.902,8682.4863,9407.5508,0.41894686,0.0036425046,0.39773291,0.0035608918,0.0091980109,0.0014830575,0.065775819,0.0041244416,15030.152,14743.329,0.35270223,0.0052175852,0.45166171,0.0072877738,0.46756449,0.0059651826,0.31801191,0.0058611133,0.43714717,0.0067658271,0.46067041,0.0061702761,0.013427529,0.0023214535,0.0042068954,0.0012043664,0.010544316,0.0023973079,0.12332288,0.0098758973,0.036841977,0.0057431422,0.041217361,0.0051913531,5105.6265,4407.0332,4848.1001,5112.7866,4275.4907,4562.1113
Texas,48,Garza County,169,30802.0,Lubbock,0.42851636,0.012507578,0.034596529,0.0098467674,1031.5359,0.30239859,0.03811764,0.46247935,0.018813444,0.5011096,0.022411006,0.3428899,0.092673197,0.035205688,0.012625708,0.0061490759,0.0056303111,386.36792,85.383392,534.08453,0.39410716,0.01731915,0.456328,0.018236885,0.0063362275,0.005893792,0.067133792,0.018551277,561.29156,470.74008,0.36495999,0.058507729,0.41315705,0.025880653,0.46807042,0.031410795,,,0.4993847,0.02538898,0.53786397,0.030634671,,,-0.0008953638,0.0037001518,0.001972816,0.0059650964,,,0.079758994,0.031184828,0.017505161,0.014017771,213.09692,,287.82718,174.55241,34.203403,245.40054
Texas,48,Gillespie County,171,31303.0,Kerrville,0.46424899,0.0090172002,0.011596452,0.00420372,2533.269,,,0.41896859,0.013975977,0.52657068,0.011640039,,,0.008666683,0.0032321587,0.011470662,0.0051962254,1477.2772,,1058.1573,0.49593011,0.012821462,0.43519911,0.012262982,0.00096606935,0.00082206278,0.021298919,0.007553922,1249.1844,1283.5432,,,0.45774165,0.020734869,0.55515486,0.016493091,,,0.38254017,0.019427123,0.50348532,0.016661873,,,0.0046622311,0.0035796775,0.00097236258,0.0017383806,,,0.018746007,0.0099150613,0.021293687,0.0097710602,715.37347,,531.35266,761.5152,,528.26447
Texas,48,Glasscock County,173,32401.0,Big Spring,0.39547464,0.025663493,0.025947893,0.019600693,322.88205,,,0.48217112,0.043621015,0.60095447,0.050393093,,,0.055919662,0.0414933,-0.020705365,0.011874042,137.82455,,156.33675,0.38284111,0.030715846,0.41010267,0.03915824,0.0047358004,0.012255916,0.0425293,0.038945287,164.82649,158.58302,,,0.42705911,0.045999333,0.76154143,0.081676587,,,,,0.48744836,0.062504485,,,-0.0053981449,0.016132882,0.022737302,0.045271482,,,,,0.015223192,0.03388267,82.882004,,,54.125011,,84.943672
Texas,48,Goliad County,175,31101.0,Victoria,0.48718569,0.020006049,0.0074239126,0.0077066906,718.76233,0.35539505,0.068127729,0.46908203,0.027021907,0.54774129,0.026321489,,,0.0039966633,0.004285532,0.01923467,0.016226204,267.24329,49.212486,527.43994,0.45080262,0.02738299,0.51646852,0.028155008,0.0045349468,0.0074442783,0.016368289,0.014059576,390.71982,330.22952,,,0.44303757,0.037999753,0.50232446,0.039726175,,,0.48151985,0.039988693,0.58015734,0.034603354,,,0.0032728068,0.0077785612,0.004821795,0.012154331,,,0.005097419,0.0053530573,0.031575959,0.027188569,153.39464,,271.99628,115.39161,,255.20972
Texas,48,Gonzales County,177,31103.0,Gonzales,0.42258596,0.0076195984,0.034675498,0.0059659565,3813.4128,0.3182267,0.019295897,0.42772043,0.010066852,0.48963532,0.014454886,0.075034469,0.029930199,0.036514971,0.0073506404,0.025617115,0.0095487935,1049.5642,385.61063,2366.3982,0.41905019,0.010870369,0.42587331,0.010499223,0.011432475,0.0047808252,0.056513418,0.010139682,1979.2485,1834.3881,0.34834191,0.030043893,0.42048717,0.014486336,0.4794558,0.021394003,0.29039046,0.028724041,0.43287441,0.014180814,0.49974349,0.020374319,0.011496951,0.01315993,0.010963566,0.0045845946,0.026672211,0.010925491,0.13917857,0.058383174,0.060260873,0.016161166,0.026105195,0.012708442,535.20001,195.99364,1241.7808,514.08777,189.81665,1126.5831
Texas,48,Gray County,179,30904.0,Pampa,0.45541066,0.008221779,0.037633155,0.0072677932,2709.0183,0.3646113,0.02773655,0.50050372,0.015710533,0.47963247,0.01039708,0.091578141,0.038528685,0.027116336,0.0088809226,0.036356274,0.0087283263,1616.1263,165.57162,839.67426,0.44546768,0.011658696,0.46451199,0.011343333,0.025124865,0.0055509326,0.048935339,0.010808526,1393.7231,1315.295,0.33471873,0.033438567,0.46665701,0.022092327,0.47400263,0.01456243,0.40253019,0.03999377,0.52477872,0.021786615,0.48445982,0.014592052,0.037739962,0.038705502,0.0022663802,0.003247252,0.031595025,0.0069868518,0.13588469,0.057727847,0.04653763,0.018964378,0.038591921,0.012067383,812.04462,85.177582,449.43478,805.41876,80.833504,390.28482
Texas,48,Grayson County,181,33902.0,Sherman,0.40058738,0.0039256816,0.054551847,0.0037175447,14190.472,0.31644759,0.0088861622,0.4132112,0.011765021,0.43256512,0.0047891997,0.13584383,0.01676026,0.038039356,0.0088868858,0.040571395,0.0040576458,9825.3613,1474.6489,2059.3206,0.41408798,0.0055438788,0.3872731,0.0055119311,0.017477741,0.0028185844,0.093753546,0.0070880386,7257.5259,6932.6841,0.34015271,0.011833495,0.41453537,0.016348207,0.44623485,0.0069052768,0.29234827,0.013191923,0.41370392,0.017058227,0.41891268,0.0066218707,0.040551409,0.01080533,0.0057130521,0.0030700953,0.014218156,0.0032146152,0.25046948,0.029253177,0.078612007,0.024044881,0.066720605,0.0074840467,5043.8594,705.20929,1082.5922,4781.9214,768.06866,977.99792
Texas,48,Gregg County,183,33400.0,Longview,0.40444586,0.003376703,0.051239945,0.0032349324,15801.579,0.32104954,0.0050051883,0.45901361,0.0093608359,0.46352682,0.0050162394,0.092005499,0.0078702038,0.02341615,0.005762768,0.033781461,0.0042553404,7093.6323,5487.0972,3359.2849,0.41239873,0.0047446084,0.39688951,0.0047642854,0.010270359,0.0024264329,0.096321605,0.0062343385,7997.5396,7803.6245,0.32931164,0.0061149984,0.44997677,0.012556233,0.47211665,0.0069531268,0.31254134,0.007728179,0.46690884,0.013098318,0.45458972,0.0070448807,0.013154056,0.003852115,0.0067379628,0.0025051741,0.0082440777,0.0027874541,0.18336824,0.014326357,0.040117431,0.010510542,0.059763554,0.0077417288,3576.8962,2785.1582,1706.7692,3517.3982,2698.6025,1652.6046
Texas,48,Grimes County,185,31800.0,College Station,0.4015308,0.0073448396,0.032293968,0.0060589374,3828.9121,0.31994668,0.010643115,0.43976635,0.015965153,0.46944958,0.012291074,0.073532678,0.016845105,0.0060868328,0.0027803471,0.01236638,0.0052384697,1662.8087,1095.5778,907.63788,0.41056219,0.010311482,0.39311662,0.010400945,0.002867247,0.0018058124,0.06291157,0.011714729,1885.5021,1944.759,0.34231466,0.015267241,0.47102487,0.022677356,0.44962725,0.016713465,0.30009192,0.016671089,0.41347381,0.0216677,0.48926219,0.017529923,0.0024549831,0.0046203509,-0.00055424403,0.0023240917,0.0098691722,0.0060494468,0.15854509,0.035051767,0.011511546,0.0056977011,0.01766338,0.0090891877,787.34576,523.76031,462.86545,876.16571,571.77081,446.10291
