jail_hisp_pooled_n
478.0
321.0
37.0
976.0
1226.0
91.0
2198.0
131.0
78.0
608.0
707.0
3624.0
72.0
237.0
828.0
51.0
67.0
705.0
62.0
80.0
706.0
2950.0
590.0
440.0
3779.0
95.0
796.0
1742.0
3981.0
162.0
182.0
276.0
2287.0
1928.0
131.0
1133.0
84.0
180.0
29.0
33.0
615.0
92.0
33.0
""
47.0
88.0
5646.0
460.0
1216.0
309.0
962.0
804.0
345.0
36.0
29.0
997.0
74.0
52.0
59.0
247.0
138.0
1280.0
40.0
142.0
75.0
88.0
""
29.0
62.0
81.0
54.0
92.0
126.0
270.0
131.0
50.0
187.0
122.0
73.0
2015.0
175.0
245.0
78.0
378.0
2451.0
241.0
206.0
1078.0
1010.0
532.0
280.0
140.0
141.0
600.0
111.0
67.0
330.0
2169.0
20546.0
5720.0
4004.0
102901.0
15076.0
6565.0
3451.0
25380.0
3711.0
4886.0
359.0
1978.0
1081.0
444.0
1460.0
60.0
1365.0
1591.0
1429.0
49.0
59.0
44.0
629.0
228.0
186.0
670.0
129.0
1102.0
847.0
197.0
72.0
84.0
12153.0
150.0
531.0
108.0
1732.0
127.0
888.0
1381.0
104.0
180.0
1013.0
600.0
55.0
130.0
272.0
34.0
563.0
178.0
64.0
75.0
96.0
1182.0
208.0
48.0
2282.0
764.0
45.0
557.0
54.0
86.0
""
25.0
1159.0
5397.0
57.0
28253.0
112.0
106.0
69.0
1177.0
12037.0
2060.0
411.0
2486.0
194.0
166.0
1714.0
6030.0
265.0
111.0
116.0
164.0
1738.0
112.0
140.0
2198.0
37.0
132.0
707.0
29.0
81.0
677.0
1505.0
64.0
57.0
152.0
1121.0
554.0
3544.0
607.0
2414.0
1560.0
421.0
533.0
648.0
1670.0
2972.0
258.0
285.0
998.0
311.0
446.0
47.0
82.0
6597.0
665.0
2494.0
5503.0
139.0
133.0
109.0
115.0
155.0
98.0
2357.0
403.0
205.0
292.0
1873.0
1312.0
1190.0
518.0
33.0
217.0
25.0
114.0
23.0
211.0
21.0
53.0
213.0
481.0
251.0
735.0
86.0
270.0
439.0
1931.0
237.0
445.0
6434.0
447.0
202.0
22.0
550.0
174.0
436.0
2048.0
204.0
2315.0
222.0
4566.0
6181.0
2838.0
5485.0
158169.0
5421.0
62330.0
23921.0
2336.0
1142.0
267.0
66.0
220.0
""
64.0
702.0
267.0
82.0
255.0
6635.0
""
""
21107.0
2165.0
117.0
4667.0
21317.0
223.0
67.0
46.0
36.0
70.0
107.0
77.0
207.0
82.0
484.0
405.0
340.0
6471.0
64.0
149.0
410.0
338.0
230.0
57.0
473.0
351.0
73.0
921.0
405.0
251.0
517.0
1121.0
808.0
98.0
549.0
374.0
315.0
148.0
1275.0
183.0
149.0
103.0
488.0
624.0
246.0
321.0
2205.0
109.0
1599.0
3469.0
8138.0
628.0
90129.0
3691.0
449.0
129.0
3792.0
31.0
154.0
393.0
587.0
123.0
63.0
140.0
207.0
67.0
101.0
149.0
206.0
159.0
44.0
164.0
318.0
44.0
198.0
89.0
184.0
278.0
""
290.0
""
""
64.0
110.0
39.0
29.0
59.0
35.0
45.0
126.0
""
""
""
""
""
""
193.0
""
""
""
""
""
""
""
""
""
23.0
35.0
37.0
37.0
36.0
""
384.0
55.0
""
""
""
""
45.0
119.0
99.0
50.0
397.0
481.0
24.0
51.0
""
155.0
74.0
23.0
""
""
""
45.0
35.0
32.0
""
""
""
31.0
""
409.0
130.0
92.0
290.0
78.0
175.0
280.0
198.0
1543.0
87.0
35.0
128.0
531.0
""
""
""
""
868.0
1108.0
184.0
37.0
336.0
375.0
134.0
48.0
655.0
1193.0
56.0
918.0
102.0
108.0
3755.0
413.0
99.0
""
""
30.0
251.0
6301.0
30.0
26.0
5900.0
716.0
89.0
""
20.0
""
38.0
78.0
""
67.0
196.0
599.0
102.0
729.0
""
210.0
6718.0
29978.0
68.0
""
954.0
318.0
455.0
90.0
20.0
""
34.0
""
""
310.0
48.0
""
869.0
1553.0
3353.0
415.0
237.0
136.0
588.0
480.0
446.0
7313.0
383.0
256.0
32.0
""
391.0
91.0
781.0
410.0
687.0
87.0
513.0
1073.0
414.0
2257.0
184.0
3292.0
140.0
148.0
426.0
54805.0
1938.0
205.0
2421.0
89.0
4623.0
283.0
3730.0
8328.0
2432.0
1481.0
5546.0
