staycz_pooled_pooled_n
44449
20293
4656
60678
39394
6487
84353
6507
4347
30695
34706
123397
4419
12069
31843
3214
2926
30184
4024
6814
50610
61025
29550
18495
109094
5065
18981
48106
115708
9637
12054
18909
92052
58049
11223
47088
10666
14796
3578
4236
53336
10363
4535
1918
6854
8855
133765
27414
77537
18909
34895
52745
25537
1888
2718
51748
6792
2068
2105
16293
8673
60342
3646
8330
10906
9120
2954
5668
6590
9161
8431
12090
15022
18898
8904
3930
16985
10656
4962
114844
13533
15169
7852
16727
113020
12494
13357
24617
47153
25345
18868
7377
8395
44052
8084
3172
17006
36362
199912
55226
61308
323771
127265
56043
57091
166496
51844
119815
12496
32459
25196
22487
66808
5949
58884
76225
53029
3435
2858
3703
21605
10036
8621
12945
8669
39653
37797
8828
6965
6911
320771
13197
17247
7521
23965
13464
45875
32169
5250
11851
35219
19322
3322
5853
17968
4635
22492
14959
9363
9031
11880
92452
23743
5541
65382
55766
6435
38567
7026
13405
1926
5240
27325
214620
3685
388435
11365
11237
4706
31019
435541
42787
12857
53485
12238
5548
47668
120584
14623
8135
8867
10611
115395
11993
10603
180184
4567
14311
45727
3298
7614
20955
98759
4751
6831
16390
25957
27509
80607
10449
65047
38345
13295
19091
37248
55820
137059
15541
23399
30529
22476
36132
4956
5085
71427
65025
44064
225767
17823
18478
10903
16363
20752
11534
144311
32273
22787
33890
194651
71215
57622
34391
4099
19394
3324
11414
4133
26712
2013
11852
27707
13308
15370
36137
11989
11022
22142
92441
13042
25727
190620
30554
17959
3885
22277
12761
9255
81271
15539
66539
19712
54615
96807
91672
70096
816859
93491
440304
453963
54024
38611
13064
2650
22857
2388
5771
56409
24878
7634
20509
120084
571
463
343319
102991
9846
53398
257871
13334
4691
3804
2661
6113
9497
6046
7565
3295
15601
11688
26908
247319
4766
13973
23198
7258
8105
7296
11404
21906
3215
18071
23657
13945
19742
52589
29578
6597
37875
28991
20869
12266
50176
16750
8849
9986
18983
33638
13716
12815
38859
7520
51435
57933
150430
13817
656648
60868
11381
13194
223422
3636
7729
25451
37112
14315
4867
8599
6688
4690
5722
14193
10082
12623
2640
13875
21297
3088
16923
6774
10552
16555
2050
27374
248
1280
5965
4947
2343
1418
1069
2999
2842
12166
226
653
251
1822
736
1050
8141
1251
144
94
285
801
62
690
408
870
1321
3045
1983
2721
3855
1605
20019
4441
1934
1868
343
793
4992
10302
2843
2883
11771
18954
1500
3954
265
12641
8054
1458
933
553
1131
4724
2939
2168
1490
912
489
2455
278
9126
5753
6768
6605
6621
5516
5797
10584
53832
3857
3884
5492
18610
341
252
81
384
7544
12147
2202
1234
6327
7105
4177
2737
8659
19966
2378
28917
4274
4980
82779
4438
1695
162
755
1213
4423
67740
439
393
18586
2139
1005
785
597
1111
1748
969
371
2079
5116
5156
1400
7325
210
2738
45902
213710
2257
86
4459
5183
8587
4229
1057
579
2154
1106
1224
7114
2482
1926
15868
30497
53205
8349
5618
5752
5194
15833
11858
166493
15642
8901
3176
1742
27047
7115
41257
12628
25195
5355
12004
29337
14114
33447
7426
88855
5150
2749
10388
92535
8274
783
5223
161
12900
498
10445
30784
9132
3476
26717
6268
820
606
55
6144
5561
1745
945
3702
1954
2155
3610
16582
3937
1798
109514
4657
175141
3964
6092
115
33594
4157
1802
1450
2187
1843
20776
87914
55222
16846
35826
428412
48259
15600
7959
13242
2189
580
3475
5418
5199
5917
2301
3090
21261
865
1186
16039
2717
476
2330
5715
4986
26912
8643
38256
183453
310007
17727
39224
29101
22075
19708
5500
861
10506
5900
7100
112754
6131
15737
18156
8032
134
35805
443
49
357
510
277
1248
3331
1121
1540
1199
342
144
10395
2185
1924
10449
1338
4266
1752
3812
4726
1430
46
538
16025
108
1020
7822
7220
5434
757
1881
11200
12462
5857
1676
9551
98
81752
3489
10187
3976
14283
1054
486
3774
71839
1418
276271
3441
88196
19497
978
18471
24817
3072
14035
9756
12382
5387
49196
6994
645
15431
5393
1030
2841
129
47623
165544
19385
33996
1095
839
3277
4617
1828
10613
13805
636
850
22091
10731
25547
4120
15677
75212
70020
133038
36042
230716
198062
6101
2267
1328
43465
49153
349519
139267
203
1941
234633
30949
53461
1239134
8473
5021
8413
9378
55738
7508
21993
163649
6244
87470
6699
24704
34530
4703
700
15476
154
583
779
15350
8342
319102
