kid_natam_pooled_n
242
132
26
425
276
37
877
31
23
168
228
1383
35
98
227
36
2567
342
113
338
564
18733
998
138
1165
271
419
498
947
50
55
156
895
484
621
453
84
71
16
14
574
42
19
36
19
34
1312
3220
449
471
621
398
143
9
27
523
50
576
4
97
57
651
18
82
98
70
14
46
23
62
22
37
32
53
91
19
69
46
37
567
83
76
34
132
724
74
100
280
1531
589
180
38
36
290
78
49
122
264
1525
480
330
1599
856
386
447
1059
338
883
167
350
170
133
478
33
594
370
391
22
8
16
162
78
52
123
28
246
211
35
43
33
1697
70
84
51
193
75
258
273
38
49
465
275
10
67
92
38
333
2094
33
87
100
622
89
17
1209
1506
436
242
115
45
14
35
230
1659
23
2718
959
363
2669
290
4725
530
690
660
235
133
795
1757
683
658
147
180
594
62
52
830
21
64
175
18
29
131
553
22
16
51
86
125
472
51
704
223
99
230
230
471
743
81
156
188
158
138
19
24
356
351
258
1063
109
105
42
51
249
82
976
131
70
75
631
249
371
145
35
84
14
88
29
144
7
71
141
52
91
163
44
34
141
1727
95
107
2996
184
818
11
371
1161
40
496
33
252
125
197
274
367
454
8182
260
2107
2203
250
417
81
19
553
565
405
556
413
109
159
1733
0
76
2462
646
82
265
2075
54
1211
449
179
1321
1185
395
41
263
96
50
672
6268
275
2124
261
41
33
18
473
90
15
116
120
95
180
1155
1838
2552
511
716
400
55
553
72
40
56
84
150
86
47
223
28
252
421
2286
54
2815
292
232
112
1213
18
28
108
215
60
82
287
142
77
89
59
43
64
16
66
147
28
164
132
68
175
115
2297
104
97
55
29
13
16
0
10
16
1400
32
3
0
1880
32
4088
491
22
5
3
0
33
9
2540
13
392
43
249
1399
300
410
40
1192
167
83
1608
2562
285
419
5487
74
61
750
818
26
83
2
146
66
22
10
9
447
448
222
68
1205
1631
48
755
7
207
122
35
42
39
31
17
45
320
27
14
27
3422
2778
699
11
4076
466
171
44
1074
163
38
40
25
47
866
1763
518
108
65
1123
29
22
2
74
7
44
1045
14
12
339
76
18
0
7
6
13
9
7
14
44
81
36
136
3
51
565
3483
35
2
61
66
104
33
5
2
14
9
17
85
389
16
215
1494
1637
85
303
121
69
2726
112
1897
193
110
12
15
219
103
698
275
3177
114
233
8820
12879
4618
1127
24965
2614
157
1025
969
1385
41
109
2
252
2
86
225
100
31
312
135
25
13
2
49
78
43
16
85
42
73
34
98
33
13
848
53
1082
20
31
4
258
14
9
25
13
5
66
196
365
93
242
2655
520
88
59
97
18
4
25
54
191
37
7
14
184
3
11
279
40
7
37
50
48
205
81
486
2098
3359
356
384
236
326
2733
388
81
3875
845
3631
16658
3691
2042
280
3423
344
8602
492
224
2640
2786
1978
763
1568
841
1551
5486
2084
351
4020
2495
3566
1588
32
52
37
2728
3262
58
2
1380
1439
5
38
219
409
272
66
63
2664
785
141
46
193
1
314
29
70
120
3207
22
0
138
15368
770
22835
2115
7931
302
18
16489
14223
4429
63162
101
189
88
892
122
22
849
168
156
201
2
823
3175
302
1928
17
17
54
1173
11
167
1850
89
68
1706
2535
694
729
914
1672
1675
3728
2093
5075
1911
839
234
155
2433
2584
3397
3221
242
622
3954
1149
879
15869
1074
128
254
253
2783
2870
1750
3579
649
3302
578
3518
1257
110
16
1446
6
52
29
1655
1318
12598
