staycz_other_male_n
232.0
114.0
20.0
412.0
236.0
39.0
610.0
33.0
""
148.0
186.0
859.0
29.0
79.0
173.0
""
35.0
235.0
28.0
50.0
268.0
971.0
210.0
117.0
971.0
32.0
143.0
564.0
1582.0
51.0
75.0
129.0
930.0
908.0
66.0
414.0
35.0
77.0
""
20.0
191.0
46.0
""
""
27.0
43.0
989.0
185.0
425.0
130.0
343.0
317.0
117.0
""
""
369.0
33.0
25.0
""
80.0
50.0
459.0
20.0
41.0
53.0
49.0
""
34.0
36.0
36.0
40.0
48.0
63.0
101.0
37.0
""
64.0
45.0
""
769.0
60.0
88.0
44.0
89.0
835.0
86.0
84.0
419.0
510.0
183.0
99.0
35.0
47.0
284.0
51.0
""
106.0
170.0
1979.0
457.0
487.0
3064.0
1087.0
425.0
627.0
1834.0
470.0
1290.0
75.0
250.0
205.0
178.0
524.0
27.0
567.0
421.0
565.0
""
20.0
""
153.0
53.0
62.0
240.0
50.0
345.0
300.0
45.0
29.0
""
2768.0
81.0
113.0
35.0
153.0
64.0
302.0
366.0
33.0
82.0
284.0
286.0
""
40.0
94.0
23.0
222.0
71.0
52.0
40.0
61.0
447.0
106.0
""
1028.0
321.0
34.0
259.0
27.0
62.0
""
30.0
386.0
2276.0
40.0
6161.0
124.0
57.0
115.0
211.0
4153.0
500.0
93.0
387.0
85.0
27.0
506.0
1045.0
96.0
97.0
65.0
78.0
1106.0
81.0
78.0
1283.0
""
63.0
362.0
""
52.0
285.0
691.0
28.0
28.0
78.0
164.0
166.0
627.0
49.0
571.0
239.0
76.0
121.0
241.0
429.0
1092.0
82.0
156.0
180.0
141.0
198.0
28.0
26.0
450.0
464.0
394.0
1776.0
105.0
138.0
84.0
88.0
146.0
84.0
1475.0
229.0
131.0
164.0
1252.0
464.0
344.0
248.0
22.0
129.0
""
95.0
23.0
193.0
""
42.0
131.0
71.0
118.0
317.0
60.0
89.0
199.0
780.0
69.0
226.0
1367.0
248.0
124.0
""
254.0
66.0
54.0
715.0
55.0
382.0
103.0
421.0
637.0
742.0
721.0
9593.0
798.0
4326.0
3981.0
489.0
365.0
107.0
27.0
150.0
20.0
50.0
474.0
192.0
74.0
150.0
1706.0
""
""
4218.0
776.0
75.0
465.0
2575.0
108.0
42.0
26.0
""
42.0
57.0
35.0
34.0
24.0
76.0
63.0
151.0
2825.0
38.0
103.0
157.0
43.0
40.0
""
73.0
120.0
""
114.0
155.0
61.0
126.0
288.0
207.0
65.0
188.0
141.0
131.0
51.0
423.0
60.0
35.0
47.0
146.0
299.0
93.0
95.0
320.0
30.0
317.0
446.0
1199.0
95.0
5476.0
453.0
156.0
54.0
1833.0
""
41.0
172.0
238.0
103.0
39.0
65.0
58.0
20.0
37.0
93.0
36.0
72.0
""
74.0
128.0
""
76.0
46.0
67.0
86.0
""
275.0
""
""
43.0
44.0
""
""
""
""
""
78.0
""
""
""
""
""
""
74.0
""
""
""
""
""
""
""
""
""
""
""
""
21.0
31.0
""
165.0
32.0
""
""
""
""
24.0
145.0
""
""
130.0
145.0
""
26.0
""
54.0
41.0
""
""
""
""
""
""
""
""
""
""
32.0
""
32.0
26.0
20.0
32.0
32.0
25.0
27.0
51.0
404.0
""
""
""
248.0
21.0
""
""
""
42.0
141.0
""
""
27.0
28.0
37.0
""
36.0
152.0
""
265.0
22.0
23.0
833.0
29.0
""
""
""
""
20.0
1333.0
""
""
158.0
23.0
""
""
""
""
""
""
""
""
""
20.0
""
47.0
""
26.0
387.0
2532.0
""
""
47.0
33.0
79.0
21.0
""
""
""
""
""
71.0
20.0
""
294.0
387.0
682.0
72.0
72.0
48.0
43.0
332.0
166.0
1747.0
116.0
62.0
""
""
246.0
38.0
388.0
87.0
362.0
41.0
83.0
665.0
599.0
443.0
162.0
2572.0
177.0
25.0
168.0
694.0
129.0
""
37.0
""
91.0
""
46.0
167.0
122.0
""
173.0
39.0
""
""
""
21.0
43.0
""
""
32.0
""
""
""
82.0
""
""
1000.0
25.0
1570.0
20.0
35.0
""
211.0
""
""
""
""
""
31.0
200.0
343.0
96.0
214.0
3443.0
320.0
97.0
54.0
127.0
""
""
""
23.0
""
23.0
""
""
222.0
""
""
172.0
""
""
""
34.0
""
160.0
60.0
894.0
1695.0
2719.0
149.0
237.0
172.0
165.0
539.0
90.0
""
253.0
90.0
175.0
2551.0
199.0
243.0
143.0
147.0
""
1300.0
""
""
""
27.0
""
38.0
147.0
56.0
62.0
41.0
""
""
347.0
46.0
35.0
163.0
""
27.0
""
36.0
41.0
""
""
""
162.0
""
""
76.0
77.0
59.0
""
""
187.0
146.0
40.0
""
80.0
""
13506.0
683.0
1717.0
22.0
147.0
""
""
30.0
910.0
""
3180.0
""
1127.0
166.0
""
200.0
253.0
39.0
186.0
2034.0
80.0
47.0
585.0
81.0
""
138.0
30.0
""
23.0
""
469.0
2227.0
133.0
255.0
""
""
21.0
38.0
""
83.0
255.0
""
""
352.0
234.0
376.0
57.0
261.0
1298.0
956.0
1692.0
700.0
5694.0
4669.0
65.0
22.0
""
724.0
944.0
10685.0
2993.0
""
24.0
5318.0
196.0
892.0
20714.0
106.0
63.0
90.0
102.0
841.0
119.0
364.0
3231.0
94.0
1467.0
122.0
324.0
413.0
45.0
""
179.0
""
""
""
268.0
156.0
9216.0
