kid_pooled_male_n
64112
27265
8018
84334
60814
10426
128538
10030
6878
44596
52132
186917
7149
19663
47344
4857
5764
43881
5999
9652
69247
89690
41146
28695
176679
8352
29810
66915
151659
14845
17873
27443
133736
74060
17781
62365
16540
21142
6210
5980
76801
14557
6326
3417
9596
12434
187943
39501
112418
25747
47737
79986
35556
3079
4440
68732
8983
3153
3265
22213
11950
82767
5315
11532
19095
13726
6284
14874
10051
15831
11944
19766
22682
25370
11764
5427
27397
16005
7137
166208
21050
20506
11429
21132
158753
16266
16964
35943
67578
38009
28299
10316
11315
59961
12196
5086
25228
56246
269401
73678
70311
489115
170005
70108
65039
213733
59717
158208
18991
39079
34514
28836
92522
10210
77746
111156
73107
4444
3985
5696
33336
15643
12551
19445
14212
56461
53157
14574
9854
10527
516433
18099
25316
11150
36808
18621
60930
41382
9372
18148
49147
20839
6241
9049
26068
8173
29336
21448
13909
13382
19375
133890
33370
9117
77605
82469
10081
49435
10015
21634
6282
9773
35876
324787
6271
595968
13831
13959
6319
40417
719214
56641
15567
71813
15543
6444
66769
185915
19821
10805
9653
12509
152110
14855
13153
264542
6799
18753
62853
5145
10812
24499
140211
6396
9060
22842
32457
36544
111509
13341
87171
55114
17772
25666
49876
78774
207039
22119
32124
42812
32571
49024
6623
6473
91817
93646
56691
341492
24394
25058
14235
22291
29119
15763
217518
42292
32961
46644
292421
98933
83322
50186
6968
28155
4661
19398
6765
39834
2719
25764
39502
19302
21449
50582
17981
14893
32039
139203
19758
36504
303168
41715
25586
5113
32429
19976
13827
130282
22028
100371
27461
76976
142621
129624
118634
1480993
143129
737036
726051
76461
53556
18859
6395
34104
3910
8568
84354
40136
12078
31738
194716
945
1768
598805
155290
14225
84612
431090
20024
6174
5408
3275
7812
11749
7303
10378
4625
18567
14744
35777
396148
5676
17603
31711
8972
9742
9263
14608
27581
3812
24166
32975
18169
25378
72530
40827
8917
49670
37930
28797
15239
70626
21386
11435
13290
25219
45382
16963
15943
49379
9267
67618
79342
222597
18669
1128989
82365
14574
17825
313809
4863
10205
33765
48638
19257
6713
11785
9380
5687
7705
18329
14056
16256
3259
17993
29766
4684
23769
9212
15205
25241
3066
33873
539
1792
7129
6085
2729
1667
1595
3622
4265
14897
360
1132
340
3250
847
2933
9880
1371
402
395
470
1008
211
2135
483
1670
1423
3649
3224
3108
4704
1724
26964
5494
2334
2962
1646
991
6608
14218
3958
3610
13781
25535
2101
4520
307
14772
9772
2033
1297
779
1503
6392
3688
2415
3041
1908
707
2922
315
11327
6807
8021
7822
7450
6229
6864
12844
76572
4427
4473
6691
21507
1645
822
162
2414
8723
12558
2722
1501
8162
9101
5338
3479
10953
26248
3820
37702
5105
5938
111275
5290
2186
260
1143
1796
4852
81489
744
580
25149
2712
1682
832
714
1256
2275
1139
681
2472
7279
6753
1629
15765
1373
3247
61321
320193
2262
236
6934
6167
10265
4456
1092
701
2265
1326
1394
8520
2987
2215
17648
40229
79806
9887
6539
6986
6344
19077
11641
239850
20245
10964
3785
2355
36592
9506
55257
17425
35005
7432
18338
45029
20575
51086
8342
125501
7022
3240
12521
137625
11645
1396
8913
513
16867
873
14077
38912
11252
4640
33944
7750
1121
1213
197
8096
9136
2585
1321
5266
2613
4433
5081
23305
5234
2699
170291
5647
249380
5590
7334
440
40670
4909
2948
2454
3699
3200
38265
173295
74177
24477
47443
669197
66290
22941
12934
15320
3035
844
5470
7975
8819
7067
2704
3188
25210
1163
1767
19617
3617
477
3010
7955
6964
38555
13503
47615
258596
490473
24831
55814
39119
31542
23528
6730
1330
15360
7672
10684
152028
8620
22609
25428
13419
236
56271
1576
204
1540
1784
1321
2286
5090
2253
2991
3396
1479
485
15249
3864
4020
12807
1520
4875
1720
5055
6486
1664
169
1979
19952
537
1199
10817
9260
6444
1465
2492
14954
16596
7061
1951
10665
298
107378
8017
16601
6864
27877
1364
567
6705
102040
2990
454905
6632
128971
23952
1366
25610
36409
6580
45317
20228
17451
7035
71938
9086
1400
20939
8851
1127
4334
413
68615
231377
25401
43413
1566
2891
5089
7234
2227
12584
19143
1066
957
29951
16629
31598
5601
19405
116292
108451
233049
54038
364476
312930
9912
3551
2886
58487
76426
550015
203975
655
3751
371333
46490
78876
2395734
11113
7408
15295
14450
81007
12482
28816
240383
8804
119920
7804
39816
49883
5180
934
20093
440
1053
1374
20511
9905
481196
