kid_black_male_n
1644
618
108
6127
12815
2808
32848
337
164
11452
9286
50933
65
1017
5363
105
67
3074
73
4461
30756
31060
11416
13967
47215
4845
10375
20948
54100
5373
7888
5944
46084
26987
11451
13985
6717
8033
4380
4190
40641
7727
2221
856
5323
7991
85662
9969
45200
8730
11442
26338
15464
1408
2011
32209
3536
692
1060
11302
5019
22019
1809
1202
122
378
44
232
284
184
7587
12153
17257
8730
3937
384
8253
1520
1644
85035
12298
1696
476
2399
29175
966
1254
7656
13602
3120
2954
266
112
10254
168
15
1069
4949
41312
13646
7469
129749
35296
7251
8061
38298
8822
42631
4576
5465
8542
14388
40534
6200
30414
24846
30609
2263
1500
2952
12140
4343
3828
7301
5643
23124
22229
4491
5276
5002
178402
6028
5969
2440
2308
6377
14585
19671
5342
8001
16299
2971
2917
3889
14643
4961
7866
9131
7594
6958
1408
43025
15865
6169
14170
29639
4301
23210
2940
871
428
166
5860
103987
2408
178195
53
44
35
2004
183775
5830
120
7554
386
28
7403
14459
74
39
38
51
21653
306
593
37957
203
54
6727
102
558
2310
23417
89
617
924
600
2295
14218
148
12543
2127
124
1173
3706
6861
34910
267
945
1978
515
2557
19
103
19535
5368
4929
75262
219
764
754
534
687
282
33519
2171
338
822
30907
11667
4015
5757
26
715
16
1255
11
2207
6
209
918
505
1646
2504
486
728
6013
10367
351
1077
42211
1435
235
18
988
182
298
9601
306
3072
1058
3068
4588
10296
10011
340512
9847
120706
168568
16213
13084
3498
2715
190
14
48
903
352
51
159
8836
25
29
41558
1328
59
6147
47531
452
24
83
6
42
31
31
29
5
188
196
315
29780
38
75
795
68
84
21
102
2007
51
569
963
102
157
520
461
52
278
230
261
107
3235
164
124
51
1667
6254
442
623
3881
168
6222
6310
45981
3127
249937
6965
946
146
76088
258
282
3551
3636
700
21
45
24
19
159
1457
1474
1397
120
797
2644
363
2740
404
5086
1580
11
326
4
5
286
221
39
9
2
11
28
42
0
2
3
10
4
2
185
6
4
1
0
2
0
4
0
1
1
12
4
1
15
9
474
12
2
3
2
1
21
61
8
12
140
267
6
21
0
85
33
2
4
1
0
40
18
15
4
7
1
7
0
66
81
24
53
25
33
29
233
3469
16
12
35
190
0
0
0
1
46
284
4
2
75
25
33
27
51
460
7
1145
21
67
10606
23
2
1
1
2
33
5325
7
0
323
11
10
12
3
5
7
5
1
4
57
14
0
54
7
41
300
17774
12
0
92
112
225
41
22
0
8
0
3
268
37
4
1761
3041
7447
104
110
78
116
775
1042
36969
601
256
94
6
3164
26
883
38
475
69
399
1832
1654
609
290
12761
725
11
385
3081
361
13
51
5
259
2
553
3375
603
133
2052
251
52
96
9
402
79
17
3
161
4
31
42
1532
664
229
15562
65
15192
122
128
0
2337
175
30
9
24
11
65
363
2656
4667
4624
123110
17687
4702
2783
674
40
2
12
102
11
289
156
162
1677
126
91
1814
48
21
321
424
48
6805
2476
10374
31306
82642
3175
8590
8575
7535
3879
560
152
829
199
312
19032
225
1271
4553
946
0
2531
4
1
1
3
3
22
33
4
8
13
9
1
834
5
2
116
1
8
9
2
12
2
0
4
131
1
5
33
30
12
1
7
47
65
13
7
78
0
2683
17
49
44
114
7
0
23
2266
18
18833
47
4235
86
4
96
240
10
155
93
35
10
538
21
1
66
14
2
10
1
261
2456
78
187
0
5
7
11
2
56
164
3
1
245
127
147
19
60
3450
6315
9534
970
27816
7569
61
14
27
1100
1167
62701
19749
36
6
24202
727
1319
187142
35
71
100
29
1061
54
176
8020
33
941
27
324
513
24
0
57
0
0
10
145
71
25764
