somecoll_hisp_male_n
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
41.0
""
""
""
""
""
""
""
38.0
""
""
""
32.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
83.0
""
""
""
""
26.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
196.0
45.0
33.0
46.0
27.0
""
2770.0
105.0
29.0
1141.0
209.0
154.0
82.0
337.0
""
""
""
62.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
57.0
""
""
""
""
""
32.0
""
""
""
""
""
45.0
""
""
""
1177.0
""
""
120.0
""
21.0
733.0
""
69.0
1670.0
26.0
31.0
563.0
""
1335.0
271.0
21.0
""
17721.0
282.0
94.0
""
57.0
471.0
""
""
863.0
156.0
28.0
3373.0
154.0
""
2780.0
959.0
152.0
3321.0
3192.0
466.0
920.0
187.0
705.0
589.0
1769.0
397.0
64.0
""
""
379.0
322.0
749.0
116.0
46.0
""
907.0
23.0
1275.0
205.0
64.0
574.0
29.0
336.0
""
""
""
138.0
37.0
""
""
""
""
""
""
""
23.0
790.0
""
85.0
""
""
376.0
23.0
""
""
""
""
""
""
""
396.0
""
""
""
24.0
139.0
41.0
""
""
60.0
""
""
""
32.0
57.0
41.0
""
""
""
""
""
312.0
""
20.0
""
""
""
""
""
""
""
""
281.0
""
377.0
354.0
21.0
28.0
296.0
63.0
""
36.0
38.0
147.0
24.0
163.0
37.0
""
30.0
""
165.0
1225.0
""
35.0
20.0
49.0
140.0
""
""
""
153.0
46.0
""
""
""
""
""
""
""
""
53.0
61.0
48.0
765.0
""
32.0
""
""
""
72.0
177.0
45.0
""
""
""
91.0
86.0
46.0
4387.0
50.0
""
70.0
40.0
810.0
294.0
621.0
118.0
198.0
225.0
""
23.0
108.0
24.0
68.0
255.0
""
""
""
""
152.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
37.0
""
""
28.0
22.0
""
60.0
""
143.0
""
""
24.0
""
""
""
""
""
""
""
138.0
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
122.0
""
""
""
""
""
""
178.0
""
53.0
""
""
""
""
""
""
47.0
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
60.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
44.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
70.0
""
""
""
""
67.0
371.0
23.0
62.0
89.0
""
32.0
""
""
44.0
""
""
""
45.0
""
""
""
115.0
""
""
""
""
""
""
""
""
""
""
""
""
21.0
28.0
""
""
""
""
""
32.0
""
""
""
""
""
""
""
49.0
""
""
""
""
""
27.0
""
""
""
""
""
31.0
""
""
""
""
""
4249.0
""
""
22.0
""
""
396.0
""
""
""
""
""
