stayhome_asian_pooled_n
201.0
79.0
20.0
546.0
327.0
32.0
1169.0
23.0
""
418.0
279.0
2297.0
""
285.0
555.0
""
""
190.0
""
26.0
260.0
609.0
157.0
72.0
1989.0
""
130.0
418.0
3018.0
38.0
49.0
146.0
1652.0
929.0
50.0
679.0
29.0
56.0
""
""
306.0
20.0
""
""
""
35.0
2768.0
302.0
832.0
137.0
220.0
513.0
103.0
""
""
286.0
26.0
""
""
54.0
38.0
441.0
""
25.0
30.0
41.0
""
20.0
""
""
43.0
34.0
51.0
72.0
20.0
""
43.0
34.0
""
1116.0
48.0
114.0
29.0
53.0
1463.0
70.0
50.0
232.0
512.0
94.0
64.0
24.0
40.0
438.0
20.0
""
101.0
240.0
3445.0
571.0
572.0
4840.0
1670.0
469.0
737.0
3682.0
511.0
2323.0
55.0
294.0
385.0
133.0
609.0
""
607.0
541.0
705.0
""
""
25.0
154.0
39.0
37.0
115.0
35.0
383.0
318.0
40.0
44.0
38.0
8204.0
67.0
269.0
52.0
295.0
36.0
245.0
321.0
39.0
122.0
353.0
264.0
""
36.0
79.0
""
180.0
54.0
39.0
42.0
29.0
518.0
99.0
""
1153.0
472.0
""
262.0
""
83.0
""
""
330.0
5028.0
""
20829.0
58.0
42.0
20.0
158.0
7806.0
742.0
78.0
382.0
58.0
25.0
441.0
1418.0
66.0
34.0
33.0
53.0
1040.0
31.0
51.0
1623.0
""
41.0
380.0
""
26.0
205.0
787.0
""
""
61.0
151.0
120.0
653.0
50.0
563.0
280.0
79.0
97.0
184.0
439.0
1407.0
133.0
133.0
270.0
132.0
171.0
""
""
571.0
322.0
229.0
2805.0
69.0
65.0
39.0
67.0
50.0
68.0
2067.0
208.0
216.0
160.0
1693.0
333.0
385.0
361.0
""
145.0
""
60.0
""
201.0
""
34.0
117.0
124.0
86.0
318.0
71.0
78.0
245.0
1160.0
84.0
374.0
2685.0
318.0
100.0
""
145.0
74.0
55.0
1199.0
77.0
635.0
99.0
943.0
1197.0
1220.0
1287.0
52682.0
2709.0
27240.0
13210.0
1003.0
516.0
103.0
""
104.0
""
28.0
444.0
249.0
26.0
125.0
2067.0
""
""
11114.0
1139.0
67.0
699.0
5493.0
134.0
23.0
26.0
""
22.0
42.0
30.0
38.0
28.0
127.0
145.0
242.0
8470.0
24.0
64.0
476.0
80.0
58.0
40.0
101.0
182.0
""
270.0
214.0
124.0
557.0
789.0
472.0
32.0
742.0
405.0
347.0
54.0
835.0
78.0
48.0
39.0
170.0
430.0
104.0
98.0
355.0
34.0
439.0
483.0
2298.0
100.0
25424.0
711.0
117.0
32.0
2580.0
""
33.0
220.0
190.0
63.0
""
""
24.0
""
24.0
59.0
47.0
64.0
""
83.0
145.0
""
65.0
25.0
35.0
37.0
""
180.0
""
""
23.0
23.0
""
""
""
""
""
38.0
""
""
""
""
""
""
61.0
""
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
154.0
""
""
""
""
""
24.0
56.0
""
""
77.0
133.0
""
""
""
67.0
40.0
""
""
""
""
""
""
""
""
""
""
""
""
48.0
63.0
39.0
162.0
31.0
39.0
107.0
76.0
1083.0
23.0
""
27.0
108.0
""
""
""
""
30.0
61.0
""
""
22.0
""
43.0
""
102.0
308.0
""
531.0
25.0
""
766.0
""
""
""
""
""
""
989.0
""
""
96.0
""
""
""
""
""
""
""
""
""
""
""
""
41.0
""
""
391.0
4636.0
""
""
94.0
22.0
33.0
24.0
""
""
""
""
""
122.0
""
""
178.0
279.0
1149.0
42.0
69.0
21.0
77.0
99.0
92.0
2222.0
69.0
43.0
""
""
311.0
23.0
250.0
53.0
136.0
20.0
89.0
535.0
74.0
350.0
66.0
886.0
""
""
57.0
621.0
84.0
""
""
""
55.0
""
27.0
231.0
97.0
""
371.0
26.0
""
""
""
""
167.0
""
""
84.0
""
""
31.0
137.0
""
""
2061.0
""
1644.0
""
29.0
""
222.0
""
""
""
""
""
62.0
464.0
462.0
197.0
608.0
16451.0
774.0
83.0
38.0
99.0
""
""
""
20.0
27.0
27.0
""
""
179.0
""
""
228.0
""
""
""
20.0
""
150.0
24.0
566.0
4369.0
8881.0
68.0
187.0
126.0
96.0
240.0
48.0
""
42.0
31.0
30.0
1945.0
""
77.0
88.0
23.0
23.0
1150.0
""
""
""
""
""
131.0
105.0
34.0
59.0
""
""
""
151.0
""
""
76.0
""
""
""
""
""
""
""
""
64.0
""
""
22.0
22.0
26.0
""
""
46.0
78.0
""
""
42.0
""
12450.0
534.0
1860.0
""
107.0
""
""
""
858.0
""
4412.0
""
1185.0
110.0
""
49.0
132.0
""
59.0
904.0
70.0
""
494.0
50.0
""
58.0
""
""
""
""
256.0
2105.0
147.0
162.0
""
""
""
""
""
35.0
90.0
""
""
274.0
153.0
185.0
54.0
120.0
2631.0
1952.0
5357.0
1353.0
14299.0
26311.0
33.0
""
""
1164.0
1097.0
50788.0
5463.0
""
""
16806.0
279.0
1391.0
101456.0
38.0
84.0
54.0
56.0
585.0
29.0
259.0
5697.0
51.0
1129.0
49.0
156.0
509.0
32.0
""
95.0
""
""
""
294.0
77.0
17014.0
