married_other_female_mean
0.40108842
0.46441874
""
""
""
""
""
0.39187196
""
""
""
""
""
""
""
0.55726856
0.56231654
""
""
""
""
0.34155294
0.40726447
0.29172319
0.6315338
0.56225705
0.33458158
0.4594326
""
""
""
""
""
""
0.40521052
0.42936784
0.33579761
""
0.31145927
0.40808102
0.470759
0.32635966
""
""
0.53167719
""
""
0.48118767
0.36787891
""
0.46856403
0.49295518
""
""
""
""
0.5371778
0.61404651
0.61300528
""
0.30013341
0.38940302
0.50652671
0.55442506
""
""
""
""
""
0.30198079
0.27490991
""
""
""
0.2710596
""
""
0.335078
0.33218139
0.39175993
0.25559852
""
""
0.35687965
0.11759756
""
""
""
0.47216225
0.21174954
""
""
""
""
""
0.30489689
0.36974889
0.4641175
0.49521124
0.46424964
""
""
0.1999969
0.42663196
0.44392025
0.54975885
0.41340008
0.3903037
""
0.46435213
0.58113617
""
""
0.46281141
0.63491565
""
""
""
0.44834462
""
""
""
""
""
""
""
0.42308554
0.40301827
0.44176751
""
""
""
""
0.48646411
""
""
0.38021487
""
""
""
0.33681342
""
""
""
""
0.28430581
""
""
""
""
""
""
""
0.41509861
""
""
0.33668813
0.25043446
""
""
""
""
0.39269403
""
""
""
""
""
0.73375601
""
0.40668267
""
""
0.55037075
""
""
0.45525005
""
""
""
0.40580839
""
0.46557572
0.51788276
""
""
0.41696075
""
0.5587979
0.39883342
0.58837891
""
0.46819645
0.62380737
0.48103532
0.42478248
0.44137132
0.39894041
0.32667643
0.4900842
0.47080213
0.42207032
0.38894513
0.65104091
0.42352009
0.42209312
0.43699682
0.51786453
0.47273609
0.48178923
""
""
0.42201862
0.558164
0.48250508
0.48041651
0.49349725
""
0.41641712
0.44602269
0.47350666
0.43597585
0.47917724
0.36528274
0.44179916
0.45455796
0.45012888
0.44244978
0.47684255
0.46204519
0.44759148
""
0.52230501
0.45442489
0.47474089
0.4685683
0.47063383
0.48847699
""
0.46462643
0.4582535
0.47847608
0.57322401
0.43157676
0.40697592
""
0.44230494
""
""
""
0.56659007
0.52343941
""
""
""
""
""
""
""
0.7616511
0.35812011
""
0.59544688
""
0.30951497
0.43542713
0.43232524
0.46403429
""
""
""
""
