kir_asian_female_n
122.0
58.0
""
344.0
194.0
22.0
730.0
""
""
254.0
162.0
1369.0
""
155.0
327.0
""
""
123.0
""
""
159.0
401.0
99.0
40.0
1213.0
""
100.0
267.0
1765.0
25.0
30.0
97.0
957.0
539.0
24.0
437.0
""
41.0
""
""
205.0
""
""
""
""
23.0
1664.0
182.0
515.0
78.0
145.0
328.0
53.0
""
""
174.0
21.0
""
""
29.0
24.0
296.0
""
24.0
""
24.0
""
""
""
""
28.0
28.0
30.0
42.0
""
""
23.0
""
""
680.0
21.0
66.0
""
32.0
927.0
37.0
29.0
146.0
321.0
61.0
38.0
""
24.0
289.0
""
""
53.0
146.0
2107.0
346.0
359.0
2880.0
1010.0
283.0
459.0
2210.0
307.0
1341.0
32.0
178.0
234.0
86.0
365.0
""
359.0
380.0
430.0
""
""
""
107.0
27.0
32.0
79.0
23.0
244.0
203.0
26.0
30.0
28.0
5043.0
41.0
151.0
31.0
176.0
29.0
161.0
212.0
""
80.0
198.0
179.0
""
26.0
39.0
""
115.0
31.0
25.0
25.0
""
327.0
72.0
""
701.0
303.0
""
158.0
""
52.0
""
""
201.0
3054.0
""
12073.0
38.0
34.0
""
91.0
4673.0
419.0
48.0
239.0
42.0
23.0
267.0
892.0
39.0
23.0
21.0
33.0
647.0
24.0
26.0
957.0
""
21.0
244.0
""
20.0
132.0
462.0
""
""
43.0
98.0
76.0
390.0
39.0
341.0
152.0
50.0
55.0
101.0
273.0
832.0
78.0
79.0
164.0
77.0
122.0
""
""
335.0
217.0
138.0
1664.0
50.0
39.0
24.0
37.0
33.0
38.0
1287.0
127.0
129.0
98.0
981.0
211.0
214.0
223.0
""
85.0
""
46.0
""
115.0
""
21.0
58.0
73.0
53.0
199.0
50.0
45.0
147.0
711.0
54.0
233.0
1618.0
196.0
62.0
""
94.0
50.0
44.0
750.0
49.0
373.0
59.0
562.0
693.0
698.0
773.0
31361.0
1556.0
16090.0
7786.0
608.0
305.0
70.0
""
54.0
""
""
278.0
156.0
""
83.0
1303.0
""
""
6734.0
711.0
38.0
426.0
3237.0
90.0
""
""
""
21.0
29.0
25.0
28.0
""
85.0
91.0
167.0
5200.0
""
39.0
305.0
50.0
43.0
27.0
58.0
95.0
""
172.0
136.0
74.0
299.0
436.0
282.0
21.0
430.0
241.0
196.0
28.0
477.0
42.0
25.0
20.0
92.0
244.0
76.0
57.0
223.0
25.0
233.0
271.0
1375.0
54.0
14518.0
416.0
76.0
25.0
1500.0
""
24.0
122.0
95.0
40.0
""
""
""
""
""
35.0
34.0
45.0
""
50.0
86.0
""
40.0
""
26.0
24.0
""
108.0
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
42.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
98.0
""
""
""
""
""
""
41.0
""
""
45.0
77.0
""
""
""
46.0
31.0
""
""
""
""
""
""
""
""
""
""
""
""
39.0
40.0
22.0
91.0
""
""
66.0
42.0
617.0
""
""
""
71.0
""
""
""
""
""
45.0
""
""
""
""
23.0
""
59.0
188.0
""
308.0
""
""
448.0
""
""
""
""
""
""
604.0
""
""
63.0
""
""
""
""
""
""
""
""
""
""
""
""
25.0
""
""
242.0
2722.0
""
""
53.0
""
""
""
""
""
""
""
""
67.0
""
""
113.0
173.0
641.0
25.0
46.0
""
34.0
77.0
68.0
1343.0
45.0
28.0
""
""
189.0
""
163.0
39.0
86.0
""
57.0
351.0
48.0
227.0
37.0
555.0
""
""
45.0
407.0
53.0
""
""
""
33.0
""
""
124.0
51.0
""
233.0
""
""
""
""
""
92.0
""
""
53.0
""
""
21.0
78.0
""
""
1296.0
""
1063.0
""
25.0
""
136.0
""
""
""
""
""
40.0
302.0
300.0
114.0
365.0
9933.0
504.0
57.0
27.0
64.0
""
""
""
""
""
""
""
""
105.0
""
""
124.0
""
""
""
""
""
86.0
""
376.0
2613.0
5447.0
36.0
108.0
74.0
55.0
151.0
31.0
""
28.0
""
20.0
1189.0
""
58.0
58.0
""
""
674.0
""
""
""
""
""
82.0
55.0
""
27.0
""
""
""
102.0
""
""
44.0
""
""
""
""
""
""
""
""
40.0
""
""
""
""
""
""
""
20.0
37.0
""
""
""
""
10606.0
391.0
1163.0
""
64.0
""
""
""
499.0
""
2629.0
""
720.0
69.0
""
33.0
86.0
""
32.0
745.0
42.0
""
316.0
25.0
""
37.0
""
""
""
""
180.0
1256.0
80.0
94.0
""
""
""
""
""
27.0
64.0
""
""
188.0
102.0
126.0
38.0
66.0
1692.0
1201.0
3340.0
834.0
8728.0
15473.0
26.0
""
""
696.0
646.0
28766.0
3276.0
""
""
9949.0
204.0
839.0
60513.0
20.0
47.0
42.0
36.0
388.0
24.0
185.0
3375.0
37.0
706.0
31.0
105.0
319.0
22.0
""
62.0
""
""
""
182.0
52.0
10362.0
