proginc_black_female_n
34.0
30.0
53.0
""
""
20.0
31.0
68.0
47.0
""
""
""
34.0
""
""
27.0
26.0
""
""
23.0
""
""
51.0
85.0
""
31.0
22.0
44.0
""
""
""
23.0
30.0
27.0
157.0
""
737.0
""
22.0
""
69.0
23.0
41.0
59.0
152.0
33.0
""
""
401.0
25.0
307.0
42.0
25.0
27.0
39.0
""
46.0
""
24.0
22.0
72.0
41.0
126.0
""
""
23.0
""
""
""
50.0
""
""
""
""
31.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
292.0
""
""
63.0
""
""
""
""
32.0
""
""
""
""
""
""
""
28.0
""
""
""
""
22.0
""
""
""
71.0
""
""
27.0
""
23.0
""
""
""
""
""
""
""
""
""
""
""
136.0
""
""
""
""
""
""
""
""
""
""
39.0
54.0
""
""
""
""
37.0
""
48.0
""
""
""
""
""
320.0
""
31.0
""
""
""
23.0
""
""
""
36.0
""
""
""
""
""
457.0
""
""
""
""
""
221.0
""
""
93.0
""
""
""
""
71.0
""
""
""
1873.0
""
""
""
""
22.0
""
""
26.0
""
""
124.0
""
""
249.0
289.0
""
400.0
343.0
130.0
88.0
""
84.0
""
128.0
""
""
""
""
156.0
""
30.0
""
""
""
""
""
44.0
""
""
43.0
""
113.0
""
""
""
""
""
""
""
""
""
""
""
""
""
167.0
""
""
""
""
113.0
""
""
""
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
228.0
234.0
""
""
189.0
29.0
""
""
72.0
288.0
58.0
893.0
77.0
""
58.0
""
98.0
849.0
""
22.0
""
35.0
28.0
24.0
""
""
473.0
151.0
""
""
73.0
""
""
""
""
""
""
""
""
386.0
""
23.0
31.0
""
""
38.0
106.0
163.0
""
""
""
46.0
59.0
""
1145.0
""
""
43.0
""
402.0
43.0
437.0
35.0
191.0
191.0
28.0
""
67.0
""
40.0
113.0
""
""
""
""
99.0
""
""
""
""
""
""
""
47.0
""
""
""
""
""
179.0
""
""
""
""
33.0
25.0
""
""
""
""
30.0
""
""
260.0
23.0
""
""
80.0
""
335.0
""
263.0
""
25.0
36.0
""
40.0
""
""
""
""
20.0
995.0
""
""
159.0
69.0
""
""
""
""
22.0
""
""
41.0
25.0
""
""
852.0
""
""
58.0
""
""
35.0
202.0
""
25.0
""
""
""
""
""
53.0
68.0
""
""
""
""
28.0
""
""
""
""
""
44.0
""
80.0
""
""
86.0
""
22.0
""
""
""
""
27.0
""
29.0
""
""
""
""
284.0
39.0
""
""
32.0
24.0
""
""
""
""
""
""
""
""
""
281.0
37.0
""
""
""
36.0
""
""
26.0
""
""
""
""
""
""
38.0
21.0
""
""
""
51.0
""
""
""
20.0
""
""
34.0
""
41.0
""
""
""
""
""
""
""
""
""
""
75.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
53.0
""
""
""
""
""
3334.0
""
""
""
""
""
110.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
90.0
52.0
""
""
142.0
""
""
""
""
""
""
""
29.0
57.0
""
48.0
""
""
""
""
""
""
""
""
""
""
""
74.0
""
""
""
""
""
""
""
""
34.0
215.0
""
56.0
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
183.0
""
88.0
""
""
127.0
""
""
""
""
""
""
""
26.0
""
""
""
""
""
""
""
21.0
""
29.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
358.0
44.0
""
35.0
519.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
103.0
""
""
""
""
""
""
""
""
""
""
44.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
33.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
50.0
""
""
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
58.0
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
128.0
""
41.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
175.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
50.0
""
""
""
""
""
""
""
""
""
108.0
""
""
""
""
""
""
""
""
""
""
""
""
58.0
""
""
""
""
""
""
""
""
347.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
27.0
""
45.0
""
""
23.0
24.0
71.0
332.0
113.0
""
""
""
""
20.0
36.0
405.0
23.0
""
21.0
21.0
""
64.0
40.0
""
368.0
""
102.0
34.0
""
34.0
""
28.0
39.0
47.0
935.0
168.0
""
20.0
109.0
""
23.0
""
""
30.0
""
27.0
44.0
66.0
45.0
42.0
67.0
63.0
""
48.0
20.0
""
53.0
35.0
47.0
24.0
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
205.0
438.0
28.0
""
""
""
103.0
24.0
33.0
""
64.0
105.0
""
403.0
1528.0
""
28.0
23.0
""
""
47.0
22.0
1036.0
""
""
28.0
""
47.0
""
88.0
""
107.0
""
69.0
62.0
347.0
45.0
""
""
""
""
""
""
""
""
""
""
90.0
""
50.0
""
""
""
""
""
""
""
""
""
28.0
""
246.0
""
""
""
""
""
""
""
82.0
""
""
""
""
27.0
68.0
""
146.0
""
""
""
""
""
""
""
""
78.0
""
""
""
""
""
""
""
""
""
""
63.0
""
410.0
""
""
""
""
""
""
""
""
""
126.0
""
""
""
""
""
""
""
112.0
2013.0
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
35.0
""
""
""
""
""
""
""
265.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
104.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
44.0
""
""
27.0
""
52.0
""
""
27.0
""
28.0
""
36.0
69.0
39.0
""
47.0
60.0
""
""
""
23.0
""
129.0
449.0
46.0
36.0
""
""
94.0
""
22.0
25.0
55.0
""
22.0
""
95.0
""
21.0
49.0
94.0
29.0
63.0
75.0
24.0
43.0
30.0
26.0
""
25.0
22.0
21.0
