kfr_native_other_female_n
51.0
24.0
""
97.0
53.0
""
145.0
""
""
28.0
36.0
169.0
""
""
43.0
""
""
48.0
""
""
58.0
163.0
43.0
26.0
180.0
""
34.0
103.0
240.0
""
""
28.0
170.0
132.0
32.0
68.0
""
""
""
""
44.0
""
""
""
""
""
165.0
42.0
74.0
29.0
69.0
68.0
24.0
""
""
80.0
""
""
""
""
""
88.0
""
22.0
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
126.0
""
""
""
""
148.0
""
28.0
65.0
96.0
41.0
22.0
""
""
33.0
""
""
""
41.0
298.0
63.0
87.0
234.0
138.0
51.0
92.0
233.0
68.0
187.0
""
54.0
30.0
30.0
109.0
""
104.0
87.0
87.0
""
""
""
29.0
""
""
24.0
""
50.0
50.0
""
""
""
395.0
""
21.0
""
23.0
""
64.0
61.0
""
""
58.0
40.0
""
""
""
""
56.0
""
""
""
""
93.0
22.0
""
159.0
63.0
""
37.0
""
""
""
""
66.0
445.0
""
924.0
47.0
23.0
57.0
80.0
909.0
124.0
50.0
120.0
39.0
""
139.0
270.0
36.0
51.0
20.0
24.0
242.0
22.0
23.0
256.0
""
""
81.0
""
""
43.0
154.0
""
""
31.0
40.0
47.0
139.0
""
151.0
77.0
21.0
27.0
66.0
114.0
224.0
30.0
32.0
51.0
35.0
53.0
""
""
87.0
122.0
91.0
396.0
28.0
48.0
""
28.0
43.0
""
321.0
47.0
38.0
46.0
354.0
116.0
115.0
53.0
""
40.0
""
""
""
60.0
""
""
40.0
""
35.0
54.0
""
20.0
31.0
194.0
35.0
60.0
353.0
67.0
58.0
""
58.0
28.0
""
183.0
""
79.0
43.0
78.0
165.0
164.0
132.0
795.0
130.0
499.0
762.0
89.0
88.0
31.0
""
57.0
""
""
118.0
56.0
22.0
63.0
276.0
""
""
612.0
159.0
33.0
116.0
464.0
21.0
""
""
""
25.0
28.0
21.0
""
""
21.0
""
64.0
715.0
""
76.0
54.0
""
""
""
""
33.0
""
33.0
50.0
24.0
38.0
109.0
64.0
30.0
65.0
54.0
51.0
""
135.0
28.0
""
""
36.0
75.0
24.0
28.0
79.0
""
82.0
131.0
333.0
34.0
863.0
121.0
26.0
20.0
354.0
""
""
44.0
55.0
27.0
""
""
""
""
""
22.0
""
20.0
""
28.0
34.0
""
26.0
""
""
28.0
""
68.0
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
37.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
41.0
""
""
""
""
""
""
65.0
""
""
32.0
34.0
""
""
""
30.0
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
88.0
""
""
""
71.0
""
""
""
""
""
35.0
""
""
""
""
""
""
""
34.0
""
65.0
""
""
162.0
""
""
""
""
""
""
237.0
""
""
41.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
84.0
524.0
""
""
""
""
22.0
""
""
""
""
""
""
20.0
""
""
43.0
115.0
151.0
""
21.0
""
""
87.0
31.0
393.0
47.0
27.0
""
""
61.0
21.0
73.0
27.0
131.0
21.0
""
216.0
198.0
147.0
41.0
730.0
80.0
""
51.0
101.0
34.0
""
""
""
21.0
""
""
40.0
21.0
""
37.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
184.0
""
229.0
""
""
""
38.0
""
""
""
""
""
""
25.0
57.0
24.0
35.0
459.0
50.0
""
""
20.0
""
""
""
""
""
""
""
""
35.0
""
""
34.0
""
""
""
""
""
35.0
""
122.0
301.0
464.0
26.0
46.0
43.0
24.0
127.0
""
""
90.0
21.0
44.0
628.0
86.0
66.0
20.0
73.0
""
259.0
""
""
""
""
""
""
31.0
20.0
25.0
""
""
""
64.0
""
""
48.0
""
""
""
""
""
""
""
""
50.0
""
""
21.0
""
""
""
""
56.0
40.0
""
""
""
""
2655.0
167.0
412.0
""
46.0
""
""
""
176.0
""
582.0
""
215.0
36.0
""
47.0
56.0
""
54.0
540.0
""
""
114.0
""
""
31.0
""
""
""
""
117.0
321.0
56.0
50.0
""
""
""
""
""
22.0
83.0
""
""
82.0
55.0
88.0
""
56.0
206.0
163.0
285.0
152.0
885.0
631.0
""
""
""
126.0
186.0
1405.0
433.0
""
""
715.0
34.0
189.0
2718.0
21.0
""
23.0
23.0
194.0
37.0
97.0
623.0
""
314.0
31.0
63.0
94.0
""
""
45.0
""
""
""
59.0
39.0
1484.0
