kir_imm_black_pooled_n
""
""
""
20.0
32.0
""
99.0
""
""
""
""
204.0
""
""
""
""
""
""
""
""
28.0
102.0
""
""
201.0
""
25.0
78.0
234.0
""
""
""
206.0
126.0
""
29.0
""
""
""
""
49.0
""
""
""
""
""
136.0
""
62.0
""
33.0
""
""
""
""
28.0
""
""
""
""
""
35.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
78.0
""
""
""
""
124.0
""
""
48.0
69.0
""
""
""
""
24.0
""
""
""
""
519.0
131.0
153.0
5595.0
1190.0
212.0
160.0
1035.0
76.0
201.0
""
55.0
57.0
25.0
92.0
""
59.0
50.0
97.0
""
""
""
""
""
""
36.0
""
46.0
54.0
""
""
""
1394.0
""
30.0
""
""
""
25.0
89.0
""
""
82.0
""
""
""
25.0
""
21.0
""
""
""
""
31.0
""
""
95.0
22.0
""
24.0
""
""
""
""
33.0
633.0
""
2920.0
""
""
""
""
414.0
50.0
""
""
""
""
21.0
43.0
""
""
""
""
74.0
""
""
79.0
""
""
24.0
""
""
33.0
64.0
""
""
""
""
""
52.0
""
67.0
""
""
""
""
22.0
96.0
""
""
""
""
""
""
""
57.0
""
""
181.0
""
""
""
""
""
""
201.0
""
""
""
83.0
""
24.0
20.0
""
""
""
""
""
""
""
""
""
""
""
27.0
""
""
""
80.0
""
22.0
280.0
""
""
""
""
""
""
92.0
""
79.0
""
45.0
74.0
72.0
194.0
14956.0
201.0
3041.0
1292.0
115.0
75.0
""
""
""
""
""
""
""
""
""
279.0
""
""
1781.0
46.0
""
110.0
1238.0
""
""
""
""
""
""
""
""
""
""
""
""
451.0
""
""
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
30.0
""
""
""
""
""
""
""
""
""
""
22.0
102.0
""
949.0
27.0
""
""
164.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
29.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
31.0
""
""
65.0
""
""
""
""
""
""
95.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
173.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
28.0
25.0
26.0
""
""
""
""
""
""
172.0
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
40.0
""
""
""
81.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
110.0
""
161.0
""
""
""
""
""
""
""
""
""
""
24.0
22.0
29.0
23.0
848.0
30.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
25.0
""
116.0
210.0
509.0
""
""
""
""
39.0
""
""
""
""
""
87.0
""
""
""
""
""
31.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
71.0
""
""
""
""
""
""
""
32.0
""
178.0
""
64.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
34.0
36.0
80.0
""
196.0
177.0
""
""
""
""
33.0
466.0
141.0
""
""
258.0
""
27.0
1602.0
""
""
""
""
""
""
""
108.0
""
""
""
""
""
""
""
""
""
""
""
""
""
355.0
