work_26_black_female_n
450.0
648.0
531.0
137.0
27.0
333.0
436.0
1209.0
700.0
43.0
185.0
288.0
553.0
57.0
35.0
382.0
374.0
240.0
127.0
229.0
127.0
34.0
614.0
1321.0
35.0
608.0
440.0
688.0
88.0
57.0
97.0
358.0
387.0
287.0
1111.0
74.0
11369.0
50.0
404.0
221.0
1031.0
384.0
459.0
722.0
2621.0
508.0
22.0
51.0
5994.0
303.0
5157.0
596.0
327.0
421.0
474.0
179.0
936.0
187.0
479.0
373.0
1151.0
461.0
2104.0
155.0
171.0
321.0
""
""
""
759.0
""
""
""
""
337.0
""
""
""
""
""
""
""
""
25.0
""
""
""
""
""
""
""
""
""
""
""
""
""
363.0
62.0
""
""
""
""
4914.0
59.0
33.0
1047.0
197.0
""
45.0
139.0
293.0
241.0
""
61.0
""
149.0
39.0
""
358.0
251.0
""
""
34.0
323.0
119.0
301.0
48.0
1180.0
185.0
125.0
366.0
227.0
300.0
""
""
356.0
25.0
""
315.0
149.0
146.0
41.0
""
124.0
2033.0
20.0
93.0
""
276.0
133.0
104.0
""
232.0
""
""
517.0
887.0
199.0
""
130.0
""
507.0
""
678.0
""
86.0
""
66.0
30.0
5703.0
""
563.0
145.0
""
""
415.0
32.0
""
""
676.0
""
134.0
108.0
110.0
""
7848.0
""
""
99.0
""
""
4038.0
""
52.0
1511.0
""
25.0
111.0
""
1454.0
268.0
27.0
""
30575.0
152.0
204.0
""
""
391.0
""
""
543.0
94.0
""
2080.0
144.0
""
4502.0
4848.0
26.0
7350.0
5994.0
2107.0
1635.0
118.0
1318.0
353.0
2146.0
100.0
64.0
""
28.0
2800.0
286.0
583.0
83.0
""
""
248.0
""
737.0
176.0
107.0
800.0
""
2231.0
""
""
""
99.0
21.0
""
""
""
""
""
""
""
""
2886.0
""
122.0
""
""
1982.0
25.0
""
""
""
""
""
""
""
275.0
""
""
""
""
90.0
""
""
""
34.0
""
""
""
""
""
""
""
""
""
""
""
94.0
""
""
""
""
""
""
""
""
""
""
47.0
""
3549.0
3693.0
83.0
291.0
3344.0
557.0
133.0
75.0
1257.0
4413.0
988.0
13906.0
1727.0
105.0
833.0
130.0
2039.0
16377.0
56.0
349.0
134.0
745.0
608.0
444.0
134.0
31.0
10011.0
2932.0
195.0
44.0
1149.0
""
21.0
73.0
115.0
45.0
168.0
334.0
383.0
6894.0
28.0
484.0
401.0
201.0
""
920.0
1618.0
2578.0
146.0
31.0
243.0
1141.0
1364.0
275.0
21374.0
194.0
216.0
840.0
102.0
8153.0
879.0
7996.0
533.0
3650.0
3316.0
543.0
398.0
1850.0
283.0
763.0
1989.0
187.0
173.0
133.0
89.0
1870.0
97.0
115.0
83.0
157.0
35.0
89.0
36.0
708.0
33.0
220.0
331.0
295.0
80.0
3251.0
110.0
21.0
281.0
139.0
515.0
529.0
245.0
54.0
366.0
95.0
662.0
36.0
67.0
4207.0
487.0
64.0
268.0
1267.0
79.0
7320.0
86.0
5087.0
379.0
452.0
707.0
218.0
842.0
114.0
436.0
""
""
388.0
18271.0
183.0
245.0
2637.0
1258.0
209.0
""
196.0
