coll_asian_female_n
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
38.0
""
""
""
""
""
""
""
29.0
""
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
90.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
280.0
""
""
66.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
29.0
""
""
""
""
""
31.0
""
""
""
""
""
""
""
""
""
1215.0
""
""
""
""
""
559.0
""
""
269.0
""
""
""
""
125.0
32.0
""
""
5004.0
""
49.0
""
""
65.0
""
""
106.0
22.0
""
1810.0
43.0
""
357.0
614.0
""
473.0
1140.0
1055.0
322.0
20.0
701.0
61.0
1700.0
33.0
""
""
""
320.0
55.0
105.0
36.0
""
""
56.0
""
253.0
45.0
20.0
74.0
""
106.0
""
""
""
44.0
""
""
""
""
""
""
""
""
""
67.0
""
25.0
""
""
62.0
""
""
""
""
""
""
""
""
64.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
113.0
101.0
""
""
83.0
30.0
""
""
""
59.0
""
45.0
29.0
""
23.0
""
31.0
174.0
""
""
""
21.0
""
""
""
""
94.0
42.0
""
""
""
""
""
""
""
""
""
""
""
116.0
""
""
""
""
""
""
30.0
""
""
""
""
""
""
""
136.0
""
""
21.0
""
154.0
""
71.0
26.0
102.0
27.0
""
""
""
""
""
49.0
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
68.0
""
87.0
""
""
23.0
""
""
""
""
""
""
""
141.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
91.0
""
""
""
""
""
""
182.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
106.0
1378.0
61.0
133.0
28.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
29.0
""
""
""
""
""
1161.0
""
""
""
""
""
410.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
48.0
""
""
""
148.0
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
88.0
""
33.0
""
""
30.0
""
""
""
""
""
""
""
""
