staytract_natam_pooled_n
95.0
55.0
""
154.0
109.0
""
347.0
""
""
54.0
100.0
473.0
""
39.0
73.0
""
356.0
97.0
26.0
146.0
210.0
4141.0
259.0
57.0
400.0
73.0
141.0
181.0
420.0
""
23.0
54.0
291.0
200.0
161.0
196.0
43.0
26.0
""
""
172.0
22.0
""
""
""
""
468.0
789.0
176.0
139.0
218.0
144.0
55.0
""
""
189.0
""
101.0
""
43.0
25.0
250.0
""
39.0
20.0
25.0
""
""
""
""
""
""
""
23.0
33.0
""
23.0
22.0
""
238.0
29.0
32.0
""
52.0
321.0
31.0
38.0
95.0
656.0
220.0
63.0
""
22.0
106.0
""
""
52.0
88.0
533.0
187.0
178.0
531.0
318.0
160.0
198.0
443.0
146.0
375.0
49.0
96.0
78.0
68.0
179.0
""
243.0
160.0
118.0
""
""
""
54.0
""
""
41.0
""
78.0
72.0
""
""
""
615.0
33.0
30.0
""
50.0
27.0
100.0
92.0
""
25.0
125.0
101.0
""
""
29.0
""
110.0
493.0
""
40.0
47.0
221.0
45.0
""
448.0
396.0
111.0
93.0
34.0
22.0
""
""
106.0
572.0
""
1013.0
278.0
108.0
716.0
113.0
1422.0
202.0
203.0
238.0
68.0
55.0
213.0
524.0
181.0
212.0
50.0
53.0
208.0
""
""
279.0
""
""
63.0
""
""
70.0
178.0
""
""
20.0
46.0
35.0
197.0
""
193.0
110.0
49.0
74.0
82.0
134.0
254.0
22.0
51.0
66.0
44.0
70.0
""
""
134.0
119.0
87.0
337.0
29.0
41.0
""
""
78.0
""
326.0
51.0
25.0
27.0
201.0
92.0
109.0
58.0
""
34.0
""
25.0
""
47.0
""
""
40.0
""
28.0
67.0
""
""
41.0
371.0
25.0
36.0
791.0
62.0
194.0
""
121.0
135.0
""
147.0
""
59.0
30.0
79.0
118.0
142.0
115.0
1228.0
86.0
505.0
621.0
93.0
141.0
31.0
""
127.0
66.0
72.0
187.0
105.0
23.0
51.0
353.0
""
""
597.0
214.0
24.0
66.0
573.0
25.0
214.0
115.0
22.0
137.0
266.0
82.0
""
33.0
49.0
27.0
182.0
1785.0
77.0
362.0
98.0
""
""
""
112.0
29.0
""
36.0
49.0
28.0
61.0
460.0
592.0
456.0
224.0
183.0
130.0
""
188.0
22.0
20.0
""
26.0
72.0
33.0
29.0
86.0
""
92.0
177.0
739.0
24.0
940.0
106.0
73.0
23.0
485.0
""
""
49.0
87.0
34.0
33.0
52.0
54.0
21.0
36.0
20.0
22.0
31.0
""
24.0
42.0
""
40.0
30.0
31.0
42.0
20.0
605.0
""
29.0
""
""
""
""
""
""
""
366.0
""
""
""
271.0
""
503.0
131.0
""
""
""
""
""
""
189.0
""
47.0
""
49.0
124.0
68.0
125.0
""
368.0
73.0
""
259.0
179.0
92.0
150.0
745.0
31.0
""
213.0
254.0
""
33.0
""
63.0
25.0
""
""
""
70.0
81.0
53.0
20.0
129.0
170.0
""
177.0
""
56.0
28.0
""
25.0
""
""
""
""
131.0
""
""
""
932.0
188.0
35.0
""
240.0
133.0
83.0
""
422.0
49.0
30.0
""
""
32.0
250.0
157.0
203.0
29.0
""
389.0
""
""
""
32.0
""
""
414.0
""
""
123.0
""
""
""
""
""
""
""
""
""
""
""
""
31.0
""
20.0
246.0
1209.0
""
""
27.0
20.0
41.0
""
""
""
""
""
""
24.0
107.0
""
93.0
451.0
564.0
40.0
119.0
55.0
24.0
882.0
52.0
782.0
71.0
44.0
""
""
100.0
32.0
271.0
91.0
900.0
39.0
118.0
2145.0
3282.0
1213.0
397.0
7370.0
743.0
57.0
308.0
341.0
253.0
""
34.0
""
76.0
""
51.0
102.0
44.0
""
136.0
59.0
""
""
""
28.0
37.0
""
""
24.0
21.0
""
""
41.0
""
""
340.0
""
464.0
""
""
""
129.0
""
""
""
""
""
""
90.0
166.0
40.0
135.0
1152.0
244.0
47.0
23.0
48.0
""
""
""
21.0
""
29.0
""
""
97.0
""
""
133.0
22.0
""
""
24.0
30.0
85.0
34.0
164.0
873.0
1509.0
150.0
185.0
116.0
105.0
858.0
107.0
22.0
906.0
253.0
694.0
5242.0
970.0
556.0
79.0
771.0
55.0
1868.0
47.0
""
290.0
320.0
176.0
98.0
268.0
142.0
211.0
961.0
217.0
40.0
712.0
347.0
396.0
330.0
""
""
""
270.0
365.0
""
""
130.0
474.0
""
""
101.0
105.0
76.0
""
21.0
450.0
232.0
62.0
""
68.0
""
185.0
""
""
30.0
491.0
""
""
36.0
3118.0
102.0
5177.0
303.0
1725.0
120.0
""
4529.0
2238.0
398.0
6097.0
26.0
54.0
45.0
323.0
49.0
""
217.0
46.0
24.0
40.0
""
260.0
1048.0
115.0
404.0
""
""
""
122.0
""
69.0
331.0
""
23.0
371.0
406.0
256.0
155.0
263.0
476.0
489.0
957.0
456.0
1476.0
734.0
231.0
40.0
""
744.0
505.0
1218.0
1004.0
33.0
145.0
1055.0
245.0
265.0
4071.0
174.0
33.0
57.0
101.0
653.0
310.0
404.0
1282.0
107.0
937.0
140.0
666.0
342.0
36.0
""
251.0
""
""
""
392.0
239.0
3273.0
