kir_native_other_male_n
48.0
21.0
""
75.0
44.0
""
123.0
""
""
27.0
35.0
149.0
""
""
28.0
""
""
56.0
""
""
55.0
135.0
44.0
24.0
174.0
""
24.0
89.0
240.0
""
""
""
145.0
144.0
""
55.0
""
""
""
""
41.0
""
""
""
""
""
156.0
33.0
85.0
29.0
72.0
49.0
22.0
""
""
72.0
""
""
""
24.0
""
83.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
119.0
""
""
""
""
148.0
""
""
67.0
76.0
47.0
""
""
""
60.0
""
""
22.0
38.0
297.0
78.0
56.0
231.0
116.0
53.0
84.0
186.0
71.0
174.0
""
31.0
41.0
35.0
79.0
""
89.0
79.0
91.0
""
""
""
24.0
""
""
24.0
""
42.0
42.0
""
""
""
349.0
""
""
""
30.0
""
54.0
39.0
""
""
64.0
43.0
""
""
""
""
46.0
""
""
""
""
86.0
22.0
""
141.0
48.0
""
39.0
""
""
""
""
47.0
359.0
""
770.0
53.0
23.0
53.0
62.0
819.0
141.0
37.0
101.0
32.0
""
136.0
244.0
32.0
49.0
21.0
30.0
229.0
21.0
20.0
266.0
""
""
63.0
""
""
32.0
134.0
""
""
""
43.0
47.0
124.0
""
136.0
58.0
23.0
28.0
54.0
75.0
188.0
26.0
34.0
50.0
35.0
34.0
""
""
78.0
119.0
94.0
372.0
23.0
31.0
21.0
24.0
25.0
20.0
275.0
47.0
33.0
53.0
302.0
98.0
95.0
52.0
""
27.0
""
28.0
""
52.0
""
21.0
23.0
""
21.0
64.0
""
22.0
32.0
177.0
25.0
48.0
303.0
58.0
47.0
""
74.0
""
""
146.0
""
105.0
39.0
78.0
141.0
148.0
123.0
712.0
112.0
515.0
659.0
85.0
71.0
""
""
40.0
""
""
117.0
54.0
27.0
55.0
244.0
""
""
536.0
145.0
22.0
88.0
460.0
21.0
22.0
""
""
20.0
27.0
""
""
""
31.0
22.0
49.0
666.0
20.0
43.0
42.0
""
""
""
20.0
26.0
""
29.0
28.0
""
36.0
78.0
51.0
31.0
57.0
49.0
36.0
20.0
72.0
""
""
""
26.0
67.0
26.0
31.0
70.0
""
68.0
96.0
280.0
21.0
786.0
91.0
24.0
""
347.0
""
""
43.0
50.0
26.0
""
""
""
""
""
28.0
""
""
""
28.0
36.0
""
21.0
""
""
21.0
""
81.0
""
""
""
20.0
""
""
""
""
""
22.0
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
49.0
""
""
""
""
""
""
62.0
""
""
36.0
51.0
""
""
""
24.0
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
77.0
""
""
""
51.0
""
""
""
""
""
36.0
""
""
""
""
""
""
""
29.0
""
66.0
""
""
180.0
""
""
""
""
""
""
186.0
""
""
41.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
86.0
485.0
""
""
""
""
26.0
""
""
""
""
""
""
""
""
""
41.0
90.0
147.0
""
21.0
""
""
95.0
31.0
369.0
34.0
""
""
""
50.0
""
97.0
""
102.0
""
""
207.0
175.0
111.0
63.0
738.0
55.0
""
44.0
86.0
25.0
""
""
""
""
""
""
44.0
20.0
""
36.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
153.0
""
251.0
""
""
""
31.0
""
""
""
""
""
""
35.0
71.0
""
35.0
446.0
72.0
""
""
""
""
""
""
""
""
""
""
""
46.0
""
""
40.0
""
""
""
""
""
41.0
""
120.0
257.0
451.0
45.0
56.0
37.0
41.0
102.0
""
""
100.0
23.0
64.0
549.0
81.0
68.0
31.0
53.0
""
250.0
""
""
""
""
""
""
37.0
""
""
24.0
""
""
67.0
""
""
40.0
""
""
""
""
""
""
""
""
44.0
""
""
24.0
30.0
""
""
""
43.0
40.0
""
""
21.0
""
2784.0
168.0
402.0
""
39.0
""
""
""
155.0
""
520.0
""
186.0
33.0
""
48.0
60.0
""
43.0
570.0
""
""
110.0
23.0
""
32.0
""
""
""
""
104.0
354.0
37.0
64.0
""
""
""
""
""
21.0
63.0
""
""
89.0
75.0
73.0
""
52.0
211.0
145.0
286.0
139.0
839.0
593.0
20.0
""
""
101.0
180.0
1356.0
386.0
""
""
653.0
34.0
164.0
2479.0
33.0
""
""
23.0
148.0
35.0
82.0
559.0
20.0
320.0
24.0
51.0
90.0
""
""
35.0
""
""
""
44.0
49.0
1376.0
