kfr_imm_hisp_pooled_n
""
""
""
""
""
""
""
25.0
""
""
""
""
""
""
""
30.0
""
""
""
""
""
""
41.0
""
21.0
""
""
""
""
""
""
""
""
""
""
""
35.0
""
""
""
""
""
""
""
56.0
""
""
""
34.0
""
37.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
136.0
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
348.0
41.0
""
""
""
43.0
3946.0
131.0
""
1773.0
185.0
468.0
62.0
1043.0
""
""
""
120.0
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
50.0
""
""
""
""
""
50.0
21.0
""
""
""
""
76.0
""
""
20.0
2262.0
""
""
153.0
""
55.0
1489.0
""
62.0
2323.0
66.0
24.0
1935.0
""
2514.0
432.0
25.0
""
49053.0
471.0
191.0
""
59.0
896.0
""
""
1852.0
277.0
""
8144.0
133.0
""
6133.0
1199.0
284.0
6610.0
7312.0
1294.0
1390.0
237.0
1927.0
1168.0
2984.0
817.0
55.0
""
22.0
663.0
536.0
1457.0
196.0
98.0
""
1601.0
""
2715.0
363.0
99.0
497.0
""
429.0
""
""
""
159.0
""
""
""
""
""
""
""
""
""
916.0
""
42.0
""
""
291.0
""
23.0
""
""
""
""
""
""
208.0
""
""
""
""
48.0
""
""
""
36.0
""
""
""
""
61.0
""
""
""
""
""
""
88.0
""
21.0
""
""
""
""
""
""
""
""
235.0
""
1065.0
1100.0
46.0
48.0
747.0
126.0
56.0
73.0
47.0
183.0
37.0
506.0
102.0
""
44.0
""
301.0
3579.0
""
61.0
28.0
101.0
313.0
""
""
""
343.0
50.0
32.0
""
""
""
""
""
""
35.0
86.0
81.0
81.0
1785.0
""
70.0
""
""
""
152.0
397.0
53.0
""
""
""
216.0
156.0
59.0
15543.0
102.0
""
95.0
50.0
2214.0
825.0
1613.0
241.0
383.0
530.0
20.0
47.0
209.0
35.0
144.0
672.0
""
""
""
""
358.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
60.0
45.0
""
41.0
26.0
""
130.0
""
247.0
""
""
36.0
""
30.0
""
""
""
""
""
271.0
""
""
""
23.0
""
""
""
""
""
""
""
42.0
24.0
30.0
""
207.0
""
""
""
20.0
""
""
417.0
22.0
146.0
""
""
""
""
""
37.0
28.0
""
""
""
""
""
""
""
""
""
""
""
""
74.0
""
""
25.0
""
""
""
""
""
""
""
""
""
""
""
""
""
106.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
59.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
101.0
""
""
""
""
27.0
396.0
""
37.0
67.0
""
22.0
""
""
60.0
""
""
""
52.0
""
""
""
191.0
""
31.0
""
""
""
24.0
""
""
""
23.0
""
""
26.0
""
""
""
""
""
""
47.0
""
""
23.0
""
""
""
""
55.0
""
""
""
""
""
51.0
""
""
""
""
""
