coll_black_male_n
35.0
62.0
56.0
""
""
26.0
53.0
118.0
78.0
""
""
24.0
40.0
""
""
45.0
41.0
""
""
22.0
""
""
61.0
108.0
""
50.0
43.0
70.0
""
""
""
39.0
37.0
30.0
217.0
""
1062.0
""
27.0
22.0
102.0
29.0
53.0
78.0
250.0
46.0
""
""
612.0
25.0
482.0
74.0
31.0
40.0
55.0
""
86.0
""
49.0
32.0
109.0
40.0
186.0
21.0
""
28.0
""
""
""
90.0
""
""
""
""
31.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
45.0
""
""
""
""
""
457.0
""
""
118.0
""
""
""
""
30.0
""
""
""
""
""
""
""
45.0
22.0
""
""
""
28.0
""
31.0
""
120.0
22.0
""
25.0
""
33.0
""
""
27.0
""
""
26.0
21.0
""
""
""
""
195.0
""
""
""
21.0
""
""
""
27.0
""
""
48.0
75.0
""
""
""
""
43.0
""
68.0
""
""
""
""
""
500.0
""
55.0
""
""
""
33.0
""
""
""
76.0
""
""
""
""
""
707.0
""
""
""
""
""
376.0
""
""
166.0
""
""
""
""
148.0
26.0
""
""
3094.0
""
24.0
""
""
44.0
""
""
57.0
""
""
224.0
""
""
440.0
481.0
""
715.0
593.0
181.0
158.0
""
134.0
56.0
234.0
""
""
""
""
285.0
32.0
37.0
""
""
""
28.0
""
85.0
""
""
73.0
""
202.0
""
""
""
""
""
""
""
""
""
""
""
""
""
276.0
""
""
""
""
202.0
""
""
""
""
""
""
""
""
37.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
346.0
360.0
""
27.0
295.0
58.0
""
""
154.0
492.0
124.0
1384.0
156.0
""
101.0
""
148.0
1336.0
""
36.0
""
67.0
45.0
32.0
""
""
812.0
262.0
20.0
""
104.0
""
""
""
""
""
""
38.0
31.0
605.0
""
35.0
56.0
22.0
""
97.0
145.0
259.0
""
""
24.0
91.0
117.0
25.0
1812.0
""
""
93.0
""
693.0
69.0
684.0
43.0
317.0
