kir_stycz_black_female_n
341.0
121.0
""
1381.0
2676.0
500.0
7120.0
61.0
26.0
2626.0
1905.0
12164.0
""
146.0
1123.0
""
""
583.0
""
845.0
6182.0
6003.0
1883.0
2783.0
9927.0
791.0
1799.0
4166.0
12080.0
744.0
1358.0
1210.0
10895.0
5665.0
1744.0
3185.0
1235.0
1569.0
567.0
755.0
9439.0
1342.0
477.0
96.0
827.0
1424.0
16317.0
1904.0
10531.0
1853.0
2495.0
5407.0
3124.0
179.0
256.0
7454.0
655.0
98.0
135.0
1945.0
858.0
5417.0
267.0
215.0
24.0
72.0
""
""
51.0
25.0
1312.0
1834.0
2613.0
1821.0
857.0
59.0
1640.0
329.0
348.0
20313.0
1778.0
404.0
86.0
581.0
7460.0
236.0
250.0
1550.0
3161.0
644.0
579.0
57.0
28.0
2400.0
""
""
187.0
1072.0
9597.0
2933.0
1702.0
28327.0
7958.0
1665.0
1851.0
9057.0
1897.0
9865.0
728.0
1128.0
1571.0
2882.0
9100.0
858.0
6646.0
5714.0
6785.0
409.0
293.0
494.0
2320.0
744.0
761.0
1149.0
879.0
4549.0
4927.0
683.0
962.0
945.0
41219.0
1367.0
1337.0
442.0
504.0
1274.0
3503.0
4229.0
680.0
1402.0
3571.0
638.0
378.0
673.0
2792.0
666.0
1657.0
1819.0
1338.0
1330.0
204.0
11182.0
3316.0
790.0
3074.0
6373.0
658.0
5694.0
560.0
129.0
""
""
1332.0
24992.0
291.0
39547.0
""
""
""
339.0
33673.0
1060.0
""
1216.0
47.0
""
1252.0
2675.0
23.0
""
""
""
4491.0
86.0
105.0
8409.0
41.0
22.0
1707.0
""
113.0
591.0
6031.0
""
135.0
188.0
116.0
465.0
2735.0
50.0
2281.0
436.0
26.0
227.0
784.0
1516.0
8575.0
55.0
202.0
328.0
73.0
632.0
""
""
3714.0
987.0
980.0
15047.0
55.0
150.0
137.0
75.0
148.0
57.0
7447.0
354.0
51.0
140.0
5803.0
1996.0
622.0
1174.0
""
114.0
""
222.0
""
416.0
""
21.0
161.0
110.0
325.0
575.0
70.0
179.0
1198.0
1706.0
27.0
187.0
6944.0
218.0
36.0
""
190.0
27.0
29.0
1493.0
37.0
566.0
180.0
670.0
975.0
2222.0
1671.0
61505.0
1917.0
23650.0
35249.0
3862.0
2939.0
693.0
214.0
20.0
""
""
119.0
46.0
""
""
1546.0
""
""
7916.0
272.0
""
1009.0
9545.0
72.0
""
""
""
""
""
""
""
""
26.0
28.0
63.0
5177.0
""
20.0
88.0
""
""
""
""
355.0
""
123.0
156.0
20.0
38.0
112.0
88.0
""
43.0
36.0
60.0
""
600.0
27.0
30.0
""
274.0
1231.0
81.0
78.0
735.0
27.0
1181.0
1449.0
8639.0
511.0
47104.0
1367.0
207.0
33.0
17389.0
44.0
47.0
720.0
756.0
158.0
""
""
""
""
24.0
281.0
298.0
261.0
""
136.0
393.0
20.0
492.0
63.0
801.0
264.0
""
41.0
""
""
63.0
35.0
""
""
""
""
""
""
""
""
""
""
""
""
54.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
72.0
""
""
""
""
""
""
""
""
""
39.0
48.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
27.0
674.0
""
""
""
45.0
""
""
""
""
""
64.0
""
""
""
""
""
""
""
83.0
""
201.0
""
""
2333.0
""
""
""
""
""
""
1174.0
""
""
59.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
75.0
3720.0
""
""
""
""
26.0
""
""
""
""
""
""
50.0
""
""
402.0
538.0
1453.0
""
33.0
22.0
25.0
135.0
237.0
8680.0
112.0
57.0
""
""
660.0
""
178.0
""
100.0
""
71.0
358.0
297.0
122.0
59.0
2690.0
161.0
""
86.0
789.0
81.0
""
""
""
48.0
""
96.0
779.0
122.0
32.0
401.0
37.0
""
""
""
71.0
21.0
""
""
30.0
""
""
""
317.0
146.0
33.0
3422.0
""
3664.0
29.0
22.0
""
504.0
""
""
""
""
""
""
84.0
505.0
897.0
1109.0
31896.0
3627.0
847.0
461.0
151.0
""
""
""
27.0
""
67.0
""
""
338.0
""
""
385.0
""
""
33.0
48.0
""
1426.0
395.0
2185.0
8353.0
21355.0
602.0
1810.0
1841.0
1505.0
704.0
102.0
""
161.0
28.0
68.0
4578.0
42.0
290.0
872.0
134.0
""
471.0
""
""
""
""
""
""
""
""
""
""
""
""
186.0
""
""
38.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
727.0
""
""
""
24.0
""
""
""
491.0
""
4213.0
""
848.0
23.0
""
25.0
52.0
""
30.0
""
""
""
98.0
""
""
""
""
""
""
""
40.0
409.0
""
33.0
""
""
""
""
""
""
25.0
""
""
37.0
""
27.0
""
""
585.0
1063.0
1522.0
163.0
5151.0
1688.0
""
""
""
297.0
196.0
11935.0
4587.0
""
""
3851.0
129.0
264.0
33758.0
""
""
26.0
""
190.0
""
30.0
1613.0
""
149.0
""
78.0
107.0
""
""
""
""
""
""
27.0
""
5297.0
