two_par_black_female_mean
0.37259936
0.35206982
0.29223126
0.24176395
0.58150554
0.15651847
0.26006597
0.33433801
0.20801842
0.46737882
0.41286922
0.35848632
0.33516124
0.28084764
0.33352709
0.44674945
0.47165385
0.32674456
0.23830402
0.3547588
0.2394156
0.4183456
0.43485945
0.23033266
0.38845378
0.33532792
0.28940809
0.31987768
0.37040752
0.36262181
0.42236724
0.19005594
0.20058949
0.40772876
0.37392271
0.45016629
0.30033535
0.36484697
0.38827801
0.47125044
0.29120991
0.40888256
0.20039378
0.25899383
0.45875683
0.29137012
0.54742485
0.40145639
0.29456657
0.33305773
0.28631824
0.32680044
0.16238424
0.23947184
0.25184065
0.32124624
0.36910772
0.29009154
0.54722625
0.22099045
0.28693596
0.21992715
0.28870592
0.26103899
0.36388791
0.28709221
""
""
""
0.62824702
""
""
""
""
0.65402728
""
""
""
""
""
""
""
""
0.7012105
""
""
""
""
""
""
""
""
""
""
""
""
""
0.73649818
0.54234666
""
""
""
""
0.42859244
0.65311754
0.56367981
0.51471603
0.45367715
""
0.64857137
0.60253364
0.346724
0.44520411
""
0.59320819
""
0.31518242
0.56906158
""
0.21922919
0.44185954
""
""
0.26840448
0.35505381
0.33571327
0.34580371
0.4187918
0.28117278
0.34439737
0.51860791
0.29180008
0.25979894
0.46298563
""
""
0.33654216
0.759314
""
0.31973252
0.47744289
0.32458308
0.54176402
""
0.31459171
0.34795186
0.65982509
0.35143906
""
0.26806691
0.27269
0.43967322
""
0.41989937
""
""
0.30966792
0.26686659
0.27955908
""
0.24447158
""
0.36574665
""
0.26882201
""
0.42160794
""
0.34376824
0.48450607
0.35145214
""
0.37036684
0.55228269
""
""
0.41240159
0.27043343
""
""
0.3502377
""
0.51003939
0.37831363
0.27833357
""
0.34380633
""
""
0.50330025
""
""
0.4197821
""
0.84758049
0.38640895
""
0.68553489
0.52691126
""
0.41998699
0.51154572
0.53904808
""
0.31777516
0.49960959
0.44737607
""
""
0.49329284
""
""
