lpov_nbh_pooled_pooled_n
44444
20287
4656
60674
39396
6484
84343
6505
4347
30693
34706
123402
4419
12068
31841
3214
2926
30184
4024
6814
50602
61050
29554
18492
109097
5064
18982
48109
115715
9637
12047
18673
92045
58032
11222
47097
10665
14794
3577
4236
53336
10363
4535
1918
6854
8855
133711
27415
77536
18907
34899
52746
25537
1888
2718
51749
6793
2068
2105
16293
8671
60345
3646
8328
10907
9120
2954
5668
6589
9161
8431
12089
15021
18897
8905
3929
16984
10655
4962
114824
13533
15169
7852
16726
113008
12494
13356
24621
47155
25346
18866
7377
8395
44052
8084
3172
17004
36362
200038
55261
61326
324109
127325
56068
57111
166897
51873
119842
12496
32472
25200
22487
66811
5949
58881
76226
53036
3435
2858
3702
21605
10036
8621
12951
8669
39657
37786
8829
6964
6908
320783
13197
17249
7521
23966
13465
45875
32177
5250
11851
35218
19324
3321
5853
17969
4636
22494
14960
9363
9029
11880
92454
23742
5541
65383
55768
6435
38565
7026
13399
1926
5240
27321
214606
3685
388441
11364
11237
4705
31009
435436
42775
12854
53474
12235
5548
47656
120574
14623
8135
8867
10607
115390
11993
10603
180185
4567
14311
45725
3298
7613
20961
98763
4751
6831
16390
25956
27509
80609
10451
65041
38347
13295
19091
37250
55820
137065
15542
23399
30532
22476
36130
4956
5085
71429
65025
44072
225808
17825
18477
10904
16363
20751
11532
144307
32274
22787
33883
194634
71213
57630
34356
4099
19394
3324
11414
4133
26711
2013
11851
27708
13314
15367
36129
11991
11021
22141
92452
13039
25728
190673
30553
17958
3885
22277
12762
9258
81275
15538
66542
19711
54684
96893
91704
70117
818083
93529
440961
454430
54048
38621
13066
2651
22860
2388
5771
56409
24880
7635
20508
120135
571
463
343542
102993
9846
53481
258148
13334
4690
3804
2661
6113
9497
6046
7565
3294
15604
11687
26905
247308
4766
13972
23193
7257
8105
7296
11404
21908
3215
18071
23656
13944
19741
52587
29579
6596
37873
28990
20867
12266
50178
16750
8849
9987
18982
33637
13715
12814
38857
7521
51434
57935
150466
13817
656879
60876
11382
13193
223407
3635
7729
25449
37113
14315
4867
8599
6686
4690
5723
14192
10082
12622
2640
13875
21296
3088
16923
6774
10550
16553
2050
27373
248
1280
5965
4947
2343
1418
1069
2999
2842
12163
226
653
251
1822
736
1050
8141
1251
142
94
285
801
62
689
408
870
1321
3045
1983
2721
3853
1605
20010
4441
1933
1868
343
791
4992
10302
2843
2883
11769
18953
1499
3954
265
12641
8054
1458
933
553
1131
4725
2939
2168
1489
911
489
2447
278
9127
5753
6768
6602
6620
5516
5796
10584
53835
3857
3884
5492
18545
341
248
81
381
7534
12144
2202
1078
6326
7104
4177
2737
8659
19961
2378
28916
4273
4980
82775
4438
1695
162
755
1213
4423
67747
439
393
18586
2139
1005
785
597
1111
1748
969
371
2078
5116
5156
1402
7324
210
2738
45896
213669
2257
86
4459
5182
8586
4229
1057
579
2154
1106
1224
7114
2482
1926
15872
30498
53204
8349
5618
5753
5194
15833
11861
166482
15642
8901
3176
1742
27046
7115
41257
12627
25196
5355
12005
29336
14114
33450
7426
88852
5150
2749
10387
92565
8274
783
5224
161
12899
498
10445
30784
9131
3476
26717
6268
820
606
54
6143
5561
1745
945
3702
1954
2155
3610
16583
3937
1798
109518
4657
175162
3964
6092
115
33591
4158
1802
1450
2187
1844
20780
87919
55220
16844
35825
428434
48255
15599
7959
13245
2189
580
3476
5418
5199
5917
2301
3091
21261
865
1186
16040
2717
476
2330
5715
4986
26912
8643
38272
183465
310009
17726
39224
29101
22075
19719
5500
861
10505
5899
7100
112750
6131
15735
18158
8031
133
35779
436
49
357
509
272
1245
3334
1121
1541
923
342
143
10394
2185
1923
10448
1338
4266
1752
3808
4726
1430
46
537
16023
108
1020
7821
7220
5436
757
1881
11200
12461
5857
1676
9551
98
81730
3488
10187
3977
14283
1054
486
3774
71831
1418
276249
3441
88190
19497
978
18469
24815
3072
14035
9756
12384
5388
49194
6993
645
15431
5393
1030
2841
129
47619
165535
19386
33993
1095
839
3276
4615
1828
10612
13804
636
850
22089
10731
25544
4120
15677
75212
70021
133033
36046
230706
198056
6101
2267
1328
43464
49153
349517
139278
203
1941
234639
30949
53459
1239063
8471
5022
8411
9377
55735
7508
21990
163636
6244
87466
6698
24703
34525
4702
700
15476
154
583
779
15351
8342
319092
