kid_asian_male_n
270
126
20
825
521
40
2135
38
10
653
411
4094
28
950
1429
31
19
259
22
34
371
779
182
121
3996
21
150
499
3689
36
43
184
2493
1148
69
1163
33
98
14
11
459
28
21
5
9
47
4045
431
1225
169
248
821
140
6
6
416
59
5
7
97
37
634
15
24
63
54
20
49
10
30
42
73
78
92
25
7
83
22
10
2003
66
174
28
66
2603
74
36
334
720
100
84
36
61
593
26
14
117
337
5429
677
637
8017
2466
497
804
5486
567
3045
95
285
537
134
904
23
768
908
777
9
12
24
200
79
57
144
45
582
491
45
72
60
17082
94
567
51
504
30
303
364
36
201
490
305
15
39
121
13
170
65
31
112
29
936
150
8
1234
904
22
311
9
95
5
23
422
8221
20
38526
82
57
20
188
17266
1504
107
564
66
23
731
2809
87
44
35
35
1505
64
58
3014
13
63
740
3
52
199
1357
31
51
70
173
142
874
56
763
368
82
167
188
720
2386
238
156
567
288
215
38
20
668
407
235
4498
92
40
42
85
62
105
4144
178
452
161
2798
395
372
668
19
236
12
85
4
274
9
72
135
164
83
304
73
96
395
1836
102
552
4349
618
127
19
197
91
74
2000
106
783
139
1402
1756
1637
1884
106575
4426
54299
24161
1669
651
128
12
147
14
48
826
498
57
236
4379
4
11
27149
1971
81
1374
10459
175
24
46
6
26
46
35
52
15
187
209
349
23722
20
50
995
137
92
56
103
216
17
525
401
188
1451
2060
1302
33
2494
1046
1008
65
1976
87
33
52
327
875
116
89
616
54
554
631
5562
97
45112
1003
169
51
4183
18
22
315
206
47
7
43
25
15
37
49
51
52
17
78
224
16
64
29
34
73
70
266
1
4
17
16
1
3
4
14
21
61
4
3
0
2
1
1
62
2
0
1
0
1
0
4
0
5
0
7
4
10
43
7
308
7
10
8
0
3
15
41
10
17
75
257
9
16
0
73
42
5
3
0
1
14
15
4
6
13
0
9
1
52
120
57
226
63
34
160
124
1888
18
10
27
115
1
1
0
4
32
80
3
2
21
38
71
17
101
527
3
1043
39
36
1313
16
7
0
3
4
17
1370
4
0
122
5
7
2
0
3
1
0
2
6
36
33
6
90
4
45
566
8806
6
0
102
8
40
26
4
0
5
4
3
143
6
2
261
367
2299
32
99
15
108
81
87
3588
49
22
15
3
539
24
380
45
160
30
81
720
74
517
132
1412
9
11
63
746
65
0
21
2
53
7
33
304
107
2
504
27
3
0
0
15
177
5
0
107
7
14
45
244
9
5
4402
17
2429
25
26
0
278
13
9
4
10
12
123
717
611
549
903
29336
1394
148
51
89
8
5
10
22
27
24
4
8
182
1
2
305
11
2
14
18
16
190
24
681
7419
18685
59
243
164
90
221
45
7
64
38
21
3139
26
91
95
11
5
2193
56
0
14
8
6
348
225
52
80
19
54
52
196
5
4
75
4
16
7
12
16
1
0
5
108
0
1
67
34
28
11
4
66
155
20
12
39
0
35036
1985
3878
20
224
14
2
27
1304
15
7716
16
1805
99
1
60
186
10
92
3161
89
15
771
72
3
68
18
3
4
0
446
3697
247
213
1
4
13
7
1
27
165
4
10
658
309
212
164
130
6582
2977
15752
4141
34540
56100
46
10
12
1805
1746
92784
7613
3
31
29324
452
1930
194091
44
222
82
71
908
56
400
11138
63
1685
70
292
612
27
1
109
3
0
8
476
107
33715
