proginc_hisp_pooled_n
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
37.0
""
""
""
""
""
""
""
50.0
""
""
""
39.0
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
101.0
""
""
""
""
29.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
217.0
72.0
47.0
49.0
23.0
""
3233.0
123.0
40.0
1403.0
218.0
208.0
89.0
404.0
""
""
""
88.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
63.0
""
""
""
""
""
34.0
""
""
""
""
""
52.0
""
""
""
1366.0
""
21.0
155.0
26.0
34.0
846.0
""
69.0
1914.0
32.0
42.0
724.0
""
1431.0
310.0
""
20.0
21225.0
328.0
96.0
""
65.0
551.0
""
""
1008.0
184.0
31.0
3931.0
168.0
""
3340.0
1122.0
191.0
3903.0
3842.0
538.0
1051.0
214.0
824.0
621.0
2059.0
408.0
76.0
""
22.0
448.0
352.0
875.0
145.0
61.0
""
1048.0
30.0
1438.0
238.0
61.0
662.0
37.0
416.0
""
""
""
164.0
44.0
""
""
""
""
""
""
""
""
944.0
""
88.0
""
""
444.0
28.0
""
""
""
""
""
""
""
439.0
""
""
""
42.0
150.0
47.0
""
""
78.0
""
""
""
33.0
56.0
48.0
""
""
""
""
23.0
401.0
""
29.0
""
""
""
""
""
""
""
""
324.0
""
449.0
427.0
20.0
35.0
344.0
62.0
25.0
39.0
39.0
163.0
31.0
191.0
52.0
""
30.0
""
179.0
1397.0
""
36.0
23.0
39.0
183.0
""
""
""
190.0
53.0
22.0
""
""
""
""
""
""
22.0
51.0
64.0
50.0
896.0
""
40.0
""
""
""
85.0
224.0
53.0
""
""
""
100.0
93.0
49.0
4957.0
68.0
""
64.0
43.0
929.0
305.0
707.0
128.0
249.0
269.0
""
34.0
114.0
25.0
94.0
275.0
""
""
""
""
175.0
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
45.0
26.0
""
26.0
""
""
59.0
""
160.0
""
""
26.0
""
""
""
""
""
""
""
175.0
""
""
""
""
""
""
""
""
""
""
""
30.0
""
20.0
""
143.0
""
""
""
""
""
""
193.0
""
72.0
""
""
""
""
""
26.0
44.0
""
""
""
""
""
""
""
""
""
""
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
67.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
46.0
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
85.0
""
""
""
""
73.0
516.0
34.0
74.0
96.0
""
32.0
""
""
42.0
""
""
""
44.0
""
""
""
122.0
""
23.0
""
""
""
""
""
""
""
""
""
""
21.0
29.0
""
""
""
""
""
36.0
""
""
""
22.0
""
""
""
50.0
""
""
""
""
""
23.0
""
""
""
""
""
28.0
""
""
""
""
