comcoll_other_pooled_n
""
""
""
""
""
""
""
31.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
24.0
""
82.0
""
""
""
""
""
""
""
77.0
""
""
""
47.0
""
40.0
""
""
""
""
""
""
""
31.0
""
""
""
""
""
""
""
""
""
""
258.0
""
""
""
""
76.0
""
""
31.0
30.0
""
""
""
""
39.0
""
""
""
""
""
25.0
""
""
""
""
""
""
""
55.0
30.0
""
""
""
""
728.0
32.0
""
199.0
""
""
39.0
24.0
""
""
""
45.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
77.0
""
""
""
""
""
45.0
""
""
""
""
""
33.0
""
""
""
821.0
""
""
81.0
""
""
488.0
""
60.0
214.0
""
51.0
""
""
219.0
40.0
""
""
2800.0
27.0
85.0
""
32.0
94.0
""
""
192.0
50.0
35.0
929.0
107.0
""
521.0
749.0
20.0
636.0
1188.0
335.0
311.0
59.0
482.0
142.0
762.0
84.0
73.0
""
24.0
336.0
184.0
183.0
56.0
20.0
""
88.0
""
288.0
73.0
42.0
121.0
""
205.0
""
""
""
66.0
""
""
""
""
""
""
""
""
""
152.0
""
43.0
""
""
309.0
""
""
""
""
""
""
""
""
150.0
""
""
""
""
44.0
""
""
""
29.0
""
""
""
""
""
""
""
""
""
""
""
29.0
""
""
""
""
""
""
""
""
""
""
49.0
""
143.0
132.0
22.0
30.0
137.0
73.0
""
""
45.0
95.0
39.0
94.0
32.0
""
62.0
""
118.0
305.0
""
""
""
43.0
25.0
""
""
""
175.0
92.0
""
""
""
""
""
""
""
""
""
22.0
""
207.0
""
22.0
""
""
""
30.0
49.0
32.0
""
""
""
46.0
36.0
20.0
235.0
""
""
98.0
""
223.0
49.0
157.0
52.0
166.0
61.0
""
""
42.0
35.0
56.0
95.0
""
""
""
""
60.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
51.0
""
""
20.0
""
""
73.0
""
103.0
""
""
31.0
""
""
""
""
""
""
""
139.0
""
""
""
21.0
""
""
""
""
""
""
""
28.0
""
""
""
113.0
""
""
""
""
""
""
129.0
""
26.0
""
""
""
""
""
24.0
30.0
""
""
""
""
""
""
""
""
""
""
""
""
38.0
""
""
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
55.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
71.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
521.0
3311.0
149.0
470.0
71.0
""
""
""
""
""
""
""
""
21.0
""
""
""
49.0
""
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
36.0
""
""
""
""
""
815.0
""
""
""
""
""
210.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
84.0
""
""
""
161.0
22.0
""
""
""
""
""
