two_par_pooled_female_n
22098
10018
2329
30003
19661
3290
42098
3161
2146
15295
17326
61652
2191
5909
15886
1556
1437
14850
1998
3396
25338
30708
14755
9401
54870
2586
9654
24120
58000
4871
6014
9320
46033
28633
5724
23482
5267
7599
1810
2185
26758
5166
2243
962
3464
4541
67126
13940
38844
9481
17353
26378
12855
973
1342
25900
3443
1044
1104
8120
4291
29683
1854
4172
5423
4523
1506
2871
3231
4532
4301
6074
7672
9374
4417
1966
8414
5252
2517
57277
6863
7476
3884
8169
56398
6132
6589
12127
23294
12804
9271
3674
4018
21804
3984
1535
8365
18147
99179
27695
30330
162816
63768
28133
28347
83542
25589
59916
6162
16031
12547
11284
33494
3031
29638
37848
26425
1739
1438
1875
10679
5168
4310
6524
4247
19898
18959
4511
3480
3421
160956
6488
8598
3728
11978
6722
22923
16198
2654
5924
17361
9501
1647
2975
9052
2359
11020
7424
4607
4515
5787
46310
11844
2814
32130
27680
3206
19184
3507
6711
988
2578
13546
107990
1819
194546
5558
5516
2301
15142
216543
21329
6328
26225
5957
2757
23563
59907
7153
3969
4265
5136
57188
5806
5228
89175
2256
7021
22715
1627
3807
10370
48957
2342
3345
8081
12732
13494
39758
5175
32089
18967
6503
9426
18291
27567
67967
7652
11579
14921
10953
17900
2474
2520
35439
32059
21644
112111
8724
9116
5342
8123
10252
5673
71463
15798
11187
16613
96263
35146
28163
16900
1968
9583
1662
5697
2060
13219
971
6000
13589
6624
7570
17940
5869
5421
10975
45391
6491
12437
94366
15131
8706
1881
11046
6309
4582
39985
7616
32695
9692
27058
47690
44979
34722
413484
46168
220726
226598
26837
19209
6497
1328
11438
1217
2797
27771
12290
3730
10192
59279
278
229
170045
51063
4858
26500
128200
6581
2258
1859
1331
2963
4652
2962
3775
1605
7605
5815
13135
121817
2277
6823
11305
3521
3909
3610
5650
10771
1542
8914
11613
6854
9677
25794
14672
3241
18492
14245
10254
6004
24648
8289
4376
5004
9347
16522
6843
6265
19106
3728
25298
28582
74363
6843
330575
30105
5611
6380
110695
1762
3814
12648
18345
7144
2404
4240
3310
2290
2806
7062
4951
6204
1294
6769
10500
1519
8377
3318
5288
8107
999
13294
111
612
2968
2501
1211
711
533
1490
1393
5963
118
344
127
903
368
525
3996
621
65
48
121
394
35
365
194
441
687
1497
1001
1321
1923
781
9805
2168
936
918
188
387
2431
5081
1428
1406
5793
9386
721
1950
127
6271
3937
758
490
258
539
2304
1471
1064
702
479
237
1204
154
4504
2891
3282
3248
3266
2679
2850
5223
26407
1900
1904
2691
9325
188
138
42
219
3749
5906
1104
642
3164
3530
2036
1387
4311
10028
1223
14351
2122
2454
40834
2170
841
82
380
576
2174
33541
224
196
9267
1050
499
382
282
542
857
494
189
1014
2600
2552
693
3672
87
1366
22778
106000
1117
43
2224
2497
4217
2045
523
279
1026
551
602
3475
1197
930
7814
15048
26497
4151
2787
2840
2600
7755
5804
82502
7697
4398
1601
805
13389
3471
20236
6180
12489
2664
5957
14336
7098
16799
3600
44106
2608
1342
5245
48054
4136
383
2787
64
6387
242
5260
15275
4541
1776
13401
3079
412
289
23
3128
2913
863
462
1918
973
1107
1883
8268
2031
885
55122
2355
88027
1921
3092
66
16708
2080
920
793
1118
999
11112
45263
27292
8655
17993
216830
23786
7792
3935
6653
1094
300
1793
2812
2892
2966
1131
1555
10595
418
615
8001
1328
215
1177
2884
2500
13486
4321
19242
92216
157581
8834
19607
14631
11106
9799
2750
428
5254
2934
3512
56144
2979
7852
8971
3928
70
17356
201
28
182
249
130
617
1603
505
752
609
178
74
5053
1070
986
5197
640
2081
860
1923
2366
709
20
266
7919
57
511
3899
3549
2689
354
934
5414
6041
2874
862
4717
46
40517
1708
5087
1922
7250
534
246
1846
36039
733
139012
1708
44482
9609
501
9175
12299
1520
7137
4857
6127
2758
24404
3540
309
7616
2684
493
1380
62
23283
81633
9566
16719
547
408
1550
2295
917
5254
6778
335
418
10890
5323
12727
2048
7647
38313
35651
68789
18235
115306
101329
3018
1118
631
21821
24667
175081
69949
108
950
120543
18299
26983
630474
4148
2496
4176
4645
27371
3627
10705
81701
3223
43599
3340
12472
17280
2278
339
7570
79
293
378
7636
4137
158313
