kir_26_asian_female_n
102.0
49.0
""
293.0
170.0
""
642.0
""
""
223.0
141.0
1225.0
""
138.0
292.0
""
""
102.0
""
""
140.0
349.0
90.0
38.0
1058.0
""
87.0
228.0
1493.0
""
23.0
86.0
845.0
465.0
20.0
379.0
""
39.0
""
""
186.0
""
""
""
""
23.0
1431.0
163.0
435.0
70.0
132.0
295.0
44.0
""
""
153.0
20.0
""
""
25.0
20.0
261.0
""
""
""
21.0
""
""
""
""
27.0
23.0
28.0
35.0
""
""
""
""
""
584.0
""
60.0
""
27.0
816.0
30.0
28.0
120.0
283.0
54.0
36.0
""
21.0
243.0
""
""
45.0
129.0
1865.0
312.0
309.0
2527.0
899.0
252.0
385.0
1919.0
278.0
1150.0
27.0
155.0
204.0
72.0
312.0
""
306.0
318.0
376.0
""
""
""
95.0
24.0
27.0
71.0
20.0
205.0
183.0
25.0
26.0
25.0
4490.0
38.0
138.0
26.0
159.0
26.0
141.0
181.0
""
70.0
176.0
152.0
""
23.0
32.0
""
106.0
28.0
22.0
23.0
""
293.0
62.0
""
610.0
267.0
""
137.0
""
46.0
""
""
170.0
2661.0
""
10443.0
33.0
27.0
""
78.0
4030.0
375.0
40.0
208.0
35.0
21.0
237.0
806.0
31.0
20.0
""
29.0
559.0
23.0
23.0
813.0
""
""
209.0
""
""
113.0
403.0
""
""
39.0
90.0
66.0
327.0
37.0
293.0
133.0
42.0
47.0
91.0
240.0
727.0
70.0
72.0
143.0
69.0
105.0
""
""
282.0
184.0
114.0
1456.0
42.0
36.0
21.0
34.0
26.0
33.0
1101.0
114.0
107.0
89.0
850.0
186.0
183.0
200.0
""
67.0
""
36.0
""
101.0
""
20.0
49.0
65.0
50.0
168.0
47.0
38.0
131.0
615.0
46.0
202.0
1416.0
175.0
52.0
""
83.0
44.0
39.0
673.0
44.0
331.0
52.0
493.0
608.0
607.0
683.0
26807.0
1340.0
13882.0
6816.0
515.0
270.0
62.0
""
46.0
""
""
249.0
145.0
""
70.0
1159.0
""
""
5884.0
601.0
33.0
385.0
2827.0
83.0
""
""
""
""
26.0
20.0
24.0
""
71.0
86.0
150.0
4604.0
""
34.0
267.0
45.0
36.0
25.0
53.0
81.0
""
156.0
123.0
68.0
269.0
398.0
259.0
20.0
396.0
215.0
183.0
24.0
431.0
37.0
20.0
""
78.0
207.0
67.0
47.0
200.0
22.0
202.0
239.0
1207.0
49.0
12496.0
357.0
66.0
22.0
1308.0
""
21.0
108.0
82.0
33.0
""
""
""
""
""
29.0
29.0
35.0
""
43.0
74.0
""
29.0
""
20.0
20.0
""
95.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
38.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
91.0
""
""
""
""
""
""
38.0
""
""
36.0
69.0
""
""
""
34.0
27.0
""
""
""
""
""
""
""
""
""
""
""
""
30.0
36.0
""
85.0
""
""
55.0
39.0
539.0
""
""
""
64.0
""
""
""
""
""
44.0
""
""
""
""
20.0
""
49.0
168.0
""
278.0
""
""
386.0
""
""
""
""
""
""
524.0
""
""
54.0
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
215.0
2395.0
""
""
47.0
""
""
""
""
""
""
""
""
58.0
""
""
103.0
146.0
567.0
22.0
40.0
""
28.0
67.0
61.0
1178.0
38.0
27.0
""
""
171.0
""
143.0
34.0
82.0
""
51.0
293.0
43.0
204.0
34.0
486.0
""
""
38.0
351.0
45.0
""
""
""
31.0
""
""
105.0
45.0
""
203.0
""
""
""
""
""
77.0
""
""
48.0
""
""
""
66.0
""
""
1156.0
""
930.0
""
23.0
""
118.0
""
""
""
""
""
35.0
274.0
260.0
100.0
321.0
8596.0
428.0
48.0
25.0
59.0
""
""
""
""
""
""
""
""
86.0
""
""
106.0
""
""
""
""
""
78.0
""
326.0
2281.0
4774.0
29.0
97.0
68.0
47.0
133.0
27.0
""
23.0
""
""
1013.0
""
51.0
46.0
""
""
597.0
""
""
""
""
""
75.0
46.0
""
24.0
""
""
""
88.0
""
""
40.0
""
""
""
""
""
""
""
""
34.0
""
""
""
""
""
""
""
""
35.0
""
""
""
""
9050.0
336.0
1023.0
""
50.0
""
""
""
441.0
""
2331.0
""
606.0
59.0
""
30.0
77.0
""
32.0
648.0
38.0
""
274.0
22.0
""
26.0
""
""
""
""
158.0
1093.0
72.0
79.0
""
""
""
""
""
23.0
58.0
""
""
175.0
93.0
104.0
30.0
59.0
1525.0
1055.0
2989.0
757.0
7802.0
13427.0
24.0
""
""
606.0
553.0
24672.0
2867.0
""
""
8590.0
178.0
714.0
52393.0
""
41.0
36.0
35.0
337.0
23.0
165.0
2959.0
34.0
608.0
28.0
97.0
278.0
20.0
""
56.0
""
""
""
170.0
45.0
9085.0
