kfr_stycz_hisp_female_n
25.0
74.0
""
""
76.0
""
""
72.0
""
""
27.0
""
""
""
""
58.0
24.0
""
""
""
""
35.0
63.0
""
57.0
29.0
""
49.0
""
35.0
""
""
""
""
41.0
""
273.0
""
40.0
""
39.0
50.0
""
""
215.0
""
""
93.0
204.0
""
113.0
116.0
""
""
""
""
39.0
29.0
78.0
""
31.0
""
41.0
""
""
""
""
""
""
573.0
""
""
""
""
139.0
""
""
35.0
28.0
""
""
""
""
53.0
""
""
""
""
""
""
""
""
""
""
""
""
38.0
1142.0
376.0
263.0
234.0
56.0
77.0
23849.0
635.0
172.0
9045.0
1643.0
1280.0
432.0
2321.0
""
""
""
525.0
""
""
""
56.0
""
""
""
""
""
""
""
55.0
85.0
26.0
""
""
""
""
53.0
""
""
99.0
""
24.0
40.0
22.0
""
29.0
""
""
36.0
70.0
""
""
""
""
""
""
36.0
""
""
22.0
27.0
""
""
""
""
""
""
""
""
""
20.0
66.0
""
321.0
""
""
59.0
""
""
239.0
71.0
""
""
25.0
""
413.0
26.0
""
58.0
8362.0
""
92.0
751.0
91.0
163.0
6184.0
76.0
524.0
12806.0
194.0
218.0
4041.0
49.0
9592.0
1973.0
147.0
54.0
137181.0
2221.0
586.0
33.0
389.0
3366.0
21.0
""
6117.0
1009.0
182.0
25774.0
1120.0
26.0
23669.0
7356.0
1107.0
28446.0
24426.0
3760.0
6648.0
1241.0
5432.0
4173.0
12261.0
2713.0
370.0
""
74.0
2724.0
2276.0
5743.0
760.0
267.0
""
6887.0
130.0
9657.0
1621.0
457.0
4622.0
176.0
2688.0
""
""
59.0
986.0
229.0
22.0
""
""
70.0
21.0
33.0
""
133.0
7116.0
""
496.0
39.0
50.0
2291.0
124.0
154.0
""
""
""
""
58.0
""
3084.0
""
32.0
41.0
137.0
808.0
174.0
""
71.0
415.0
""
41.0
65.0
158.0
315.0
264.0
""
40.0
""
""
118.0
2062.0
""
148.0
""
28.0
""
""
""
""
35.0
""
1755.0
23.0
3028.0
3283.0
192.0
200.0
2480.0
550.0
156.0
259.0
184.0
927.0
186.0
1518.0
251.0
""
169.0
""
903.0
8939.0
""
235.0
124.0
359.0
1188.0
53.0
98.0
""
1463.0
288.0
153.0
""
53.0
""
21.0
""
""
165.0
270.0
423.0
297.0
6371.0
""
225.0
25.0
""
""
578.0
1614.0
190.0
49.0
""
""
806.0
545.0
237.0
36589.0
400.0
53.0
263.0
224.0
6845.0
2524.0
4536.0
995.0
1591.0
1800.0
72.0
170.0
733.0
148.0
545.0
1940.0
48.0
37.0
""
""
1073.0
20.0
31.0
""
""
""
""
""
""
""
51.0
91.0
""
""
63.0
""
""
""
""
""
""
""
""
55.0
""
71.0
30.0
""
224.0
99.0
""
207.0
103.0
""
497.0
""
1009.0
40.0
65.0
125.0
21.0
79.0
""
""
""
""
""
990.0
""
""
66.0
133.0
""
""
24.0
""
""
""
""
125.0
92.0
135.0
""
920.0
20.0
""
60.0
74.0
22.0
""
1449.0
50.0
593.0
""
""
""
""
""
150.0
176.0
""
34.0
""
""
""
""
""
""
""
""
""
""
148.0
""
""
93.0
""
""
""
""
""
""
""
""
""
""
""
""
91.0
316.0
45.0
25.0
""
78.0
24.0
""
""
""
74.0
""
""
""
""
""
255.0
106.0
""
""
""
26.0
""
""
""
""
""
""
""
""
""
25.0
50.0
34.0
""
""
33.0
""
""
""
""
32.0
48.0
""
""
""
""
""
""
""
582.0
""
""
""
""
369.0
2381.0
107.0
309.0
570.0
""
153.0
""
""
222.0
""
""
34.0
248.0
""
""
""
915.0
""
142.0
""
""
""
101.0
30.0
25.0
46.0
87.0
""
73.0
101.0
138.0
""
""
""
""
33.0
171.0
47.0
""
58.0
76.0
66.0
""
""
252.0
""
44.0
25.0
""
""
245.0
""
67.0
""
""
35.0
105.0
""
""
""
""
38.0
32494.0
""
""
182.0
""
23.0
3182.0
""
""
""
""
""
""
""
""
""
104.0
""
""
""
""
72.0
53.0
""
""
20.0
""
""
""
3485.0
198.0
301.0
70.0
2995.0
271.0
""
49.0
34.0
""
""
701.0
113.0
51.0
20.0
183.0
""
""
""
""
""
""
""
""
""
""
123.0
192.0
""
""
""
""
""
""
""
""
568.0
289.0
""
105.0
""
""
""
""
28.0
83.0
""
107.0
""
31.0
""
""
""
216.0
2253.0
41.0
728.0
""
58.0
515.0
37.0
""
""
32.0
""
""
69.0
65.0
""
72.0
""
""
""
""
45.0
59.0
38.0
405.0
""
53.0
""
""
26.0
""
70.0
""
136.0
27.0
""
77.0
22.0
68.0
32.0
21.0
46.0
""
""
""
83.0
""
100.0
30.0
2448.0
115.0
26.0
82.0
939.0
98.0
""
26.0
