spouse_rk_black_female_n
65.0
103.0
70.0
""
""
23.0
46.0
187.0
57.0
""
23.0
42.0
91.0
""
""
70.0
72.0
35.0
""
33.0
""
""
114.0
129.0
""
80.0
41.0
100.0
22.0
""
""
46.0
49.0
47.0
152.0
""
1445.0
""
68.0
29.0
149.0
50.0
45.0
90.0
519.0
70.0
""
""
740.0
38.0
625.0
68.0
29.0
46.0
63.0
27.0
129.0
23.0
118.0
38.0
150.0
47.0
263.0
24.0
20.0
34.0
""
""
""
186.0
""
""
""
""
78.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
96.0
""
""
""
""
""
941.0
""
""
222.0
32.0
""
""
46.0
36.0
29.0
""
""
""
28.0
""
""
43.0
40.0
""
""
""
43.0
27.0
53.0
""
112.0
""
""
42.0
32.0
62.0
""
""
53.0
""
""
45.0
28.0
22.0
""
""
""
293.0
""
""
""
31.0
""
""
""
32.0
""
""
59.0
98.0
31.0
""
""
""
87.0
""
71.0
""
""
""
""
""
881.0
""
69.0
29.0
""
""
68.0
""
""
""
84.0
""
32.0
""
""
""
1151.0
""
""
25.0
""
""
689.0
""
""
264.0
""
""
28.0
""
249.0
61.0
""
""
4473.0
34.0
53.0
""
""
90.0
""
""
114.0
26.0
""
489.0
40.0
""
927.0
886.0
""
1354.0
1377.0
278.0
305.0
39.0
245.0
104.0
494.0
26.0
""
""
""
513.0
48.0
139.0
""
""
""
60.0
""
217.0
41.0
20.0
142.0
""
432.0
""
""
""
31.0
""
""
""
""
""
""
""
""
""
442.0
""
40.0
""
""
457.0
""
""
""
""
""
""
""
""
75.0
""
""
""
""
28.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
31.0
""
""
""
""
""
""
""
""
""
""
""
""
725.0
702.0
24.0
64.0
579.0
124.0
43.0
""
230.0
725.0
177.0
1897.0
255.0
""
168.0
""
393.0
2852.0
""
90.0
39.0
142.0
107.0
55.0
""
""
1544.0
486.0
45.0
""
121.0
""
""
""
""
""
""
65.0
59.0
1079.0
""
73.0
59.0
31.0
""
147.0
265.0
431.0
""
""
21.0
176.0
232.0
45.0
3294.0
34.0
36.0
187.0
""
1371.0
151.0
1256.0
102.0
505.0
472.0
65.0
74.0
276.0
61.0
120.0
386.0
30.0
24.0
""
""
292.0
""
26.0
23.0
31.0
""
""
""
88.0
""
31.0
39.0
40.0
""
457.0
""
""
57.0
29.0
75.0
57.0
33.0
""
72.0
""
100.0
""
""
634.0
91.0
""
64.0
169.0
""
1053.0
""
951.0
60.0
44.0
147.0
31.0
119.0
""
42.0
""
""
46.0
2796.0
28.0
32.0
348.0
221.0
21.0
""
37.0
30.0
37.0
""
""
177.0
57.0
""
""
2086.0
""
""
146.0
""
33.0
32.0
861.0
""
68.0
31.0
""
24.0
23.0
""
272.0
295.0
""
32.0
""
""
35.0
""
""
55.0
25.0
""
94.0
31.0
363.0
""
""
268.0
""
53.0
20.0
26.0
""
""
40.0
""
63.0
27.0
""
24.0
""
686.0
109.0
""
""
88.0
58.0
""
""
""
29.0
""
24.0
""
""
""
851.0
138.0
""
41.0
""
87.0
""
""
75.0
""
""
29.0
""
20.0
21.0
102.0
66.0
33.0
""
""
79.0
""
21.0
""
47.0
26.0
64.0
86.0
""
48.0
44.0
""
""
""
29.0
""
25.0
""
43.0
""
427.0
""
""
33.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
127.0
""
""
""
""
""
5679.0
""
""
20.0
""
""
391.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
45.0
""
""
""
""
""
183.0
107.0
""
""
381.0
""
""
""
""
""
""
39.0
80.0
114.0
""
152.0
""
""
""
""
""
""
""
""
""
""
""
195.0
""
""
""
""
""
""
""
""
65.0
536.0
""
140.0
""
""
""
""
33.0
""
""
62.0
""
""
""
""
""
""
535.0
""
169.0
""
""
301.0
23.0
""
""
""
""
""
""
61.0
""
""
""
""
""
""
""
63.0
""
85.0
""
32.0
""
""
""
""
36.0
""
62.0
""
""
29.0
""
49.0
""
""
""
""
""
""
""
""
20.0
""
922.0
84.0
""
72.0
1383.0
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
35.0
""
""
""
""
""
""
217.0
""
""
""
""
