staycz_hisp_pooled_n
109.0
271.0
""
20.0
181.0
""
26.0
320.0
30.0
25.0
77.0
""
""
""
""
225.0
71.0
""
""
30.0
""
102.0
314.0
41.0
163.0
100.0
38.0
134.0
""
98.0
46.0
""
""
23.0
166.0
66.0
807.0
""
105.0
39.0
171.0
131.0
""
27.0
709.0
""
28.0
270.0
625.0
""
453.0
297.0
""
""
31.0
""
139.0
77.0
250.0
""
95.0
43.0
178.0
50.0
""
""
""
""
""
1910.0
""
""
""
""
549.0
""
""
141.0
105.0
50.0
66.0
""
""
154.0
""
""
""
""
""
29.0
""
22.0
25.0
""
""
""
160.0
3438.0
1302.0
654.0
788.0
257.0
265.0
57259.0
2021.0
734.0
22976.0
4082.0
3278.0
1469.0
7116.0
21.0
66.0
53.0
1419.0
51.0
44.0
""
167.0
30.0
69.0
""
33.0
""
26.0
47.0
163.0
252.0
104.0
26.0
""
45.0
33.0
183.0
44.0
""
270.0
20.0
83.0
121.0
60.0
64.0
80.0
""
26.0
134.0
185.0
""
""
""
22.0
36.0
40.0
118.0
29.0
""
84.0
114.0
""
""
20.0
""
48.0
""
37.0
""
42.0
78.0
190.0
""
1069.0
21.0
43.0
195.0
39.0
""
682.0
204.0
33.0
""
100.0
36.0
1069.0
129.0
""
148.0
23276.0
""
269.0
2328.0
302.0
550.0
15689.0
294.0
1401.0
32300.0
599.0
727.0
12059.0
188.0
25554.0
5332.0
447.0
297.0
327155.0
5813.0
1789.0
149.0
1136.0
9505.0
95.0
48.0
17110.0
2702.0
575.0
63056.0
3031.0
108.0
57567.0
18992.0
3163.0
69651.0
64404.0
9525.0
17904.0
3712.0
14377.0
11661.0
35145.0
7469.0
1254.0
22.0
353.0
7920.0
6299.0
15515.0
2172.0
914.0
31.0
18015.0
450.0
24537.0
4338.0
1352.0
11148.0
650.0
6890.0
82.0
32.0
181.0
2854.0
619.0
124.0
""
40.0
226.0
84.0
95.0
""
389.0
16521.0
""
1344.0
154.0
142.0
7093.0
432.0
503.0
21.0
""
45.0
""
237.0
""
7468.0
""
91.0
175.0
450.0
2363.0
604.0
34.0
283.0
1374.0
""
175.0
263.0
500.0
907.0
896.0
20.0
105.0
65.0
40.0
428.0
5691.0
58.0
549.0
26.0
107.0
""
""
40.0
22.0
120.0
58.0
4963.0
109.0
8454.0
8197.0
535.0
584.0
6539.0
1437.0
432.0
694.0
607.0
2610.0
516.0
3727.0
1014.0
34.0
669.0
51.0
3317.0
27450.0
34.0
756.0
492.0
1150.0
3244.0
181.0
282.0
21.0
4231.0
1114.0
439.0
""
179.0
42.0
73.0
21.0
30.0
431.0
949.0
1173.0
1015.0
17122.0
33.0
760.0
98.0
30.0
25.0
1717.0
4648.0
744.0
152.0
""
30.0
2263.0
1892.0
776.0
97476.0
1218.0
173.0
1118.0
694.0
19242.0
7202.0
13355.0
2920.0
4580.0
5302.0
279.0
582.0
2316.0
536.0
1682.0
5995.0
144.0
124.0
42.0
26.0
3708.0
60.0
119.0
39.0
36.0
39.0
23.0
""
49.0
34.0
177.0
252.0
47.0
36.0
222.0
""
""
30.0
88.0
62.0
46.0
34.0
""
205.0
39.0
219.0
85.0
""
748.0
430.0
44.0
593.0
340.0
""
1412.0
""
2824.0
130.0
163.0
449.0
37.0
282.0
23.0
26.0
""
29.0
51.0
2892.0
24.0
23.0
204.0
377.0
""
27.0
83.0
33.0
24.0
27.0
20.0
468.0
260.0
408.0
33.0
2592.0
57.0
""
215.0
215.0
68.0
29.0
4289.0
158.0
1620.0
""
46.0
76.0
26.0
31.0
482.0
615.0
23.0
147.0
20.0
26.0
""
""
""
26.0
22.0
""
67.0
45.0
642.0
""
45.0
292.0
65.0
30.0
""
24.0
44.0
""
21.0
""
46.0
29.0
""
""
204.0
1226.0
136.0
95.0
29.0
242.0
101.0
48.0
22.0
24.0
194.0
""
30.0
""
""
""
918.0
267.0
""
21.0
""
80.0
39.0
""
67.0
""
""
59.0
""
""
""
89.0
167.0
122.0
""
""
96.0
""
""
""
30.0
89.0
156.0
65.0
""
23.0
57.0
""
""
31.0
1493.0
""
21.0
""
37.0
1117.0
7407.0
367.0
993.0
1550.0
""
548.0
49.0
26.0
639.0
27.0
27.0
111.0
770.0
37.0
""
""
2509.0
34.0
528.0
22.0
""
""
316.0
91.0
96.0
135.0
229.0
40.0
219.0
305.0
438.0
89.0
43.0
""
62.0
125.0
668.0
165.0
27.0
178.0
301.0
212.0
50.0
""
781.0
""
156.0
76.0
""
""
637.0
""
191.0
""
60.0
110.0
383.0
30.0
25.0
""
58.0
122.0
79131.0
37.0
""
524.0
45.0
73.0
8136.0
""
""
38.0
""
43.0
40.0
44.0
""
""
267.0
""
""
""
""
226.0
157.0
98.0
""
59.0
22.0
32.0
""
8871.0
569.0
777.0
227.0
7898.0
812.0
""
172.0
118.0
49.0
36.0
1930.0
405.0
176.0
59.0
557.0
56.0
36.0
""
28.0
20.0
47.0
30.0
37.0
45.0
""
391.0
567.0
29.0
30.0
""
""
""
27.0
42.0
""
1543.0
895.0
43.0
348.0
""
""
22.0
""
111.0
243.0
