jail_asian_pooled_n
220.0
88.0
22.0
560.0
347.0
28.0
1302.0
28.0
""
440.0
304.0
2472.0
""
321.0
602.0
""
""
194.0
""
30.0
274.0
674.0
167.0
81.0
2127.0
20.0
152.0
464.0
3087.0
44.0
46.0
153.0
1706.0
950.0
51.0
752.0
26.0
53.0
""
""
341.0
26.0
""
""
""
38.0
2910.0
320.0
881.0
144.0
244.0
581.0
106.0
""
""
290.0
29.0
""
""
63.0
41.0
490.0
""
35.0
33.0
49.0
""
20.0
""
""
47.0
37.0
55.0
68.0
27.0
""
40.0
37.0
""
1178.0
51.0
119.0
29.0
60.0
1566.0
71.0
52.0
239.0
514.0
95.0
70.0
22.0
39.0
487.0
21.0
""
90.0
247.0
3636.0
608.0
585.0
5053.0
1795.0
500.0
763.0
3794.0
530.0
2346.0
62.0
310.0
394.0
139.0
633.0
""
662.0
607.0
714.0
""
""
27.0
158.0
48.0
51.0
134.0
42.0
425.0
364.0
43.0
49.0
43.0
8686.0
71.0
279.0
51.0
316.0
44.0
274.0
342.0
40.0
120.0
356.0
268.0
""
38.0
74.0
""
192.0
54.0
41.0
51.0
27.0
566.0
112.0
""
1175.0
532.0
""
275.0
20.0
87.0
""
20.0
350.0
5312.0
""
21556.0
65.0
57.0
22.0
160.0
8142.0
726.0
82.0
399.0
61.0
32.0
450.0
1471.0
63.0
36.0
28.0
53.0
1099.0
40.0
55.0
1642.0
""
39.0
401.0
""
26.0
213.0
843.0
""
21.0
71.0
152.0
128.0
673.0
54.0
583.0
281.0
75.0
94.0
189.0
471.0
1445.0
132.0
133.0
278.0
142.0
185.0
25.0
22.0
581.0
342.0
241.0
2907.0
80.0
70.0
44.0
69.0
57.0
68.0
2122.0
203.0
224.0
165.0
1737.0
348.0
387.0
377.0
""
152.0
""
73.0
""
214.0
""
38.0
123.0
128.0
86.0
333.0
73.0
74.0
240.0
1222.0
82.0
387.0
2731.0
336.0
99.0
20.0
162.0
80.0
58.0
1277.0
83.0
647.0
102.0
961.0
1258.0
1247.0
1324.0
56556.0
2761.0
28695.0
13843.0
1058.0
540.0
112.0
""
110.0
""
31.0
470.0
268.0
31.0
143.0
2217.0
""
""
11837.0
1173.0
71.0
733.0
5693.0
139.0
22.0
28.0
""
29.0
44.0
31.0
45.0
24.0
136.0
143.0
261.0
8824.0
24.0
67.0
498.0
84.0
61.0
44.0
108.0
196.0
""
274.0
227.0
136.0
588.0
845.0
490.0
31.0
772.0
437.0
379.0
56.0
845.0
82.0
47.0
36.0
173.0
441.0
119.0
104.0
369.0
36.0
441.0
477.0
2392.0
98.0
26454.0
723.0
125.0
43.0
2640.0
""
34.0
234.0
200.0
70.0
""
22.0
20.0
""
28.0
59.0
53.0
67.0
""
84.0
148.0
""
71.0
25.0
41.0
39.0
26.0
188.0
""
""
25.0
27.0
""
""
""
""
23.0
40.0
""
""
""
""
""
""
68.0
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
168.0
""
""
""
""
""
24.0
56.0
""
""
81.0
134.0
""
""
""
71.0
46.0
""
""
""
""
""
""
""
""
""
""
""
""
53.0
65.0
41.0
171.0
38.0
42.0
120.0
77.0
1108.0
22.0
""
27.0
115.0
""
""
""
""
35.0
74.0
""
""
25.0
""
40.0
""
112.0
315.0
""
560.0
26.0
20.0
800.0
20.0
""
""
""
""
20.0
1002.0
""
""
104.0
""
""
""
""
""
""
""
""
""
""
""
""
43.0
""
""
412.0
4798.0
""
""
86.0
21.0
32.0
25.0
""
""
""
""
""
127.0
""
""
184.0
285.0
1191.0
47.0
72.0
24.0
81.0
109.0
91.0
2285.0
71.0
47.0
""
""
324.0
24.0
275.0
59.0
155.0
23.0
98.0
569.0
74.0
374.0
76.0
951.0
""
""
63.0
632.0
80.0
""
21.0
""
59.0
""
28.0
246.0
104.0
""
430.0
27.0
""
""
""
""
166.0
""
""
81.0
""
""
44.0
156.0
""
""
2199.0
""
1807.0
""
34.0
""
249.0
20.0
""
""
""
""
74.0
509.0
497.0
211.0
665.0
17797.0
835.0
100.0
43.0
110.0
""
""
""
""
28.0
26.0
""
""
179.0
""
""
233.0
""
""
""
24.0
24.0
176.0
28.0
610.0
4636.0
9477.0
74.0
207.0
137.0
104.0
257.0
48.0
""
48.0
33.0
28.0
2126.0
""
91.0
90.0
26.0
22.0
1205.0
""
""
""
""
""
153.0
113.0
36.0
60.0
""
""
""
158.0
""
""
83.0
""
""
""
""
""
""
""
""
62.0
""
""
24.0
20.0
28.0
""
""
48.0
80.0
""
""
46.0
""
19022.0
694.0
2063.0
""
115.0
""
""
""
885.0
""
4533.0
""
1227.0
122.0
""
55.0
140.0
""
67.0
1268.0
76.0
20.0
539.0
56.0
""
58.0
""
""
""
""
279.0
2180.0
154.0
184.0
""
""
""
""
""
39.0
111.0
""
""
303.0
180.0
201.0
68.0
130.0
2951.0
2113.0
5997.0
1499.0
15203.0
27238.0
44.0
""
""
1243.0
1142.0
51869.0
5855.0
""
""
17389.0
291.0
1442.0
107529.0
44.0
85.0
66.0
72.0
601.0
39.0
289.0
5978.0
56.0
1177.0
59.0
175.0
580.0
31.0
""
100.0
""
""
""
305.0
86.0
18070.0
