grad_hisp_pooled_n
28.0
21.0
""
55.0
85.0
""
144.0
""
""
27.0
39.0
228.0
""
20.0
65.0
""
""
53.0
""
""
45.0
202.0
29.0
23.0
234.0
""
59.0
113.0
252.0
""
""
21.0
146.0
116.0
""
81.0
""
""
""
""
47.0
""
""
""
""
""
387.0
33.0
73.0
""
58.0
46.0
22.0
""
""
70.0
""
""
""
21.0
""
94.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
126.0
""
20.0
""
31.0
144.0
""
""
83.0
71.0
26.0
22.0
""
""
30.0
""
""
23.0
146.0
1268.0
338.0
230.0
6019.0
939.0
396.0
218.0
1443.0
207.0
259.0
20.0
114.0
76.0
29.0
114.0
""
95.0
102.0
87.0
""
""
""
37.0
""
""
36.0
""
71.0
67.0
""
""
""
752.0
""
33.0
""
94.0
""
57.0
95.0
""
""
79.0
31.0
""
""
20.0
""
47.0
""
""
""
""
79.0
""
""
142.0
55.0
""
33.0
""
""
""
""
69.0
342.0
""
1902.0
""
""
""
91.0
1016.0
166.0
44.0
230.0
""
20.0
135.0
477.0
23.0
""
""
""
129.0
""
""
167.0
""
""
60.0
""
""
54.0
123.0
""
""
""
87.0
53.0
281.0
60.0
189.0
117.0
45.0
41.0
53.0
127.0
173.0
""
23.0
73.0
21.0
35.0
""
""
506.0
38.0
178.0
408.0
""
""
""
""
""
""
170.0
29.0
27.0
27.0
164.0
105.0
98.0
37.0
""
""
""
""
""
""
""
""
""
26.0
""
48.0
""
""
25.0
151.0
20.0
41.0
469.0
46.0
29.0
""
43.0
""
29.0
148.0
""
148.0
21.0
354.0
438.0
193.0
387.0
10370.0
387.0
4096.0
1565.0
178.0
82.0
20.0
""
20.0
""
""
34.0
21.0
""
21.0
421.0
""
""
1335.0
147.0
""
292.0
1333.0
21.0
""
""
""
""
""
""
28.0
""
48.0
27.0
39.0
496.0
""
""
33.0
30.0
27.0
""
35.0
32.0
""
83.0
37.0
""
41.0
97.0
76.0
""
58.0
49.0
32.0
""
107.0
""
""
""
51.0
59.0
26.0
30.0
178.0
""
152.0
221.0
627.0
59.0
6473.0
264.0
33.0
""
269.0
""
21.0
36.0
50.0
""
""
""
""
""
""
""
""
""
""
""
37.0
""
""
""
25.0
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
31.0
""
""
""
""
""
""
""
""
""
34.0
42.0
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
45.0
""
""
35.0
""
24.0
20.0
21.0
112.0
""
""
""
47.0
""
""
""
""
67.0
76.0
""
""
26.0
37.0
""
""
50.0
99.0
""
73.0
""
""
276.0
38.0
""
""
""
""
""
476.0
""
""
477.0
55.0
""
""
""
""
""
""
""
""
""
61.0
""
34.0
""
""
510.0
2109.0
""
""
53.0
37.0
42.0
""
""
""
""
""
""
22.0
""
""
48.0
131.0
273.0
42.0
30.0
""
44.0
42.0
33.0
550.0
41.0
22.0
""
""
26.0
""
57.0
32.0
60.0
""
29.0
84.0
36.0
148.0
""
336.0
""
""
30.0
3549.0
134.0
""
193.0
""
299.0
""
248.0
580.0
165.0
90.0
414.0
62.0
""
""
""
234.0
109.0
34.0
""
62.0
40.0
41.0
70.0
349.0
37.0
44.0
1476.0
39.0
4743.0
119.0
73.0
""
609.0
171.0
64.0
75.0
111.0
65.0
1137.0
3876.0
1626.0
198.0
469.0
5505.0
214.0
105.0
34.0
238.0
51.0
""
118.0
227.0
236.0
138.0
37.0
62.0
264.0
""
24.0
132.0
""
""
37.0
58.0
57.0
310.0
60.0
351.0
1682.0
3372.0
71.0
241.0
117.0
77.0
107.0
67.0
21.0
59.0
34.0
38.0
521.0
""
73.0
29.0
24.0
""
107.0
""
""
""
""
""
""
""
""
""
""
""
""
31.0
""
""
24.0
""
""
""
""
""
""
""
""
50.0
""
""
""
""
""
""
""
26.0
23.0
""
21.0
38.0
""
516.0
34.0
74.0
158.0
527.0
28.0
""
101.0
1614.0
31.0
3456.0
69.0
1778.0
129.0
""
191.0
157.0
21.0
114.0
73.0
85.0
56.0
233.0
86.0
""
36.0
32.0
""
""
""
176.0
745.0
60.0
144.0
""
""
""
""
""
49.0
83.0
""
""
131.0
43.0
101.0
""
42.0
1416.0
1435.0
3414.0
395.0
2611.0
3494.0
47.0
28.0
""
350.0
426.0
3750.0
1487.0
""
""
3848.0
1119.0
812.0
30876.0
23.0
""
109.0
77.0
165.0
33.0
54.0
579.0
51.0
436.0
25.0
425.0
325.0
""
""
46.0
""
""
""
50.0
21.0
1133.0
