kir_top01_black_pooled_n
1000.0
1455.0
1156.0
299.0
60.0
731.0
1022.0
2708.0
1588.0
107.0
382.0
593.0
1214.0
134.0
78.0
890.0
865.0
591.0
270.0
494.0
278.0
86.0
1324.0
2961.0
82.0
1305.0
1001.0
1567.0
212.0
106.0
247.0
831.0
889.0
644.0
2545.0
160.0
25661.0
117.0
880.0
491.0
2325.0
832.0
1009.0
1614.0
5917.0
1083.0
60.0
127.0
13595.0
669.0
11533.0
1400.0
729.0
892.0
1058.0
418.0
2096.0
380.0
1083.0
850.0
2533.0
1021.0
4872.0
366.0
390.0
751.0
""
""
""
1810.0
""
""
""
""
743.0
""
""
33.0
""
""
27.0
""
""
52.0
""
""
""
""
""
""
""
""
""
""
""
""
""
799.0
145.0
""
27.0
""
""
11194.0
173.0
72.0
2435.0
407.0
""
101.0
328.0
679.0
520.0
""
129.0
""
349.0
87.0
""
835.0
531.0
""
""
75.0
708.0
270.0
642.0
114.0
2685.0
463.0
277.0
836.0
514.0
681.0
""
""
753.0
48.0
22.0
659.0
370.0
330.0
106.0
""
271.0
4523.0
36.0
196.0
""
590.0
282.0
238.0
24.0
509.0
""
""
1183.0
2063.0
418.0
""
292.0
""
1158.0
20.0
1480.0
32.0
180.0
""
162.0
73.0
12971.0
""
1321.0
285.0
""
""
897.0
71.0
21.0
""
1551.0
""
281.0
227.0
242.0
34.0
17865.0
""
""
232.0
""
""
9041.0
""
128.0
3442.0
""
76.0
245.0
""
3283.0
600.0
50.0
25.0
70265.0
341.0
486.0
""
59.0
941.0
""
""
1225.0
192.0
40.0
4953.0
308.0
""
10369.0
10941.0
59.0
16662.0
13559.0
4714.0
3813.0
288.0
3015.0
863.0
4938.0
234.0
123.0
""
54.0
6434.0
599.0
1302.0
205.0
45.0
""
551.0
25.0
1699.0
385.0
261.0
1789.0
""
5014.0
""
""
""
260.0
68.0
""
""
""
""
""
""
""
""
6507.0
""
271.0
""
27.0
4466.0
37.0
20.0
""
""
""
""
""
""
681.0
""
""
""
""
203.0
""
""
""
80.0
""
""
""
""
""
""
""
""
