jail_asian_male_n
106.0
40.0
""
272.0
173.0
""
658.0
""
""
213.0
157.0
1272.0
""
178.0
306.0
""
""
90.0
""
""
133.0
329.0
77.0
46.0
1066.0
""
60.0
235.0
1551.0
22.0
21.0
67.0
871.0
476.0
29.0
375.0
""
""
""
""
155.0
""
""
""
""
""
1449.0
163.0
427.0
79.0
114.0
290.0
58.0
""
""
142.0
""
""
""
36.0
21.0
226.0
""
""
""
26.0
""
""
""
""
""
""
35.0
32.0
""
""
22.0
20.0
""
575.0
31.0
62.0
""
31.0
756.0
36.0
24.0
114.0
233.0
42.0
35.0
""
""
240.0
""
""
49.0
128.0
1791.0
306.0
282.0
2550.0
895.0
246.0
371.0
1910.0
266.0
1190.0
33.0
157.0
193.0
67.0
314.0
""
351.0
285.0
341.0
""
""
""
62.0
22.0
22.0
68.0
22.0
210.0
188.0
20.0
23.0
20.0
4408.0
36.0
151.0
27.0
170.0
""
138.0
151.0
25.0
54.0
190.0
116.0
""
""
41.0
""
91.0
30.0
20.0
31.0
""
279.0
51.0
""
578.0
268.0
""
137.0
""
40.0
""
""
182.0
2620.0
""
10897.0
29.0
26.0
""
80.0
3983.0
367.0
37.0
185.0
22.0
""
213.0
686.0
32.0
""
""
21.0
524.0
""
31.0
826.0
""
20.0
197.0
""
""
102.0
437.0
""
""
29.0
74.0
63.0
330.0
20.0
285.0
145.0
28.0
50.0
98.0
231.0
713.0
67.0
65.0
140.0
73.0
75.0
""
""
283.0
145.0
122.0
1429.0
34.0
32.0
21.0
37.0
26.0
34.0
1002.0
92.0
113.0
79.0
894.0
168.0
198.0
179.0
""
78.0
""
29.0
""
112.0
""
""
69.0
63.0
40.0
158.0
32.0
37.0
111.0
588.0
37.0
186.0
1322.0
163.0
48.0
""
84.0
34.0
""
616.0
38.0
314.0
51.0
469.0
635.0
638.0
648.0
29154.0
1412.0
14541.0
6984.0
506.0
272.0
54.0
""
63.0
""
""
230.0
123.0
""
73.0
1104.0
""
""
5925.0
568.0
37.0
376.0
2870.0
61.0
""
""
""
""
""
""
""
""
57.0
63.0
118.0
4198.0
""
28.0
232.0
39.0
21.0
""
54.0
112.0
""
120.0
106.0
67.0
311.0
444.0
235.0
""
389.0
217.0
201.0
30.0
432.0
43.0
24.0
20.0
92.0
229.0
53.0
54.0
177.0
""
231.0
233.0
1185.0
50.0
13522.0
355.0
57.0
22.0
1301.0
""
""
121.0
115.0
32.0
""
""
""
""
""
27.0
25.0
30.0
""
37.0
73.0
""
34.0
""
22.0
21.0
""
93.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
29.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
79.0
""
""
""
""
""
""
20.0
""
""
40.0
67.0
""
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
29.0
20.0
90.0
23.0
24.0
58.0
37.0
564.0
""
""
""
53.0
""
""
""
""
""
34.0
""
""
""
""
""
""
57.0
156.0
""
285.0
""
""
397.0
""
""
""
""
""
""
495.0
""
""
50.0
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
204.0
2426.0
""
""
41.0
""
""
""
""
""
""
""
""
67.0
""
""
97.0
133.0
617.0
24.0
29.0
""
48.0
41.0
37.0
1116.0
28.0
21.0
""
""
152.0
""
136.0
28.0
80.0
""
45.0
265.0
32.0
171.0
40.0
463.0
""
""
26.0
292.0
39.0
""
""
""
31.0
""
""
137.0
57.0
""
216.0
""
""
""
""
""
82.0
""
""
35.0
""
""
26.0
86.0
""
""
1084.0
""
896.0
""
""
""
127.0
""
""
""
""
""
35.0
233.0
234.0
110.0
341.0
9024.0
404.0
46.0
""
51.0
""
""
""
""
""
""
""
""
85.0
""
""
126.0
""
""
""
""
""
105.0
""
279.0
2349.0
4667.0
43.0
111.0
68.0
57.0
124.0
21.0
""
23.0
""
""
1069.0
""
38.0
37.0
""
""
631.0
""
""
""
""
""
82.0
64.0
22.0
37.0
""
""
""
80.0
""
""
44.0
""
""
""
""
""
""
""
""
29.0
""
""
""
""
""
""
""
31.0
47.0
""
""
28.0
""
9757.0
350.0
1050.0
""
59.0
""
""
""
470.0
""
2257.0
""
613.0
63.0
""
26.0
67.0
""
38.0
618.0
39.0
""
253.0
33.0
""
25.0
""
""
""
""
114.0
1058.0
82.0
96.0
""
""
""
""
""
""
59.0
""
""
143.0
92.0
86.0
32.0
71.0
1455.0
1080.0
3075.0
770.0
7642.0
13733.0
22.0
""
""
637.0
578.0
26541.0
3037.0
""
""
8892.0
123.0
729.0
54644.0
29.0
41.0
32.0
40.0
274.0
""
128.0
3003.0
26.0
572.0
30.0
83.0
295.0
""
""
46.0
""
""
""
151.0
41.0
9023.0
