grad_other_male_n
""
""
""
25.0
""
""
34.0
""
""
""
""
56.0
""
""
""
""
""
""
""
""
""
52.0
""
""
59.0
""
""
27.0
109.0
""
""
""
57.0
52.0
""
28.0
""
""
""
""
""
""
""
""
""
""
67.0
""
29.0
""
""
""
""
""
""
25.0
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
41.0
""
""
""
""
53.0
""
""
23.0
30.0
""
""
""
""
""
""
""
""
""
138.0
24.0
36.0
148.0
51.0
""
32.0
85.0
20.0
69.0
""
""
""
""
29.0
""
27.0
24.0
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
157.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
26.0
""
""
50.0
22.0
""
""
""
""
""
""
""
141.0
""
396.0
""
""
""
21.0
297.0
27.0
""
37.0
""
""
33.0
81.0
""
""
""
""
67.0
""
""
73.0
""
""
""
""
""
23.0
41.0
""
""
""
""
""
41.0
""
42.0
""
""
""
""
37.0
69.0
""
""
""
""
20.0
""
""
31.0
24.0
33.0
132.0
""
""
""
""
""
""
70.0
""
""
""
104.0
34.0
30.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
53.0
""
""
83.0
20.0
""
""
""
""
""
48.0
""
20.0
""
26.0
44.0
65.0
41.0
613.0
53.0
255.0
233.0
25.0
24.0
""
""
""
""
""
30.0
""
""
""
90.0
""
""
237.0
58.0
""
23.0
154.0
""
""
""
""
""
""
""
""
""
""
""
""
189.0
""
""
""
""
""
""
""
""
""
""
""
""
""
29.0
""
""
""
""
""
""
30.0
""
""
""
""
22.0
""
""
""
""
23.0
20.0
71.0
""
349.0
31.0
""
""
111.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
25.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
36.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
49.0
""
""
""
""
""
""
92.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
21.0
165.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
33.0
53.0
""
""
""
""
30.0
""
113.0
""
""
""
""
""
""
25.0
""
30.0
""
""
66.0
54.0
39.0
""
232.0
24.0
""
""
43.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
64.0
""
77.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
165.0
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
56.0
108.0
145.0
""
""
""
""
30.0
""
""
25.0
""
""
177.0
""
""
""
""
""
91.0
""
""
""
""
""
""
""
""
""
""
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
1009.0
49.0
134.0
""
""
""
""
""
70.0
""
209.0
""
60.0
21.0
""
""
""
""
""
170.0
""
""
41.0
""
""
""
""
""
""
""
38.0
124.0
""
21.0
""
""
""
""
""
""
""
""
""
20.0
24.0
24.0
""
23.0
80.0
59.0
107.0
59.0
338.0
277.0
""
""
""
43.0
54.0
657.0
180.0
""
""
360.0
""
55.0
1322.0
""
""
""
""
53.0
""
31.0
195.0
""
93.0
""
27.0
28.0
""
""
""
""
""
""
""
""
535.0
