work_24_asian_pooled_n
""
33.0
""
""
""
""
""
59.0
""
""
""
""
""
""
""
38.0
""
""
""
""
""
""
48.0
""
""
""
""
34.0
""
""
""
""
""
""
48.0
""
305.0
""
22.0
""
77.0
22.0
""
""
290.0
""
""
""
325.0
""
154.0
38.0
""
""
""
""
""
""
116.0
""
""
""
56.0
""
""
""
""
""
""
846.0
""
""
""
""
131.0
""
""
78.0
""
37.0
113.0
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
105.0
55.0
20.0
""
""
""
3029.0
74.0
25.0
697.0
96.0
""
53.0
85.0
""
""
""
128.0
""
""
""
""
""
""
""
""
""
""
""
""
49.0
""
""
""
""
""
25.0
""
""
33.0
""
""
""
""
""
""
""
""
25.0
""
""
""
""
""
""
""
34.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
34.0
""
241.0
""
""
44.0
""
""
302.0
""
""
""
21.0
""
161.0
""
""
""
11925.0
""
""
311.0
""
""
5611.0
33.0
178.0
3400.0
61.0
133.0
122.0
""
1428.0
278.0
30.0
""
46831.0
130.0
475.0
""
46.0
912.0
""
""
1145.0
319.0
42.0
17822.0
506.0
""
4102.0
6564.0
70.0
5269.0
11412.0
8966.0
3535.0
258.0
6691.0
705.0
16608.0
337.0
218.0
""
33.0
3230.0
714.0
1268.0
497.0
35.0
""
698.0
27.0
2240.0
564.0
266.0
793.0
""
1205.0
""
""
""
364.0
139.0
""
""
""
""
""
""
""
""
809.0
""
237.0
""
""
689.0
""
27.0
""
""
""
""
""
""
814.0
""
""
""
""
179.0
""
""
""
59.0
""
""
""
""
""
""
""
""
""
""
""
54.0
""
""
""
""
""
""
""
""
""
""
102.0
""
1333.0
1062.0
144.0
146.0
835.0
352.0
134.0
52.0
129.0
641.0
99.0
551.0
236.0
""
195.0
""
447.0
1967.0
""
91.0
64.0
248.0
89.0
21.0
""
""
1274.0
411.0
67.0
""
""
""
""
""
""
""
""
72.0
71.0
1231.0
""
61.0
20.0
""
""
164.0
255.0
193.0
""
""
""
171.0
152.0
72.0
1563.0
50.0
22.0
282.0
""
1781.0
260.0
1009.0
291.0
1057.0
332.0
26.0
87.0
156.0
123.0
164.0
596.0
""
""
""
""
286.0
""
""
""
""
""
""
""
25.0
""
105.0
37.0
""
""
93.0
""
