kfr_imm_asian_male_n
""
""
""
45.0
31.0
""
113.0
""
""
45.0
29.0
239.0
""
38.0
60.0
""
""
""
""
""
22.0
72.0
""
""
243.0
""
""
49.0
369.0
""
""
""
194.0
86.0
""
65.0
""
""
""
""
34.0
""
""
""
""
""
317.0
32.0
92.0
""
22.0
56.0
""
""
""
23.0
""
""
""
""
""
38.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
95.0
""
""
""
""
138.0
""
""
""
45.0
""
""
""
""
35.0
""
""
""
29.0
330.0
54.0
39.0
526.0
150.0
25.0
60.0
392.0
45.0
253.0
""
24.0
35.0
""
54.0
""
65.0
48.0
65.0
""
""
""
""
""
""
""
""
35.0
26.0
""
""
""
868.0
""
32.0
""
30.0
""
21.0
36.0
""
""
41.0
29.0
""
""
""
""
23.0
""
""
""
""
46.0
""
""
118.0
48.0
""
26.0
""
""
""
""
31.0
538.0
""
2487.0
""
""
""
""
936.0
86.0
""
29.0
""
""
38.0
117.0
""
""
""
""
91.0
""
""
157.0
""
""
44.0
""
""
""
102.0
""
""
""
""
""
65.0
""
63.0
30.0
""
""
""
38.0
139.0
""
""
28.0
""
""
""
""
51.0
""
""
294.0
""
""
""
""
""
""
207.0
""
""
""
187.0
27.0
23.0
21.0
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
109.0
""
30.0
219.0
32.0
""
""
""
""
""
112.0
""
59.0
""
80.0
128.0
98.0
108.0
6837.0
314.0
3576.0
1406.0
106.0
53.0
""
""
""
""
""
34.0
20.0
""
""
205.0
""
""
1162.0
91.0
""
73.0
608.0
""
""
""
""
""
""
""
""
""
""
""
20.0
840.0
""
""
33.0
""
""
""
""
""
""
28.0
""
""
74.0
94.0
48.0
""
100.0
44.0
32.0
""
80.0
""
""
""
""
50.0
""
""
27.0
""
42.0
37.0
207.0
""
3051.0
65.0
""
""
248.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
106.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
63.0
""
""
58.0
""
""
""
""
""
""
87.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
469.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
29.0
136.0
""
""
""
""
""
""
228.0
""
""
""
""
31.0
""
21.0
""
""
""
""
53.0
""
31.0
""
100.0
""
""
""
82.0
""
""
""
""
""
""
""
23.0
""
""
51.0
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
253.0
""
174.0
""
""
""
24.0
""
""
""
""
""
""
57.0
39.0
27.0
65.0
1919.0
90.0
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
27.0
""
""
""
""
""
""
""
53.0
491.0
1023.0
""
""
""
""
28.0
""
""
""
""
""
242.0
""
""
""
""
""
140.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
1717.0
58.0
199.0
""
""
""
""
""
92.0
""
434.0
""
122.0
""
""
""
""
""
""
84.0
""
""
24.0
""
""
""
""
""
""
""
""
195.0
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
305.0
254.0
647.0
168.0
1623.0
3318.0
""
""
""
134.0
123.0
6016.0
601.0
""
""
2247.0
""
139.0
13529.0
""
""
""
""
45.0
""
28.0
608.0
""
87.0
""
""
61.0
""
""
""
""
""
""
32.0
""
1935.0
