kir_native_asian_pooled_n
26.0
""
""
55.0
29.0
""
67.0
""
""
33.0
22.0
116.0
""
""
48.0
""
""
22.0
""
""
30.0
62.0
24.0
""
124.0
""
""
31.0
133.0
""
""
""
77.0
49.0
""
45.0
""
""
""
""
23.0
""
""
""
""
""
97.0
""
47.0
""
25.0
44.0
""
""
""
24.0
""
""
""
""
""
47.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
76.0
""
""
""
""
94.0
""
""
30.0
52.0
""
""
""
""
39.0
""
""
""
""
197.0
34.0
61.0
154.0
80.0
35.0
66.0
147.0
47.0
112.0
""
25.0
20.0
""
48.0
""
54.0
54.0
60.0
""
""
""
21.0
""
""
""
""
26.0
22.0
""
""
""
272.0
""
""
""
""
""
22.0
23.0
""
""
30.0
25.0
""
""
""
""
""
""
""
""
""
49.0
""
""
82.0
40.0
""
28.0
""
""
""
""
27.0
302.0
""
616.0
""
""
""
27.0
547.0
68.0
""
60.0
24.0
""
57.0
172.0
""
""
""
""
79.0
""
""
114.0
""
""
35.0
""
""
""
75.0
""
""
""
23.0
20.0
72.0
""
54.0
39.0
""
""
31.0
40.0
118.0
""
21.0
28.0
""
23.0
""
""
35.0
44.0
45.0
212.0
""
""
""
""
""
""
146.0
31.0
39.0
34.0
191.0
52.0
69.0
26.0
""
""
""
""
""
25.0
""
""
""
""
""
48.0
""
""
21.0
141.0
""
38.0
297.0
54.0
""
""
21.0
22.0
""
143.0
25.0
83.0
""
84.0
140.0
136.0
94.0
1011.0
157.0
613.0
672.0
72.0
54.0
23.0
""
21.0
""
""
60.0
40.0
""
32.0
115.0
""
""
517.0
119.0
""
61.0
335.0
21.0
""
""
""
""
""
23.0
20.0
""
39.0
35.0
52.0
838.0
""
25.0
65.0
21.0
""
""
27.0
35.0
""
34.0
31.0
23.0
49.0
70.0
43.0
""
92.0
64.0
46.0
""
97.0
24.0
""
""
""
29.0
""
""
48.0
""
51.0
82.0
233.0
""
704.0
68.0
""
""
211.0
""
""
20.0
34.0
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
58.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
35.0
""
""
""
""
""
""
""
33.0
22.0
""
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
25.0
""
""
""
""
105.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
25.0
""
32.0
""
""
97.0
""
""
""
""
""
""
82.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
85.0
324.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
31.0
66.0
""
""
""
""
""
""
185.0
""
""
""
""
29.0
""
26.0
""
25.0
""
""
37.0
""
32.0
""
91.0
""
""
""
40.0
""
""
""
""
""
""
""
""
""
""
28.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
95.0
""
133.0
""
""
""
""
""
""
""
""
""
""
31.0
43.0
""
""
341.0
38.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
32.0
168.0
305.0
""
""
""
""
21.0
""
""
""
""
""
108.0
""
""
""
""
""
73.0
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
2246.0
114.0
208.0
""
""
""
""
""
74.0
""
321.0
""
86.0
""
""
""
25.0
""
""
284.0
""
""
70.0
""
""
""
""
""
""
""
45.0
189.0
21.0
38.0
""
""
""
""
""
""
20.0
""
""
41.0
31.0
27.0
""
""
106.0
102.0
278.0
58.0
634.0
625.0
""
""
""
67.0
92.0
1466.0
232.0
""
""
449.0
20.0
104.0
2502.0
""
""
""
""
79.0
""
32.0
327.0
""
145.0
""
28.0
55.0
""
""
21.0
""
""
""
25.0
25.0
837.0
