kir_24_asian_male_n
""
""
""
""
""
""
""
30.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
25.0
""
152.0
""
""
""
32.0
""
""
""
133.0
""
""
""
165.0
""
79.0
""
""
""
""
""
""
""
58.0
""
""
""
26.0
""
""
""
""
""
""
454.0
""
""
""
""
69.0
""
""
47.0
""
21.0
62.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
56.0
25.0
""
""
""
""
1524.0
36.0
""
355.0
43.0
""
27.0
36.0
""
""
""
67.0
""
""
""
""
""
""
""
""
""
""
""
""
25.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
108.0
""
""
26.0
""
""
157.0
""
""
""
""
""
76.0
""
""
""
6143.0
""
""
171.0
""
""
2905.0
""
85.0
1751.0
30.0
65.0
56.0
""
756.0
130.0
""
""
24202.0
77.0
248.0
""
25.0
463.0
""
""
609.0
173.0
24.0
9204.0
262.0
""
2091.0
3320.0
38.0
2724.0
5944.0
4642.0
1807.0
128.0
3456.0
373.0
8507.0
171.0
112.0
""
""
1684.0
368.0
639.0
250.0
""
""
354.0
""
1131.0
284.0
134.0
430.0
""
605.0
""
""
""
180.0
73.0
""
""
""
""
""
""
""
""
404.0
""
120.0
""
""
347.0
""
""
""
""
""
""
""
""
431.0
""
""
""
""
84.0
""
""
""
29.0
""
""
""
""
""
""
""
""
""
""
""
25.0
""
""
""
""
""
""
""
""
""
""
58.0
""
682.0
569.0
83.0
67.0
442.0
166.0
62.0
34.0
68.0
319.0
56.0
294.0
108.0
""
88.0
""
233.0
989.0
""
44.0
32.0
125.0
44.0
""
""
""
666.0
197.0
40.0
""
""
""
""
""
""
""
""
34.0
25.0
621.0
""
28.0
""
""
""
90.0
125.0
97.0
""
""
""
88.0
71.0
35.0
819.0
23.0
""
143.0
""
913.0
131.0
515.0
159.0
527.0
178.0
""
48.0
70.0
70.0
73.0
304.0
""
""
""
""
138.0
""
""
""
""
""
""
""
""
""
56.0
""
""
""
52.0
""
""
""
""
""
""
""
""
""
""
""
24.0
""
116.0
""
""
57.0
51.0
""
420.0
""
490.0
""
""
135.0
""
33.0
""
""
""
""
""
788.0
""
""
20.0
41.0
""
""
""
""
""
""
""
87.0
26.0
47.0
""
575.0
""
""
""
""
""
""
1309.0
32.0
69.0
""
""
""
""
""
121.0
59.0
""
24.0
""
""
""
""
""
""
""
""
""
""
44.0
""
""
30.0
""
""
""
""
""
""
""
""
""
""
""
""
""
83.0
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
83.0
51.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
""
27.0
""
""
""
""
388.0
6034.0
221.0
653.0
133.0
""
22.0
""
""
""
""
""
""
30.0
""
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
26.0
""
""
""
""
""
""
""
""
""
""
""
128.0
""
""
""
""
""
5652.0
""
""
33.0
""
""
