staycz_natam_male_n
47.0
32.0
""
76.0
57.0
""
182.0
""
""
33.0
47.0
245.0
""
""
31.0
""
171.0
48.0
""
73.0
106.0
1942.0
122.0
29.0
206.0
34.0
70.0
87.0
214.0
""
""
28.0
142.0
111.0
63.0
96.0
""
""
""
""
90.0
""
""
""
""
""
253.0
381.0
99.0
64.0
104.0
77.0
33.0
""
""
95.0
""
48.0
""
27.0
""
117.0
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
117.0
""
""
""
31.0
172.0
""
23.0
51.0
352.0
110.0
33.0
""
""
59.0
""
""
27.0
37.0
280.0
106.0
86.0
281.0
157.0
91.0
102.0
261.0
68.0
190.0
29.0
52.0
42.0
38.0
95.0
""
126.0
79.0
60.0
""
""
""
28.0
""
""
""
""
38.0
32.0
""
""
""
321.0
""
""
""
28.0
""
50.0
42.0
""
""
64.0
46.0
""
""
""
""
54.0
255.0
""
29.0
25.0
117.0
24.0
""
243.0
197.0
53.0
53.0
20.0
""
""
""
65.0
288.0
""
526.0
143.0
58.0
374.0
53.0
728.0
103.0
105.0
127.0
27.0
28.0
117.0
274.0
86.0
119.0
28.0
25.0
102.0
""
""
149.0
""
""
34.0
""
""
43.0
97.0
""
""
""
""
""
101.0
""
99.0
51.0
25.0
44.0
57.0
70.0
132.0
""
31.0
35.0
29.0
37.0
""
""
69.0
58.0
41.0
175.0
22.0
""
""
""
37.0
""
158.0
24.0
""
""
98.0
45.0
52.0
33.0
""
""
""
""
""
22.0
""
""
21.0
""
""
34.0
""
""
25.0
186.0
""
""
404.0
30.0
104.0
""
59.0
56.0
""
78.0
""
28.0
""
29.0
55.0
68.0
63.0
620.0
43.0
253.0
316.0
42.0
66.0
""
""
68.0
25.0
25.0
89.0
48.0
""
31.0
182.0
""
""
311.0
105.0
""
33.0
322.0
""
115.0
66.0
""
71.0
120.0
42.0
""
""
26.0
""
109.0
923.0
42.0
188.0
54.0
""
""
""
58.0
""
""
21.0
25.0
""
24.0
228.0
279.0
228.0
110.0
89.0
61.0
""
94.0
""
""
""
""
32.0
21.0
""
45.0
""
52.0
99.0
373.0
""
480.0
61.0
43.0
""
245.0
""
""
35.0
45.0
""
""
29.0
33.0
""
""
""
""
""
""
""
""
""
21.0
20.0
""
22.0
""
303.0
""
""
""
""
""
""
""
""
""
169.0
""
""
""
159.0
""
266.0
65.0
""
""
""
""
""
""
102.0
""
23.0
""
25.0
60.0
42.0
68.0
""
179.0
37.0
""
120.0
88.0
48.0
89.0
396.0
""
""
104.0
122.0
""
""
""
25.0
""
""
""
""
33.0
45.0
32.0
""
64.0
83.0
""
107.0
""
31.0
""
""
""
""
""
""
""
68.0
""
""
""
472.0
98.0
""
""
115.0
76.0
43.0
""
197.0
27.0
""
""
""
""
118.0
80.0
104.0
""
""
195.0
""
""
""
""
""
""
208.0
""
""
57.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
130.0
599.0
""
""
""
""
21.0
""
""
""
""
""
""
""
47.0
""
43.0
231.0
291.0
27.0
63.0
36.0
""
464.0
33.0
414.0
35.0
29.0
""
""
50.0
21.0
131.0
49.0
414.0
""
58.0
1117.0
1557.0
630.0
211.0
3700.0
372.0
28.0
149.0
183.0
115.0
""
""
""
34.0
""
32.0
56.0
20.0
""
73.0
28.0
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
173.0
""
261.0
""
""
""
60.0
""
""
""
""
""
""
61.0
90.0
25.0
71.0
613.0
133.0
26.0
""
27.0
""
""
""
""
""
""
""
""
52.0
""
""
64.0
""
""
""
""
""
39.0
""
85.0
456.0
757.0
80.0
107.0
61.0
50.0
424.0
54.0
""
436.0
127.0
326.0
2591.0
493.0
286.0
43.0
390.0
25.0
931.0
21.0
""
148.0
163.0
91.0
45.0
141.0
80.0
112.0
487.0
104.0
22.0
381.0
177.0
206.0
162.0
""
""
""
143.0
186.0
""
""
68.0
233.0
""
""
45.0
53.0
40.0
""
""
246.0
132.0
30.0
""
31.0
""
97.0
""
""
""
224.0
""
""
20.0
1509.0
51.0
2598.0
150.0
835.0
52.0
""
2271.0
1154.0
214.0
3026.0
""
25.0
21.0
161.0
25.0
""
112.0
24.0
""
22.0
""
135.0
533.0
64.0
197.0
""
""
""
55.0
""
37.0
174.0
""
""
199.0
191.0
133.0
82.0
126.0
238.0
262.0
497.0
233.0
776.0
377.0
111.0
""
""
363.0
275.0
623.0
514.0
""
73.0
548.0
118.0
140.0
2084.0
101.0
""
26.0
60.0
356.0
158.0
216.0
655.0
45.0
502.0
76.0
327.0
178.0
20.0
""
138.0
""
""
""
201.0
120.0
1680.0
