kir_native_other_male_n
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
63.0
""
""
""
""
""
""
""
49.0
""
""
""
33.0
""
25.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
206.0
""
""
""
""
52.0
""
""
31.0
25.0
""
""
""
""
29.0
""
""
""
""
""
""
""
""
""
""
""
""
""
36.0
33.0
""
""
""
""
497.0
32.0
21.0
152.0
21.0
""
29.0
""
""
""
""
36.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
47.0
""
""
""
""
""
25.0
""
""
""
""
""
27.0
""
""
""
483.0
""
""
68.0
""
""
352.0
""
47.0
168.0
""
71.0
""
""
145.0
26.0
""
""
1290.0
23.0
55.0
""
28.0
58.0
""
""
116.0
33.0
34.0
525.0
81.0
""
367.0
466.0
""
392.0
653.0
159.0
184.0
68.0
213.0
101.0
426.0
60.0
69.0
""
27.0
211.0
147.0
136.0
38.0
24.0
""
83.0
""
175.0
49.0
36.0
87.0
""
177.0
""
""
""
59.0
""
""
""
""
""
""
""
""
""
102.0
""
41.0
""
""
172.0
""
""
""
""
""
""
""
""
120.0
""
""
""
""
43.0
""
""
""
25.0
""
""
""
""
""
""
""
""
""
""
""
33.0
""
""
""
""
""
""
""
""
""
""
40.0
""
96.0
104.0
29.0
33.0
112.0
86.0
""
21.0
26.0
78.0
27.0
54.0
34.0
""
39.0
""
67.0
138.0
""
""
""
37.0
""
""
""
""
118.0
58.0
""
""
""
""
""
""
""
""
""
""
""
152.0
""
""
""
""
""
27.0
44.0
39.0
""
""
""
23.0
""
""
98.0
""
""
53.0
""
91.0
""
84.0
42.0
104.0
66.0
""
""
22.0
31.0
25.0
68.0
""
""
""
""
55.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
25.0
""
""
23.0
""
""
35.0
""
72.0
""
""
20.0
""
""
""
""
""
""
""
76.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
62.0
""
""
""
""
""
""
51.0
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
30.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
50.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
570.0
2784.0
168.0
402.0
70.0
""
21.0
""
""
""
""
""
""
28.0
""
""
""
33.0
""
""
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
27.0
""
""
""
""
""
497.0
""
""
""
""
""
104.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
61.0
""
""
""
90.0
20.0
""
""
""
""
""
27.0
21.0
28.0
""
34.0
""
""
""
""
""
""
