somecoll_white_male_n
277.0
551.0
85.0
65.0
267.0
""
67.0
462.0
121.0
83.0
148.0
33.0
89.0
53.0
68.0
272.0
207.0
36.0
24.0
190.0
39.0
359.0
269.0
91.0
298.0
293.0
111.0
417.0
86.0
126.0
128.0
""
36.0
98.0
657.0
268.0
1944.0
51.0
363.0
143.0
342.0
303.0
""
""
990.0
59.0
117.0
471.0
1206.0
54.0
717.0
557.0
""
50.0
116.0
100.0
170.0
279.0
704.0
""
283.0
181.0
535.0
264.0
46.0
""
117.0
""
""
1139.0
""
""
""
""
433.0
""
""
160.0
176.0
57.0
56.0
""
""
261.0
""
""
""
""
""
40.0
""
""
21.0
""
""
""
38.0
360.0
391.0
134.0
92.0
39.0
30.0
9658.0
590.0
188.0
2309.0
403.0
27.0
593.0
283.0
85.0
95.0
189.0
754.0
211.0
47.0
""
113.0
41.0
104.0
87.0
129.0
44.0
79.0
101.0
410.0
264.0
178.0
80.0
31.0
47.0
69.0
426.0
91.0
60.0
353.0
98.0
207.0
99.0
169.0
60.0
233.0
32.0
72.0
224.0
118.0
29.0
135.0
20.0
40.0
53.0
140.0
311.0
77.0
64.0
165.0
205.0
36.0
44.0
34.0
47.0
94.0
46.0
50.0
51.0
123.0
111.0
270.0
27.0
1239.0
115.0
54.0
483.0
63.0
34.0
573.0
60.0
82.0
59.0
195.0
97.0
709.0
361.0
32.0
76.0
2649.0
""
121.0
774.0
115.0
43.0
2609.0
111.0
721.0
1663.0
111.0
485.0
139.0
85.0
1837.0
354.0
141.0
118.0
10954.0
290.0
722.0
69.0
289.0
549.0
33.0
""
729.0
448.0
426.0
6082.0
1178.0
61.0
3755.0
3512.0
154.0
3897.0
6027.0
524.0
1524.0
813.0
1309.0
978.0
3345.0
620.0
773.0
""
221.0
1282.0
1550.0
1461.0
304.0
276.0
23.0
869.0
215.0
2278.0
478.0
246.0
1533.0
65.0
2678.0
29.0
32.0
32.0
1126.0
329.0
60.0
""
30.0
25.0
""
""
""
130.0
1207.0
""
1049.0
44.0
152.0
2700.0
250.0
230.0
23.0
""
49.0
""
""
""
2947.0
""
54.0
21.0
228.0
1297.0
64.0
27.0
145.0
653.0
""
112.0
97.0
179.0
158.0
99.0
20.0
101.0
29.0
26.0
70.0
481.0
57.0
56.0
45.0
""
""
""
25.0
24.0
139.0
58.0
855.0
78.0
2595.0
2899.0
885.0
670.0
2675.0
1180.0
677.0
492.0
573.0
1954.0
651.0
346.0
582.0
85.0
712.0
94.0
1860.0
3459.0
49.0
547.0
427.0
740.0
646.0
183.0
71.0
40.0
2422.0
1057.0
207.0
26.0
78.0
55.0
22.0
36.0
38.0
50.0
77.0
522.0
242.0
3084.0
68.0
394.0
169.0
35.0
21.0
746.0
1524.0
651.0
128.0
25.0
39.0
952.0
854.0
480.0
1728.0
246.0
238.0
829.0
141.0
2361.0
585.0
2849.0
1346.0
2929.0
1725.0
186.0
546.0
657.0
603.0
1160.0
1601.0
136.0
132.0
51.0
37.0
1552.0
94.0
155.0
70.0
58.0
21.0
33.0
""
100.0
76.0
194.0
316.0
63.0
51.0
407.0
32.0
27.0
48.0
102.0
136.0
52.0
66.0
""
198.0
""
359.0
228.0
27.0
645.0
77.0
104.0
663.0
229.0
""
567.0
23.0
1849.0
120.0
139.0
529.0
46.0
398.0
32.0
67.0
66.0
78.0
63.0
1005.0
49.0
25.0
272.0
415.0
37.0
""
184.0
62.0
79.0
37.0
50.0
594.0
280.0
408.0
92.0
1502.0
72.0
""
216.0
186.0
48.0
54.0
1964.0
142.0
519.0
""
111.0
96.0
70.0
53.0
534.0
456.0
38.0
226.0
40.0
49.0
34.0
""
24.0
108.0
58.0
24.0
135.0
155.0
162.0
34.0
23.0
307.0
78.0
61.0
""
""
103.0
27.0
74.0
27.0
56.0
85.0
22.0
68.0
162.0
547.0
225.0
141.0
43.0
312.0
61.0
122.0
78.0
59.0
142.0
""
72.0
""
39.0
""
455.0
257.0
""
50.0
20.0
212.0
92.0
""
76.0
""
""
44.0
20.0
23.0
""
146.0
118.0
97.0
32.0
22.0
232.0
21.0
30.0
52.0
113.0
314.0
225.0
133.0
""
59.0
109.0
""
""
62.0
353.0
34.0
33.0
39.0
76.0
160.0
1054.0
46.0
115.0
1442.0
""
604.0
65.0
61.0
339.0
25.0
36.0
177.0
704.0
44.0
""
""
753.0
71.0
146.0
""
36.0
""
166.0
135.0
84.0
125.0
89.0
85.0
179.0
141.0
559.0
188.0
52.0
20.0
36.0
225.0
133.0
253.0
49.0
43.0
137.0
55.0
61.0
23.0
437.0
20.0
61.0
483.0
30.0
112.0
278.0
46.0
324.0
24.0
132.0
110.0
811.0
258.0
120.0
112.0
353.0
322.0
11174.0
148.0
107.0
513.0
141.0
167.0
4403.0
149.0
70.0
300.0
175.0
140.0
275.0
297.0
54.0
134.0
322.0
53.0
196.0
38.0
43.0
429.0
307.0
268.0
110.0
315.0
160.0
233.0
73.0
1885.0
579.0
406.0
369.0
2886.0
852.0
109.0
291.0
351.0
263.0
219.0
1581.0
861.0
768.0
437.0
1521.0
363.0
128.0
128.0
94.0
134.0
138.0
214.0
251.0
281.0
106.0
370.0
1016.0
147.0
153.0
127.0
28.0
28.0
54.0
263.0
107.0
804.0
1314.0
161.0
1117.0
54.0
55.0
186.0
59.0
382.0
968.0
121.0
538.0
109.0
152.0
187.0
128.0
112.0
412.0
2579.0
357.0
1442.0
364.0
245.0
1861.0
423.0
86.0
103.0
298.0
96.0
156.0
265.0
514.0
184.0
215.0
79.0
221.0
337.0
187.0
294.0
577.0
264.0
976.0
174.0
499.0
150.0
168.0
154.0
226.0
437.0
231.0
1112.0
420.0
249.0
705.0
324.0
530.0
333.0
285.0
234.0
165.0
177.0
158.0
