kfr_stycz_white_female_n
14275.0
5941.0
1327.0
17669.0
8175.0
1228.0
17540.0
1747.0
1188.0
6791.0
8592.0
24742.0
1064.0
3075.0
7686.0
783.0
554.0
7438.0
993.0
932.0
8755.0
7411.0
6036.0
2391.0
20899.0
545.0
2901.0
7844.0
18766.0
1490.0
1770.0
4171.0
16997.0
8272.0
1009.0
10117.0
1821.0
2761.0
305.0
284.0
7590.0
1407.0
811.0
423.0
797.0
805.0
21150.0
6453.0
15501.0
3607.0
7464.0
12313.0
4359.0
225.0
377.0
8264.0
1066.0
364.0
365.0
2048.0
1231.0
12916.0
535.0
1967.0
3472.0
2654.0
826.0
1538.0
1863.0
2889.0
833.0
1319.0
913.0
3602.0
1675.0
1165.0
3594.0
2954.0
1131.0
16505.0
1563.0
4185.0
2303.0
4232.0
29052.0
3335.0
3433.0
4461.0
10829.0
7087.0
5150.0
2170.0
2369.0
11299.0
2257.0
774.0
5003.0
9407.0
41738.0
10555.0
12809.0
24899.0
20403.0
10852.0
11660.0
26765.0
10261.0
24484.0
2476.0
6533.0
4305.0
2971.0
10594.0
601.0
10485.0
18706.0
8229.0
415.0
431.0
445.0
3632.0
2152.0
1429.0
1632.0
1393.0
6017.0
6001.0
1669.0
859.0
968.0
51972.0
2421.0
3021.0
1641.0
5765.0
2428.0
9867.0
4036.0
532.0
1640.0
5843.0
3913.0
451.0
852.0
2047.0
422.0
4256.0
2285.0
1018.0
1039.0
3230.0
19381.0
3579.0
412.0
12942.0
10814.0
897.0
5382.0
1282.0
3572.0
371.0
1450.0
4933.0
40589.0
570.0
51857.0
2619.0
2482.0
796.0
7487.0
102661.0
8908.0
2896.0
12287.0
2840.0
1157.0
10989.0
33292.0
3509.0
1766.0
1989.0
2270.0
28902.0
3257.0
2716.0
52146.0
1264.0
4108.0
12254.0
969.0
2133.0
4888.0
28450.0
1284.0
1986.0
5006.0
6354.0
6809.0
19606.0
2431.0
14565.0
9506.0
3135.0
4768.0
9496.0
14715.0
35989.0
4399.0
6383.0
7336.0
6214.0
10685.0
1297.0
1302.0
13634.0
18225.0
10246.0
53228.0
5107.0
5291.0
2636.0
4445.0
6374.0
3124.0
38489.0
8520.0
5933.0
9528.0
58198.0
17773.0
15121.0
8528.0
1024.0
5717.0
866.0
2868.0
1040.0
7395.0
480.0
3380.0
8304.0
3564.0
3937.0
10368.0
3330.0
2505.0
4422.0
24103.0
2886.0
6073.0
51324.0
7447.0
4265.0
929.0
5481.0
3493.0
2357.0
21926.0
4275.0
17579.0
5221.0
12812.0
