comcoll_hisp_female_n
23.0
26.0
""
58.0
81.0
""
138.0
""
""
30.0
46.0
238.0
""
""
52.0
""
""
49.0
""
""
40.0
180.0
27.0
24.0
219.0
""
45.0
103.0
233.0
""
""
22.0
127.0
101.0
""
70.0
""
""
""
""
38.0
""
""
""
""
""
323.0
23.0
76.0
24.0
72.0
43.0
""
""
""
53.0
""
""
""
""
""
67.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
117.0
""
""
""
25.0
141.0
""
""
70.0
67.0
24.0
23.0
""
""
35.0
""
""
""
127.0
1125.0
304.0
243.0
5357.0
853.0
379.0
196.0
1286.0
205.0
253.0
20.0
101.0
68.0
22.0
91.0
""
91.0
91.0
75.0
""
""
""
40.0
""
""
29.0
""
54.0
51.0
""
""
""
670.0
""
27.0
""
89.0
""
55.0
76.0
""
""
66.0
32.0
""
""
""
""
37.0
""
""
""
""
78.0
""
""
127.0
48.0
""
40.0
""
""
""
""
73.0
325.0
""
1700.0
""
""
""
94.0
852.0
157.0
44.0
190.0
""
""
118.0
433.0
24.0
""
""
""
132.0
""
""
142.0
""
""
49.0
""
""
44.0
109.0
""
""
""
82.0
53.0
252.0
57.0
174.0
97.0
38.0
38.0
56.0
130.0
177.0
""
""
61.0
""
25.0
""
""
461.0
42.0
162.0
354.0
""
""
""
""
""
""
169.0
31.0
21.0
27.0
155.0
92.0
103.0
35.0
""
""
""
""
""
""
""
""
21.0
24.0
""
45.0
""
""
23.0
148.0
""
30.0
427.0
37.0
28.0
""
50.0
""
29.0
145.0
21.0
146.0
22.0
314.0
397.0
173.0
360.0
9301.0
339.0
3583.0
1423.0
150.0
86.0
""
""
""
""
""
46.0
""
""
22.0
380.0
""
""
1240.0
151.0
""
289.0
1259.0
""
""
""
""
""
""
""
""
""
32.0
27.0
30.0
451.0
""
""
37.0
25.0
23.0
""
33.0
31.0
""
80.0
38.0
21.0
31.0
85.0
56.0
""
54.0
41.0
28.0
""
94.0
20.0
""
""
35.0
40.0
20.0
35.0
151.0
""
124.0
200.0
580.0
54.0
5589.0
250.0
29.0
""
244.0
""
""
36.0
50.0
""
""
""
""
""
""
""
""
""
""
21.0
37.0
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
26.0
""
""
""
""
""
""
""
""
""
24.0
30.0
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
39.0
""
""
30.0
""
""
20.0
""
101.0
""
""
""
43.0
""
""
""
""
42.0
69.0
""
""
23.0
32.0
""
""
47.0
86.0
""
73.0
""
""
264.0
25.0
""
""
""
""
""
409.0
""
""
394.0
57.0
""
""
""
""
""
""
""
""
""
50.0
""
35.0
""
""
407.0
1875.0
""
""
49.0
35.0
48.0
""
""
""
""
""
""
21.0
""
""
46.0
127.0
240.0
34.0
27.0
""
42.0
33.0
36.0
507.0
30.0
""
""
""
21.0
""
52.0
30.0
62.0
""
26.0
80.0
28.0
136.0
""
277.0
""
""
37.0
3185.0
114.0
""
152.0
""
298.0
""
227.0
474.0
166.0
89.0
360.0
58.0
""
""
""
195.0
96.0
26.0
""
47.0
29.0
34.0
66.0
332.0
38.0
43.0
1370.0
33.0
4157.0
90.0
77.0
""
560.0
145.0
55.0
57.0
90.0
65.0
973.0
3529.0
1420.0
174.0
432.0
5049.0
191.0
99.0
31.0
188.0
41.0
""
113.0
214.0
241.0
115.0
32.0
53.0
247.0
""
20.0
109.0
""
""
28.0
49.0
56.0
257.0
51.0
335.0
1503.0
3125.0
61.0
223.0
104.0
73.0
102.0
62.0
""
45.0
29.0
31.0
457.0
""
59.0
30.0
27.0
""
108.0
""
""
""
""
""
""
""
""
""
""
""
""
33.0
""
""
""
""
""
""
""
""
""
""
""
39.0
""
""
""
""
""
""
""
23.0
21.0
""
""
34.0
""
477.0
23.0
55.0
137.0
448.0
24.0
""
90.0
1457.0
27.0
3141.0
55.0
1543.0
120.0
""
168.0
128.0
21.0
103.0
69.0
76.0
64.0
215.0
75.0
""
37.0
28.0
""
""
""
143.0
688.0
57.0
139.0
""
""
""
""
""
50.0
86.0
""
""
115.0
41.0
91.0
""
45.0
1276.0
1258.0
3056.0
370.0
2300.0
3021.0
49.0
22.0
""
283.0
398.0
3296.0
1325.0
""
""
3352.0
985.0
755.0
26558.0
""
""
95.0
60.0
144.0
30.0
46.0
531.0
50.0
379.0
""
340.0
255.0
""
""
38.0
""
""
""
40.0
24.0
1026.0
