somecoll_natam_pooled_n
""
""
""
""
""
""
36.0
""
""
""
""
70.0
""
""
""
""
29.0
""
""
25.0
24.0
457.0
44.0
""
44.0
""
25.0
22.0
50.0
""
""
""
46.0
20.0
25.0
22.0
""
""
""
""
""
""
""
""
""
""
59.0
87.0
""
""
33.0
""
""
""
""
32.0
""
29.0
""
""
""
33.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
25.0
""
""
""
""
45.0
""
""
""
88.0
31.0
""
""
""
22.0
""
""
""
""
43.0
21.0
""
57.0
37.0
""
20.0
49.0
""
37.0
""
""
""
""
""
""
25.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
58.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
55.0
""
""
""
23.0
""
""
40.0
37.0
""
""
""
""
""
""
""
66.0
""
111.0
40.0
24.0
174.0
""
191.0
29.0
37.0
39.0
""
""
35.0
85.0
32.0
52.0
""
""
21.0
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
25.0
""
""
""
""
""
35.0
""
""
""
""
""
""
""
""
""
""
39.0
""
""
""
""
""
""
39.0
""
""
""
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
47.0
""
""
118.0
""
51.0
""
""
""
""
""
""
""
""
""
28.0
""
""
108.0
""
67.0
75.0
""
21.0
""
""
27.0
""
25.0
23.0
""
""
""
43.0
""
""
69.0
21.0
""
""
73.0
""
55.0
29.0
""
31.0
60.0
22.0
""
""
""
""
39.0
256.0
""
74.0
""
""
""
""
29.0
""
""
""
""
""
""
59.0
77.0
86.0
40.0
24.0
25.0
""
22.0
""
""
""
""
""
""
""
22.0
""
""
21.0
89.0
""
100.0
""
""
""
60.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
124.0
""
""
""
""
""
""
""
""
""
42.0
""
""
""
61.0
""
83.0
22.0
""
""
""
""
""
""
28.0
""
""
""
""
25.0
""
28.0
""
55.0
""
""
47.0
44.0
""
26.0
162.0
""
""
34.0
43.0
""
""
""
""
""
""
""
""
""
20.0
""
""
27.0
38.0
""
30.0
""
""
""
""
""
""
""
""
""
21.0
""
""
""
114.0
39.0
""
""
48.0
""
""
""
65.0
""
""
""
""
""
36.0
41.0
28.0
""
""
54.0
""
""
""
""
""
""
41.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
34.0
159.0
""
""
""
""
""
""
""
""
""
""
""
""
26.0
""
""
84.0
88.0
""
""
""
""
160.0
""
93.0
""
""
""
""
""
""
34.0
""
198.0
""
""
380.0
563.0
193.0
67.0
1234.0
140.0
""
52.0
39.0
35.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
30.0
""
41.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
127.0
39.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
100.0
177.0
""
""
""
""
130.0
""
""
133.0
33.0
102.0
713.0
181.0
87.0
""
125.0
""
293.0
""
""
118.0
140.0
65.0
20.0
27.0
28.0
37.0
422.0
101.0
""
144.0
84.0
66.0
36.0
""
""
""
56.0
68.0
""
""
22.0
67.0
""
""
""
""
""
""
""
60.0
27.0
""
""
""
""
28.0
""
""
""
114.0
""
""
""
481.0
""
578.0
40.0
227.0
""
""
629.0
302.0
52.0
829.0
""
""
""
40.0
""
""
27.0
""
""
""
""
32.0
121.0
""
56.0
""
""
""
""
""
""
51.0
""
""
40.0
59.0
30.0
23.0
37.0
52.0
52.0
125.0
59.0
174.0
69.0
56.0
""
""
134.0
65.0
133.0
127.0
""
38.0
152.0
46.0
29.0
473.0
28.0
""
""
""
88.0
63.0
47.0
147.0
22.0
103.0
20.0
82.0
63.0
""
""
26.0
""
""
""
80.0
43.0
473.0
