work_24_other_female_n
149.0
83.0
""
269.0
161.0
33.0
379.0
""
""
94.0
126.0
565.0
""
47.0
128.0
""
""
135.0
20.0
28.0
162.0
576.0
128.0
55.0
590.0
""
116.0
389.0
1004.0
36.0
50.0
75.0
574.0
577.0
50.0
246.0
""
45.0
""
""
128.0
25.0
""
""
""
27.0
592.0
118.0
233.0
84.0
223.0
184.0
63.0
""
""
236.0
""
""
""
43.0
27.0
285.0
""
41.0
29.0
36.0
""
""
""
21.0
21.0
21.0
29.0
54.0
23.0
""
31.0
21.0
""
438.0
32.0
64.0
""
55.0
472.0
44.0
63.0
276.0
285.0
101.0
56.0
20.0
23.0
171.0
26.0
""
64.0
123.0
1212.0
242.0
285.0
1751.0
700.0
261.0
395.0
1133.0
304.0
800.0
50.0
173.0
130.0
113.0
305.0
""
322.0
266.0
343.0
""
""
""
84.0
46.0
33.0
125.0
30.0
209.0
187.0
""
""
22.0
1808.0
40.0
86.0
21.0
84.0
43.0
208.0
242.0
""
37.0
176.0
179.0
""
""
60.0
""
142.0
46.0
""
""
28.0
271.0
65.0
""
668.0
163.0
""
135.0
""
43.0
""
""
252.0
1414.0
""
3917.0
78.0
28.0
86.0
146.0
2468.0
293.0
63.0
190.0
57.0
25.0
302.0
623.0
57.0
54.0
40.0
32.0
673.0
48.0
48.0
736.0
""
38.0
204.0
""
29.0
192.0
441.0
""
""
68.0
92.0
89.0
351.0
28.0
306.0
151.0
38.0
89.0
168.0
269.0
660.0
67.0
78.0
108.0
79.0
141.0
""
""
258.0
267.0
234.0
1051.0
68.0
91.0
37.0
60.0
93.0
45.0
898.0
110.0
75.0
94.0
789.0
262.0
203.0
160.0
""
94.0
""
52.0
""
108.0
""
22.0
92.0
52.0
81.0
212.0
51.0
48.0
142.0
468.0
63.0
129.0
896.0
141.0
75.0
""
142.0
55.0
33.0
433.0
42.0
233.0
70.0
247.0
384.0
443.0
489.0
5575.0
436.0
2505.0
2469.0
296.0
276.0
57.0
""
107.0
""
22.0
285.0
128.0
41.0
97.0
1136.0
""
""
2628.0
469.0
53.0
299.0
1569.0
63.0
29.0
""
""
26.0
32.0
21.0
""
""
29.0
29.0
102.0
1762.0
28.0
85.0
104.0
27.0
28.0
""
27.0
72.0
""
74.0
121.0
37.0
64.0
182.0
151.0
39.0
133.0
79.0
80.0
24.0
281.0
44.0
27.0
24.0
88.0
170.0
59.0
55.0
177.0
27.0
192.0
269.0
750.0
61.0
3161.0
295.0
122.0
33.0
1048.0
""
25.0
86.0
144.0
62.0
21.0
38.0
31.0
23.0
""
41.0
33.0
42.0
""
42.0
83.0
""
45.0
23.0
44.0
60.0
""
139.0
""
""
25.0
""
""
""
""
""
""
33.0
""
""
""
""
""
""
66.0
""
""
""
""
""
""
""
""
""
""
""
21.0
27.0
""
""
86.0
""
""
""
""
""
""
73.0
""
""
68.0
76.0
""
""
""
44.0
24.0
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
20.0
""
""
24.0
29.0
222.0
""
""
""
179.0
""
""
""
""
31.0
80.0
""
""
""
""
""
""
30.0
83.0
""
167.0
""
22.0
509.0
""
""
""
""
""
24.0
851.0
""
""
98.0
""
""
""
""
""
""
""
""
""
""
""
""
37.0
""
""
263.0
1647.0
""
""
""
25.0
53.0
""
""
""
""
""
""
41.0
""
""
207.0
249.0
422.0
37.0
45.0
""
29.0
180.0
104.0
1087.0
76.0
35.0
""
""
152.0
25.0
205.0
66.0
234.0
28.0
51.0
399.0
350.0
337.0
125.0
1489.0
130.0
""
104.0
449.0
88.0
""
""
""
54.0
""
36.0
125.0
75.0
""
111.0
24.0
""
""
""
""
28.0
""
""
""
""
""
""
37.0
""
""
711.0
""
962.0
""
25.0
""
99.0
""
""
""
""
""
22.0
103.0
209.0
70.0
132.0
2036.0
155.0
56.0
29.0
78.0
""
""
""
""
""
""
""
""
131.0
""
""
112.0
""
""
""
""
""
98.0
23.0
603.0
1035.0
1639.0
72.0
145.0
113.0
95.0
379.0
47.0
""
160.0
46.0
104.0
1561.0
136.0
131.0
76.0
96.0
""
828.0
""
""
""
""
""
21.0
88.0
32.0
49.0
24.0
""
""
225.0
23.0
""
112.0
""
22.0
""
32.0
31.0
""
""
""
103.0
""
""
43.0
40.0
36.0
""
""
109.0
87.0
""
""
48.0
""
7497.0
366.0
1020.0
""
84.0
""
""
""
537.0
""
2049.0
""
771.0
91.0
""
101.0
188.0
27.0
112.0
1131.0
61.0
26.0
363.0
53.0
""
85.0
21.0
""
""
""
304.0
1272.0
100.0
150.0
""
""
""
""
""
32.0
146.0
""
""
233.0
140.0
242.0
50.0
152.0
842.0
598.0
1011.0
449.0
3584.0
2744.0
40.0
""
""
479.0
575.0
6360.0
1960.0
""
""
3273.0
135.0
554.0
12346.0
49.0
43.0
54.0
58.0
536.0
65.0
225.0
2014.0
50.0
880.0
76.0
190.0
270.0
30.0
""
127.0
""
""
""
146.0
101.0
5620.0
