kfr_native_natam_pooled_n
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
""
""
41.0
23.0
""
""
81.0
""
""
""
""
66.0
""
""
""
56.0
""
""
28.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
29.0
21.0
469.0
405.0
""
""
69.0
132.0
""
""
69.0
83.0
33.0
33.0
251.0
34.0
52.0
183.0
138.0
204.0
""
51.0
39.0
""
""
""
""
""
140.0
526.0
21.0
618.0
76.0
107.0
""
61.0
959.0
73.0
716.0
458.0
100.0
""
44.0
40.0
""
""
""
95.0
""
""
""
""
""
""
""
""
""
""
""
""
30.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
29.0
""
""
""
""
""
70.0
""
""
""
""
""
59.0
""
""
""
78.0
""
""
64.0
""
""
54.0
26.0
""
97.0
""
130.0
37.0
65.0
85.0
40.0
""
""
299.0
""
""
""
57.0
31.0
""
""
26.0
""
""
133.0
26.0
""
191.0
147.0
""
151.0
245.0
""
56.0
26.0
27.0
37.0
89.0
""
75.0
""
29.0
45.0
53.0
57.0
30.0
24.0
""
65.0
""
38.0
27.0
33.0
61.0
""
65.0
""
""
""
27.0
""
""
""
""
""
""
""
""
""
101.0
""
""
""
""
90.0
""
""
""
""
""
""
""
""
79.0
""
""
""
21.0
21.0
""
""
""
24.0
""
""
42.0
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
28.0
""
""
""
""
""
27.0
41.0
""
""
""
22.0
""
""
""
""
""
""
42.0
56.0
""
""
""
""
""
""
""
""
53.0
48.0
""
""
""
""
""
""
""
""
""
""
""
43.0
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
29.0
""
""
22.0
""
43.0
""
28.0
""
36.0
22.0
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
38.0
""
""
50.0
""
43.0
""
""
51.0
""
""
""
""
""
""
""
46.0
""
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
39.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
117.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
26.0
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
