work_24_natam_male_n
28.0
25.0
""
39.0
26.0
""
92.0
""
""
23.0
31.0
129.0
""
""
""
""
93.0
23.0
""
45.0
57.0
1091.0
69.0
""
126.0
21.0
39.0
45.0
129.0
""
""
""
77.0
66.0
39.0
56.0
""
""
""
""
56.0
""
""
""
""
""
137.0
239.0
54.0
35.0
62.0
40.0
""
""
""
49.0
""
27.0
""
""
""
73.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
68.0
""
""
""
22.0
104.0
""
""
29.0
198.0
55.0
""
""
""
31.0
""
""
""
25.0
167.0
50.0
45.0
146.0
80.0
56.0
57.0
148.0
39.0
103.0
""
27.0
28.0
25.0
51.0
""
68.0
39.0
35.0
""
""
""
""
""
""
""
""
25.0
20.0
""
""
""
176.0
""
""
""
""
""
27.0
26.0
""
""
35.0
27.0
""
""
""
""
29.0
139.0
""
""
""
69.0
""
""
131.0
124.0
29.0
30.0
""
""
""
""
43.0
173.0
""
299.0
75.0
31.0
220.0
29.0
427.0
60.0
60.0
69.0
22.0
""
64.0
156.0
41.0
66.0
""
""
55.0
""
""
76.0
""
""
""
""
""
21.0
53.0
""
""
""
""
""
53.0
""
51.0
30.0
""
24.0
27.0
41.0
64.0
""
""
""
20.0
22.0
""
""
32.0
27.0
20.0
98.0
""
""
""
""
""
""
87.0
""
""
""
57.0
""
34.0
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
106.0
""
""
231.0
""
62.0
""
29.0
39.0
""
49.0
""
20.0
""
""
29.0
46.0
40.0
350.0
27.0
145.0
179.0
26.0
32.0
""
""
37.0
""
""
60.0
27.0
""
""
107.0
""
""
172.0
61.0
""
21.0
179.0
""
69.0
42.0
""
49.0
79.0
28.0
""
""
""
""
70.0
571.0
25.0
120.0
30.0
""
""
""
37.0
""
""
""
""
""
""
126.0
152.0
137.0
68.0
51.0
34.0
""
52.0
""
""
""
""
23.0
""
""
""
""
23.0
56.0
221.0
""
270.0
31.0
27.0
""
123.0
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
183.0
""
""
""
""
""
""
""
""
""
116.0
""
""
""
94.0
""
160.0
43.0
""
""
""
""
""
""
71.0
""
""
""
""
47.0
25.0
44.0
""
116.0
27.0
""
69.0
54.0
32.0
54.0
241.0
""
""
68.0
74.0
""
""
""
""
""
""
""
""
""
27.0
25.0
""
43.0
39.0
""
62.0
""
25.0
""
""
""
""
""
""
""
36.0
""
""
""
303.0
54.0
""
""
82.0
51.0
27.0
""
127.0
""
""
""
""
""
78.0
40.0
68.0
""
""
113.0
""
""
""
""
""
""
122.0
""
""
36.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
72.0
326.0
""
""
""
""
""
""
""
""
""
""
""
""
30.0
""
23.0
125.0
163.0
""
34.0
21.0
""
235.0
21.0
238.0
20.0
""
""
""
20.0
""
76.0
21.0
266.0
""
38.0
628.0
852.0
349.0
110.0
2135.0
220.0
21.0
85.0
98.0
67.0
""
""
""
21.0
""
""
33.0
""
""
40.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
112.0
""
152.0
""
""
""
31.0
""
""
""
""
""
""
38.0
48.0
""
38.0
344.0
74.0
""
""
""
""
""
""
""
""
""
""
""
28.0
""
""
37.0
""
""
""
""
""
23.0
""
54.0
265.0
431.0
53.0
57.0
33.0
32.0
235.0
36.0
""
241.0
73.0
204.0
1487.0
289.0
150.0
26.0
213.0
""
581.0
""
""
84.0
92.0
46.0
34.0
92.0
50.0
64.0
273.0
65.0
""
227.0
111.0
121.0
103.0
""
""
""
105.0
114.0
""
""
43.0
156.0
""
""
28.0
37.0
24.0
""
""
162.0
76.0
""
""
21.0
""
63.0
""
""
""
140.0
""
""
""
929.0
34.0
1663.0
99.0
516.0
37.0
""
1437.0
698.0
129.0
1735.0
""
""
""
84.0
""
""
75.0
""
""
""
""
85.0
324.0
40.0
115.0
""
""
""
33.0
""
24.0
98.0
""
""
111.0
110.0
81.0
54.0
81.0
132.0
145.0
291.0
140.0
446.0
202.0
73.0
""
""
218.0
159.0
356.0
312.0
""
41.0
309.0
76.0
86.0
1187.0
55.0
""
""
36.0
221.0
103.0
124.0
347.0
25.0
285.0
46.0
205.0
112.0
""
""
91.0
""
""
""
118.0
75.0
986.0
