lpov_nbh_natam_female_n
48.0
23.0
""
78.0
52.0
""
165.0
""
""
21.0
53.0
228.0
""
20.0
42.0
""
185.0
49.0
""
73.0
104.0
2199.0
137.0
27.0
194.0
39.0
71.0
94.0
206.0
""
""
26.0
149.0
89.0
98.0
100.0
26.0
""
""
""
82.0
""
""
""
""
""
215.0
408.0
77.0
75.0
114.0
67.0
22.0
""
""
94.0
""
53.0
""
""
""
133.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
121.0
""
""
""
21.0
149.0
""
""
44.0
304.0
110.0
30.0
""
""
47.0
""
""
25.0
51.0
253.0
81.0
92.0
250.0
161.0
69.0
96.0
182.0
78.0
185.0
20.0
44.0
36.0
29.0
84.0
""
117.0
81.0
58.0
""
""
""
26.0
""
""
23.0
""
40.0
40.0
""
""
""
294.0
""
""
""
22.0
""
50.0
50.0
""
""
61.0
55.0
""
""
""
""
56.0
238.0
""
""
22.0
104.0
21.0
""
205.0
199.0
58.0
40.0
""
""
""
""
41.0
283.0
""
487.0
135.0
50.0
342.0
60.0
694.0
99.0
98.0
111.0
41.0
27.0
96.0
250.0
95.0
93.0
22.0
28.0
106.0
""
""
130.0
""
""
29.0
""
""
27.0
81.0
""
""
""
27.0
""
96.0
""
94.0
59.0
24.0
30.0
25.0
64.0
122.0
""
20.0
31.0
""
33.0
""
""
65.0
61.0
46.0
162.0
""
24.0
""
""
41.0
""
168.0
27.0
""
""
102.0
47.0
57.0
25.0
""
""
""
""
""
25.0
""
""
""
""
20.0
33.0
""
""
""
185.0
""
""
387.0
32.0
90.0
""
62.0
79.0
""
69.0
""
31.0
""
50.0
63.0
74.0
52.0
608.0
43.0
252.0
305.0
51.0
75.0
""
""
59.0
41.0
47.0
98.0
57.0
""
20.0
171.0
""
""
286.0
109.0
""
33.0
251.0
""
99.0
49.0
""
66.0
146.0
40.0
""
""
23.0
""
73.0
863.0
35.0
174.0
43.0
""
""
""
54.0
""
""
""
24.0
""
37.0
232.0
313.0
228.0
114.0
94.0
68.0
""
94.0
""
""
""
""
40.0
""
""
41.0
""
40.0
78.0
366.0
""
459.0
45.0
30.0
""
239.0
""
""
""
42.0
20.0
""
23.0
21.0
""
""
""
""
""
""
""
23.0
""
""
""
""
20.0
""
302.0
""
""
""
""
""
""
""
""
""
197.0
""
""
""
112.0
""
237.0
66.0
""
""
""
""
""
""
87.0
""
24.0
""
24.0
64.0
26.0
57.0
""
188.0
36.0
""
139.0
91.0
44.0
61.0
349.0
""
""
109.0
132.0
""
""
""
38.0
""
""
""
""
37.0
36.0
21.0
""
65.0
87.0
""
69.0
""
25.0
""
""
""
""
""
""
""
63.0
""
""
""
446.0
90.0
""
""
124.0
56.0
40.0
""
153.0
22.0
""
""
""
""
132.0
77.0
99.0
""
""
194.0
""
""
""
""
""
""
205.0
""
""
66.0
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
115.0
606.0
""
""
""
""
20.0
""
""
""
""
""
""
""
60.0
""
50.0
220.0
273.0
""
56.0
""
""
418.0
""
368.0
36.0
""
""
""
50.0
""
140.0
42.0
486.0
21.0
60.0
1028.0
1725.0
583.0
186.0
3670.0
371.0
29.0
159.0
158.0
138.0
""
""
""
42.0
""
""
46.0
24.0
""
63.0
31.0
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
167.0
""
202.0
""
""
""
69.0
""
""
""
""
""
""
29.0
76.0
""
64.0
539.0
111.0
21.0
""
21.0
""
""
""
""
""
""
""
""
45.0
""
""
69.0
""
""
""
""
""
46.0
20.0
79.0
417.0
752.0
70.0
78.0
55.0
55.0
434.0
53.0
""
470.0
126.0
368.0
2651.0
477.0
270.0
36.0
381.0
30.0
930.0
25.0
""
142.0
158.0
83.0
53.0
127.0
62.0
99.0
359.0
113.0
""
329.0
170.0
190.0
168.0
""
""
""
126.0
179.0
""
""
61.0
241.0
""
""
55.0
52.0
36.0
""
""
204.0
100.0
32.0
""
37.0
""
88.0
""
""
""
267.0
""
""
""
1607.0
51.0
2577.0
153.0
890.0
68.0
""
2258.0
1084.0
184.0
3071.0
""
29.0
24.0
162.0
24.0
""
105.0
22.0
""
""
""
125.0
514.0
51.0
207.0
""
""
""
67.0
""
32.0
157.0
""
""
170.0
215.0
122.0
73.0
137.0
238.0
227.0
460.0
223.0
700.0
357.0
120.0
22.0
""
381.0
230.0
595.0
490.0
""
72.0
507.0
127.0
125.0
1987.0
73.0
""
31.0
41.0
297.0
152.0
188.0
628.0
62.0
434.0
64.0
339.0
163.0
""
""
113.0
""
""
""
191.0
119.0
1593.0
