kfr_imm_other_female_n
""
""
""
""
""
""
26.0
""
""
""
""
49.0
""
""
""
""
""
""
""
""
""
69.0
""
""
49.0
""
""
49.0
122.0
""
""
""
62.0
86.0
""
20.0
""
""
""
""
""
""
""
""
""
""
43.0
""
""
""
38.0
""
""
""
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
30.0
""
""
""
""
44.0
""
""
36.0
23.0
""
""
""
""
""
""
""
""
""
145.0
""
29.0
384.0
92.0
26.0
50.0
142.0
22.0
96.0
""
""
""
""
35.0
""
32.0
""
37.0
""
""
""
""
""
""
""
""
""
32.0
""
""
""
164.0
""
""
""
""
""
""
34.0
""
""
""
25.0
""
""
""
""
""
""
""
""
""
""
""
""
114.0
""
""
""
""
""
""
""
28.0
158.0
""
666.0
""
""
""
""
197.0
""
""
""
""
""
""
47.0
""
""
""
""
48.0
""
""
39.0
""
""
""
""
""
38.0
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
35.0
""
""
""
""
""
""
""
24.0
""
""
95.0
""
""
""
""
""
""
58.0
""
""
""
48.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
40.0
""
""
72.0
""
""
""
""
""
""
25.0
""
""
""
22.0
28.0
34.0
47.0
1340.0
58.0
492.0
252.0
31.0
25.0
""
""
""
""
""
20.0
""
""
""
182.0
""
""
382.0
48.0
""
21.0
167.0
""
""
""
""
""
""
""
""
""
""
""
""
139.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
54.0
""
468.0
21.0
29.0
""
79.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
44.0
""
""
""
""
""
""
120.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
140.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
32.0
""
27.0
""
""
""
""
""
""
80.0
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
45.0
""
""
""
68.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
64.0
""
127.0
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
271.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
109.0
101.0
179.0
""
""
""
""
49.0
""
""
""
""
""
89.0
""
""
""
""
""
62.0
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
726.0
22.0
52.0
""
""
""
""
""
42.0
""
181.0
""
97.0
""
""
""
""
""
""
48.0
""
""
36.0
""
""
""
""
""
""
""
29.0
129.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
104.0
61.0
96.0
48.0
460.0
451.0
""
""
""
41.0
41.0
1032.0
246.0
""
""
582.0
""
50.0
2194.0
""
""
""
""
30.0
""
""
186.0
""
67.0
""
""
""
""
""
""
""
""
""
""
""
729.0
