kfr_imm_black_pooled_n
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
26.0
""
""
""
""
""
""
""
69.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
31.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
174.0
""
""
47.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
31.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
227.0
""
""
""
""
""
115.0
""
""
53.0
""
""
""
""
36.0
""
""
""
1243.0
""
20.0
""
""
""
""
""
27.0
""
""
155.0
""
""
156.0
131.0
""
204.0
258.0
58.0
49.0
""
45.0
21.0
148.0
""
""
""
""
87.0
29.0
""
""
""
""
""
""
23.0
""
""
28.0
""
89.0
""
""
""
""
""
""
""
""
""
""
""
""
""
71.0
""
""
""
""
94.0
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
472.0
540.0
""
""
191.0
35.0
""
""
29.0
110.0
30.0
437.0
56.0
""
""
""
145.0
2830.0
""
73.0
""
22.0
94.0
""
""
""
169.0
54.0
""
""
""
""
""
""
""
""
""
""
""
354.0
""
""
""
""
""
46.0
124.0
64.0
""
""
""
47.0
50.0
20.0
3310.0
""
""
32.0
""
747.0
139.0
1050.0
39.0
134.0
111.0
""
""
133.0
""
42.0
170.0
""
""
""
""
61.0
""
""
""
""
""
""
""
""
""
""
""
""
""
29.0
""
""
""
""
""
""
""
""
""
""
""
""
""
36.0
""
""
""
20.0
""
168.0
""
188.0
""
""
""
""
""
""
""
""
""
""
619.0
""
""
24.0
40.0
""
""
""
""
""
""
""
28.0
""
""
""
228.0
""
""
""
""
""
""
264.0
""
""
""
""
""
""
""
44.0
20.0
""
""
""
""
""
""
""
""
""
""
""
""
34.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
70.0
""
""
""
26.0
""
""
""
""
""
""
""
""
""
""
77.0
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
71.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
795.0
""
""
""
""
""
64.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
68.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
55.0
""
23.0
""
""
""
""
""
""
""
""
""
