staytract_pooled_male_mean
0.26856461
0.29285908
0.3050718
0.43290108
0.37725487
0.42964646
0.36040831
0.30641469
0.35262802
0.38661864
0.3637076
0.41283688
0.36807343
0.39860854
0.44756305
0.27304485
0.30725682
0.35902849
0.32233003
0.30935547
0.41380575
0.3404372
0.25027594
0.27726901
0.36909217
0.29817304
0.36901662
0.31674975
0.3828797
0.35118884
0.39083397
0.33668357
0.37608191
0.31201303
0.26428533
0.38801008
0.24531369
0.42893603
0.28351319
0.40532386
0.25633368
0.30782461
0.38490024
0.34318393
0.2368679
0.30565906
0.38512811
0.30470705
0.26458958
0.30124205
0.22010051
0.27093378
0.34133869
0.4024381
0.33322293
0.42339393
0.30543986
0.33984804
0.20456253
0.33361939
0.33480975
0.33428937
0.27974272
0.36062777
0.40000114
0.40556622
0.39521438
0.4664335
0.31740066
0.19330502
0.61807573
0.13733916
0.13067882
0.42141971
0.237425
0.097823411
0.13626546
0.26372299
0.28302133
0.31862956
0.22731718
0.65490794
0.52106661
0.22675876
0.52864248
0.52067572
0.65594208
0.36931583
0.32119435
0.33868849
""
0.32704449
0.18438302
0.29302183
""
0.49688253
0.27980191
0.20770791
0.22381483
0.20621797
0.29993495
0.17607443
0.24566191
0.16708234
0.17242509
0.25123703
0.2029563
0.21231642
0.26401532
0.16116695
0.21502671
0.34093609
0.26131397
0.22166419
0.21188854
0.29226866
0.28909671
0.3018395
0.32398716
0.24369685
0.28322843
0.32015523
0.31399599
0.43092456
0.31698561
0.3218545
0.24911004
0.28113836
0.25022689
0.2975294
0.28015876
0.27960491
0.31587127
0.25023347
0.40756783
0.3808006
0.25759703
0.34564519
0.30694911
0.27509588
0.35525468
0.35842392
0.33531624
0.28888321
0.32399666
0.25266081
0.32328936
0.35552189
0.36715138
0.27929148
0.3187204
0.31988662
0.34345534
0.26099432
0.28909698
0.28058615
0.28765318
0.31510618
0.28088531
0.33893633
0.36588526
0.286596
0.27382812
0.32721061
0.23746862
0.38461342
0.37363309
0.31216544
0.26887345
