kfr_26_asian_female_p50
0.48377559
0.52376479
""
0.49411708
0.51178783
0.51573557
0.51027685
""
""
0.50457346
0.51112711
0.54266179
""
0.6201514
0.53006679
""
""
0.51059765
""
""
0.57517505
0.49072775
0.4899036
0.617257
0.55056846
""
0.49421293
0.54616272
0.57876408
0.44396695
0.55863458
0.58609349
0.56199324
0.57032037
0.52416968
0.50465947
""
0.4908132
""
""
0.47565228
""
""
""
""
0.57901567
0.51323521
0.46912622
0.53305954
0.54728502
0.53231812
0.53068399
0.55943638
""
""
0.52798373
0.58284628
""
""
0.44774744
0.50261921
0.55075669
""
0.53249186
""
0.68949366
""
""
""
""
0.54713213
0.55629462
0.66490066
0.63062215
""
""
0.46383986
""
""
0.52604318
0.45998466
0.39255583
""
0.48829469
0.53412628
0.52441406
0.49744427
0.52840209
0.55374694
0.60461849
0.47844476
""
0.52247369
0.52068859
""
""
0.48902085
0.53514963
0.51522219
0.53638011
0.52909219
0.54288077
0.52769971
0.53559732
0.51210403
0.52409506
0.51779103
0.55047548
0.63343889
0.50309575
0.49185899
0.57033402
0.55380011
""
0.55595791
0.50017679
0.55410105
""
""
""
0.53985357
0.55190814
0.47625816
0.54937673
0.47353816
0.55961549
0.49741256
0.39434442
0.61590898
0.48278755
0.52600449
0.48154637
0.57101911
0.50092751
0.49658567
0.55707222
0.49812588
0.46213821
""
0.49760574
0.58426249
0.55276293
""
0.51595634
0.52119678
""
0.499221
0.64977187
0.47743443
0.51094639
""
0.55590945
0.54234737
""
0.53623968
0.48072442
""
0.51494735
""
0.46838567
""
""
0.58135062
0.56749421
""
0.60855281
0.57211179
0.48236129
""
0.56316775
0.53671014
0.55809176
0.46160257
0.54926127
0.5286507
0.4430716
0.53486568
0.52861196
0.43960693
0.5936988
0.56101859
0.48239562
0.54280537
0.48245141
0.54799479
0.54905307
""
0.67949361
0.5167926
""
0.53925979
0.55846816
0.49902895
""
""
0.5299105
0.54155058
0.50591117
0.53627712
0.57694751
0.53657621
0.51895678
0.54695106
0.47796857
0.52258122
0.55047172
0.55845332
0.5521307
0.59081346
0.56901503
0.47803023
0.53026325
""
""
0.55068314
0.53588909
0.5486244
0.54971588
0.44762599
0.49304724
0.46614417
0.53665835
0.51568234
