hs_natam_female_n
""
""
""
""
""
""
24.0
""
""
""
""
52.0
""
""
""
""
30.0
""
""
26.0
21.0
397.0
31.0
""
37.0
""
20.0
20.0
44.0
""
""
""
34.0
""
20.0
21.0
""
""
""
""
""
""
""
""
""
""
45.0
78.0
""
""
28.0
""
""
""
""
28.0
""
21.0
""
""
""
33.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
""
""
29.0
""
""
""
69.0
26.0
""
""
""
""
""
""
""
""
39.0
""
""
41.0
33.0
""
""
31.0
""
34.0
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
40.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
39.0
""
""
""
22.0
""
""
41.0
35.0
""
""
""
""
""
""
""
47.0
""
97.0
43.0
""
117.0
""
156.0
23.0
23.0
28.0
""
""
21.0
71.0
29.0
39.0
""
""
""
""
""
28.0
""
""
""
""
""
""
20.0
""
""
""
""
""
27.0
""
20.0
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
31.0
""
""
""
""
""
""
30.0
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
30.0
""
""
86.0
""
33.0
""
""
""
""
""
""
""
""
""
21.0
""
""
97.0
""
45.0
53.0
""
""
""
""
22.0
""
21.0
26.0
""
""
""
38.0
""
""
56.0
""
""
""
56.0
""
35.0
22.0
""
25.0
60.0
21.0
""
""
""
""
20.0
191.0
""
60.0
""
""
""
""
""
""
""
""
""
""
""
57.0
72.0
78.0
36.0
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
71.0
""
89.0
""
""
""
52.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
89.0
""
""
""
""
""
""
""
""
""
33.0
""
""
""
40.0
""
69.0
""
""
""
""
""
""
""
24.0
""
""
""
""
23.0
""
""
""
48.0
""
""
47.0
37.0
""
20.0
119.0
""
""
26.0
33.0
""
""
""
""
""
""
""
""
""
""
""
""
""
33.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
93.0
27.0
""
""
34.0
""
""
""
48.0
""
""
""
""
""
34.0
39.0
20.0
""
""
42.0
""
""
""
""
""
""
36.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
127.0
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
60.0
69.0
""
""
""
""
125.0
""
80.0
""
""
""
""
""
""
30.0
""
153.0
""
""
316.0
499.0
157.0
45.0
968.0
108.0
""
41.0
38.0
33.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
29.0
""
30.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
97.0
28.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
83.0
146.0
""
""
""
""
110.0
""
""
125.0
24.0
94.0
671.0
169.0
78.0
""
123.0
""
215.0
""
""
72.0
86.0
42.0
""
28.0
""
27.0
262.0
59.0
""
104.0
65.0
58.0
38.0
""
""
""
38.0
45.0
""
""
26.0
59.0
""
""
""
""
""
""
""
44.0
22.0
""
""
""
""
21.0
""
""
""
90.0
""
""
""
384.0
""
466.0
44.0
213.0
""
""
478.0
251.0
46.0
693.0
""
""
""
32.0
""
""
28.0
""
""
""
""
""
96.0
""
55.0
""
""
""
""
""
""
36.0
""
""
36.0
58.0
24.0
22.0
32.0
34.0
36.0
101.0
45.0
125.0
54.0
42.0
""
""
94.0
42.0
109.0
103.0
""
32.0
121.0
39.0
31.0
367.0
24.0
""
""
""
57.0
45.0
37.0
114.0
22.0
88.0
""
71.0
37.0
""
""
""
""
""
""
63.0
32.0
362.0
