kir_imm_white_pooled_n
193.0
74.0
""
270.0
187.0
""
296.0
""
""
137.0
129.0
709.0
27.0
40.0
98.0
""
""
202.0
""
""
180.0
436.0
143.0
56.0
845.0
""
84.0
243.0
800.0
33.0
37.0
74.0
627.0
518.0
24.0
241.0
22.0
45.0
""
""
122.0
""
""
""
""
""
561.0
58.0
241.0
81.0
199.0
132.0
46.0
""
""
220.0
21.0
""
""
44.0
33.0
284.0
""
38.0
26.0
22.0
""
""
""
20.0
""
23.0
""
47.0
""
""
35.0
35.0
""
327.0
22.0
80.0
22.0
47.0
650.0
44.0
48.0
232.0
293.0
98.0
43.0
24.0
31.0
196.0
22.0
""
53.0
117.0
1978.0
309.0
635.0
3562.0
1359.0
549.0
568.0
1340.0
485.0
924.0
45.0
212.0
179.0
81.0
340.0
21.0
363.0
381.0
327.0
""
""
""
98.0
36.0
32.0
111.0
26.0
194.0
149.0
22.0
""
20.0
1989.0
46.0
92.0
""
94.0
33.0
227.0
249.0
""
60.0
194.0
166.0
""
""
50.0
""
212.0
40.0
20.0
24.0
26.0
272.0
47.0
""
675.0
170.0
""
164.0
36.0
31.0
""
""
254.0
1657.0
""
4478.0
73.0
50.0
54.0
140.0
5550.0
280.0
63.0
254.0
63.0
34.0
259.0
668.0
86.0
45.0
60.0
72.0
570.0
40.0
22.0
773.0
""
32.0
218.0
""
33.0
210.0
530.0
""
""
31.0
75.0
75.0
362.0
38.0
349.0
160.0
49.0
78.0
128.0
264.0
523.0
71.0
73.0
138.0
89.0
113.0
21.0
""
438.0
226.0
241.0
2260.0
49.0
54.0
43.0
47.0
49.0
53.0
703.0
80.0
155.0
130.0
1123.0
335.0
387.0
187.0
21.0
74.0
""
33.0
""
68.0
""
""
70.0
90.0
87.0
182.0
46.0
39.0
143.0
906.0
129.0
230.0
1811.0
227.0
131.0
""
217.0
183.0
79.0
786.0
91.0
485.0
97.0
559.0
608.0
602.0
1007.0
16990.0
1253.0
8854.0
3927.0
354.0
180.0
83.0
""
249.0
68.0
212.0
458.0
372.0
124.0
204.0
2916.0
""
""
5191.0
1074.0
98.0
846.0
4244.0
102.0
29.0
28.0
""
41.0
41.0
44.0
26.0
""
65.0
48.0
119.0
1680.0
22.0
81.0
148.0
31.0
39.0
30.0
40.0
107.0
""
110.0
109.0
68.0
125.0
281.0
134.0
24.0
186.0
150.0
113.0
71.0
353.0
74.0
31.0
33.0
84.0
200.0
73.0
35.0
206.0
24.0
253.0
332.0
994.0
50.0
9339.0
360.0
98.0
21.0
1185.0
20.0
22.0
110.0
157.0
49.0
""
39.0
29.0
20.0
40.0
35.0
20.0
54.0
""
85.0
82.0
""
54.0
22.0
""
35.0
26.0
171.0
""
25.0
""
""
""
""
""
""
""
47.0
""
""
""
""
""
""
79.0
""
""
""
""
""
""
""
""
""
""
""
""
25.0
""
""
107.0
""
""
""
""
""
""
72.0
51.0
20.0
97.0
100.0
""
""
""
86.0
48.0
""
""
""
""
""
""
""
""
""
""
""
""
43.0
34.0
29.0
41.0
29.0
""
35.0
41.0
358.0
""
""
""
105.0
""
""
""
""
32.0
74.0
""
""
21.0
20.0
20.0
""
39.0
74.0
""
177.0
20.0
20.0
495.0
23.0
""
""
""
""
27.0
859.0
""
""
57.0
""
""
""
""
""
""
""
""
""
24.0
25.0
""
54.0
""
""
269.0
1811.0
""
""
28.0
24.0
36.0
""
""
""
""
""
""
29.0
""
""
189.0
128.0
288.0
45.0
22.0
""
32.0
71.0
113.0
890.0
73.0
79.0
""
""
139.0
38.0
204.0
56.0
97.0
27.0
45.0
112.0
52.0
166.0
33.0
468.0
40.0
""
52.0
447.0
73.0
""
""
""
64.0
""
67.0
139.0
70.0
""
139.0
29.0
""
""
""
""
26.0
""
""
""
""
""
""
52.0
""
""
724.0
24.0
940.0
""
21.0
""
128.0
""
""
""
""
""
38.0
241.0
214.0
71.0
153.0
2499.0
178.0
60.0
31.0
61.0
""
""
""
22.0
""
30.0
""
""
133.0
""
""
129.0
""
""
""
27.0
26.0
124.0
35.0
454.0
1091.0
1892.0
72.0
166.0
124.0
83.0
251.0
45.0
""
39.0
38.0
45.0
601.0
28.0
75.0
70.0
34.0
""
334.0
""
""
""
""
""
""
36.0
""
""
""
""
""
126.0
""
""
119.0
""
""
""
""
29.0
""
""
""
86.0
""
""
69.0
54.0
24.0
""
""
92.0
86.0
29.0
""
42.0
""
473.0
""
54.0
""
75.0
""
""
""
393.0
""
2378.0
""
662.0
89.0
""
57.0
182.0
""
36.0
54.0
89.0
28.0
350.0
24.0
""
89.0
23.0
""
""
""
542.0
1409.0
158.0
228.0
""
""
""
22.0
""
41.0
94.0
""
""
132.0
95.0
164.0
24.0
91.0
732.0
328.0
792.0
241.0
2235.0
2378.0
44.0
""
""
351.0
503.0
4121.0
1212.0
""
24.0
2453.0
113.0
497.0
13771.0
46.0
59.0
73.0
49.0
523.0
67.0
146.0
1871.0
35.0
743.0
36.0
115.0
247.0
24.0
""
80.0
""
""
""
262.0
60.0
3647.0
