kfr_stycz_hisp_pooled_n
50.0
148.0
""
""
141.0
""
""
158.0
""
""
53.0
""
""
""
""
96.0
46.0
""
""
""
""
66.0
145.0
20.0
102.0
53.0
22.0
89.0
""
64.0
28.0
""
""
""
84.0
33.0
517.0
""
63.0
27.0
86.0
91.0
""
""
414.0
""
21.0
183.0
376.0
""
211.0
205.0
""
""
""
""
73.0
51.0
151.0
""
42.0
21.0
87.0
26.0
""
""
""
""
""
1125.0
""
""
""
""
276.0
""
""
72.0
62.0
""
26.0
""
""
97.0
""
""
""
""
""
""
""
""
""
""
""
""
71.0
2330.0
722.0
492.0
466.0
118.0
137.0
47645.0
1289.0
384.0
17932.0
3283.0
2546.0
870.0
4709.0
""
31.0
26.0
1093.0
21.0
23.0
""
110.0
""
36.0
""
""
""
""
26.0
95.0
165.0
54.0
""
""
26.0
""
115.0
""
""
174.0
""
48.0
81.0
35.0
35.0
53.0
""
""
67.0
133.0
""
""
""
""
23.0
""
75.0
23.0
""
48.0
57.0
""
""
""
""
22.0
""
""
""
""
36.0
121.0
""
672.0
""
22.0
117.0
28.0
""
453.0
132.0
23.0
""
56.0
""
813.0
68.0
""
104.0
16749.0
""
183.0
1570.0
191.0
362.0
12127.0
156.0
990.0
25789.0
386.0
422.0
8209.0
103.0
19544.0
4052.0
291.0
134.0
275799.0
4442.0
1232.0
83.0
793.0
6817.0
45.0
27.0
12192.0
2082.0
344.0
52155.0
2192.0
54.0
47353.0
14592.0
2200.0
57520.0
49319.0
7578.0
13556.0
2529.0
10789.0
8400.0
24759.0
5542.0
732.0
""
140.0
5532.0
4625.0
11671.0
1537.0
547.0
""
13963.0
269.0
19389.0
3341.0
933.0
9277.0
321.0
5294.0
39.0
""
118.0
2024.0
455.0
50.0
""
26.0
131.0
47.0
61.0
""
266.0
14081.0
""
970.0
87.0
96.0
4526.0
251.0
311.0
""
""
23.0
""
121.0
""
6098.0
""
48.0
89.0
269.0
1601.0
342.0
""
154.0
840.0
""
95.0
136.0
330.0
639.0
591.0
""
72.0
40.0
24.0
234.0
4079.0
28.0
296.0
""
52.0
""
""
24.0
""
67.0
25.0
3609.0
51.0
6153.0
6420.0
350.0
402.0
5010.0
1043.0
294.0
517.0
354.0
1813.0
361.0
2974.0
509.0
26.0
346.0
24.0
1881.0
18092.0
""
447.0
257.0
729.0
2363.0
90.0
192.0
""
2786.0
595.0
262.0
""
113.0
25.0
41.0
""
""
308.0
582.0
813.0
594.0
12664.0
21.0
483.0
51.0
""
""
1138.0
3205.0
376.0
90.0
""
""
1561.0
1135.0
487.0
73886.0
783.0
104.0
552.0
440.0
13487.0
5114.0
8977.0
2009.0
3136.0
3538.0
158.0
350.0
1529.0
294.0
1068.0
3949.0
88.0
71.0
23.0
""
2242.0
31.0
73.0
24.0
22.0
28.0
""
""
""
24.0
108.0
168.0
23.0
24.0
128.0
""
""
20.0
41.0
28.0
33.0
""
""
99.0
22.0
140.0
53.0
""
422.0
194.0
27.0
413.0
204.0
""
976.0
""
2010.0
74.0
110.0
242.0
26.0
170.0
""
""
""
""
26.0
1991.0
""
""
121.0
257.0
""
""
45.0
21.0
""
""
""
257.0
170.0
285.0
23.0
1805.0
40.0
""
108.0
146.0
35.0
""
3018.0
114.0
1220.0
""
26.0
40.0
""
22.0
294.0
337.0
""
86.0
""
""
""
""
""
""
""
""
33.0
22.0
279.0
""
""
169.0
43.0
24.0
""
""
28.0
""
""
""
29.0
""
""
""
157.0
632.0
93.0
48.0
""
162.0
62.0
24.0
""
""
146.0
""
""
""
""
""
491.0
198.0
""
""
""
50.0
24.0
""
38.0
""
""
29.0
""
""
""
44.0
111.0
70.0
""
""
63.0
""
""
""
""
57.0
104.0
35.0
""
""
26.0
""
""
20.0
1151.0
""
""
""
25.0
697.0
4569.0
227.0
639.0
1081.0
""
333.0
22.0
""
427.0
""
20.0
57.0
503.0
""
""
""
1929.0
""
272.0
""
""
""
190.0
61.0
50.0
86.0
162.0
""
156.0
201.0
275.0
32.0
22.0
""
41.0
71.0
352.0
91.0
""
133.0
184.0
138.0
28.0
""
485.0
""
87.0
40.0
""
""
477.0
""
134.0
""
38.0
70.0
201.0
""
""
""
27.0
66.0
65318.0
""
""
353.0
28.0
47.0
6332.0
""
""
""
""
28.0
24.0
31.0
""
""
186.0
""
""
""
""
136.0
98.0
40.0
""
33.0
""
""
""
7108.0
401.0
599.0
