staytract_pooled_male_p25
0.35253412
0.36617345
0.43559912
0.30410656
0.28469759
0.34701526
0.29771313
0.42021638
0.39699724
0.33981693
0.30672309
0.28336203
0.39139009
0.36714223
0.31415647
0.32574561
0.46291819
0.30243421
0.40727881
0.42761734
0.34835112
0.29889521
0.31712818
0.29422587
0.26713452
0.34755936
0.34243292
0.2771453
0.24423274
0.33207136
0.37675375
0.30603701
0.27146885
0.2394208
0.36317053
0.32166883
0.43554947
0.38346913
0.40011451
0.33439136
0.32821125
0.39765111
0.44404432
0.48614648
0.33674169
0.29686117
0.25110039
0.36362046
0.32809111
0.34705094
0.34502143
0.36065173
0.3181487
0.36096033
0.3913351
0.29162309
0.32249886
0.37017792
0.3024064
0.29078308
0.3091507
0.27297768
0.35567418
0.35371158
0.43347555
0.37530553
0.45334256
0.47588718
0.44130102
0.43359509
0.31242335
0.34542865
0.24933092
0.32089686
0.35576552
0.43249837
0.40406221
0.43653378
0.43501937
0.26969093
0.27690449
0.36079326
0.43260112
0.36774108
0.26364154
0.35781127
0.3593545
0.28264204
0.31991124
0.37081772
0.35361207
0.38328546
0.36584607
0.31523967
0.38456205
0.39981079
0.35994181
0.34760192
0.22014354
0.23104118
0.20889156
0.26570946
0.24162684
0.1951092
0.22020149
0.23692927
0.22666198
0.25476101
0.31367606
0.23544122
0.27338812
0.323901
0.30694664
0.40763617
0.27957961
0.30881107
0.29203567
0.39209923
0.36162668
0.37690943
0.32210448
0.3804107
0.329824
0.28789023
0.36850303
0.28468218
0.25638926
0.40395048
0.36695716
0.4007321
0.22597438
0.34352368
0.28205439
0.37132564
0.30941397
0.37285042
0.33697963
0.2707482
0.3717334
0.33476251
0.29445034
0.26601005
0.36098462
0.30334207
0.28267854
0.3627536
0.29894859
0.39386034
0.37411532
0.38749704
0.40556678
0.2987318
0.31797746
0.34884948
0.25085908
0.30811235
0.38803518
0.28568152
0.35893676
0.38031617
0.37459522
0.39835805
0.24084309
0.26513702
0.34375671
0.24331909
0.27479318
0.29406786
0.32079208
0.25222185
0.21133693
0.20322059
0.27110338
0.25856319
0.30054906
0.25753897
0.24939987
0.2359955
0.25935596
0.27018175
0.25116631
0.24634932
0.2445243
0.34074688
0.30810869
0.24253598
0.43696052
0.34545559
0.30820242
0.43547249
0.35558495
0.31591353
0.26723063
0.37539414
0.43255681
0.32919055
0.28870192
0.28711909
0.23318729
0.29031
0.24810816
0.27916324
0.29614562
0.26322353
0.28274211
0.24343322
0.22152008
0.33514634
0.30438462
0.26485437
0.32907096
0.27852109
0.33229157
0.31539118
0.24013679
0.27213055
0.24945962
0.22013988
0.3302651
0.3474187
0.33778146
0.35103932
0.36977848
0.41666451
0.23170055
0.27595726
0.3474451
0.33643448
0.28910238
0.27483907
0.28366813
0.31651419
0.4005782
0.36556172
0.40833274
0.36113095
0.44022843
0.3536652
0.40363204
0.45156705
0.36204571
0.36415771
0.34547019
0.31365988
0.3922244
0.29129335
0.32377389
0.26573575
0.31056875
0.27894148
0.25225243
0.29080793
0.32734957
0.39751869
0.32053629
0.35047522
0.30956629
0.27158457
0.34314069
0.3002156
0.32841688
0.27228472
0.26550817
0.27063236
0.26774773
0.29885814
0.25803429
0.2651805
0.27854848
0.27239484
