grad_black_male_n
22.0
31.0
38.0
""
""
""
36.0
65.0
50.0
""
""
""
22.0
""
""
27.0
21.0
""
""
""
""
""
38.0
55.0
""
27.0
23.0
47.0
""
""
""
24.0
""
20.0
132.0
""
616.0
""
""
""
51.0
21.0
29.0
42.0
135.0
30.0
""
""
386.0
""
275.0
44.0
22.0
27.0
29.0
""
40.0
""
33.0
""
61.0
23.0
113.0
""
""
""
""
""
""
51.0
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
275.0
""
""
65.0
""
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
""
""
70.0
""
""
""
""
20.0
""
""
21.0
""
""
""
""
""
""
""
""
99.0
""
""
""
""
""
""
""
""
""
""
34.0
43.0
""
""
""
""
26.0
""
40.0
""
""
""
""
""
275.0
""
31.0
""
""
""
""
""
""
""
32.0
""
""
""
""
""
394.0
""
""
""
""
""
211.0
""
""
99.0
""
""
""
""
79.0
""
""
""
1831.0
""
""
""
""
27.0
""
""
31.0
""
""
129.0
""
""
260.0
283.0
""
438.0
365.0
122.0
98.0
""
81.0
34.0
156.0
""
""
""
""
163.0
20.0
23.0
""
""
""
""
""
48.0
""
""
38.0
""
122.0
""
""
""
""
""
""
""
""
""
""
""
""
""
161.0
""
""
""
""
113.0
""
""
""
""
""
""
""
""
26.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
206.0
205.0
""
""
145.0
33.0
""
""
98.0
302.0
75.0
805.0
88.0
""
45.0
""
74.0
732.0
""
""
""
39.0
25.0
24.0
""
""
454.0
152.0
""
""
63.0
""
""
""
""
""
""
23.0
""
350.0
""
""
39.0
""
""
49.0
89.0
155.0
""
""
""
51.0
59.0
""
1002.0
""
""
51.0
""
363.0
40.0
400.0
23.0
177.0
168.0
28.0
""
87.0
""
32.0
116.0
""
""
""
""
83.0
""
""
""
""
""
""
""
37.0
""
