work_26_natam_female_n
42.0
22.0
""
70.0
47.0
""
146.0
""
""
""
51.0
198.0
""
""
40.0
""
163.0
47.0
""
59.0
97.0
1935.0
129.0
27.0
173.0
36.0
63.0
83.0
181.0
""
""
23.0
131.0
78.0
89.0
80.0
23.0
""
""
""
72.0
""
""
""
""
""
185.0
364.0
70.0
66.0
96.0
59.0
20.0
""
""
86.0
""
48.0
""
""
""
123.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
102.0
""
""
""
""
122.0
""
""
37.0
262.0
95.0
27.0
""
""
45.0
""
""
22.0
48.0
233.0
72.0
82.0
231.0
149.0
59.0
87.0
164.0
71.0
160.0
""
38.0
30.0
25.0
75.0
""
106.0
66.0
55.0
""
""
""
23.0
""
""
""
""
38.0
38.0
""
""
""
263.0
""
""
""
""
""
46.0
42.0
""
""
51.0
48.0
""
""
""
""
52.0
215.0
""
""
""
89.0
""
""
175.0
180.0
56.0
36.0
""
""
""
""
37.0
245.0
""
426.0
120.0
46.0
296.0
51.0
598.0
84.0
85.0
91.0
38.0
24.0
82.0
223.0
82.0
85.0
20.0
26.0
94.0
""
""
117.0
""
""
27.0
""
""
24.0
70.0
""
""
""
26.0
""
86.0
""
82.0
55.0
21.0
22.0
22.0
53.0
110.0
""
""
27.0
""
30.0
""
""
58.0
56.0
44.0
142.0
""
21.0
""
""
31.0
""
143.0
23.0
""
""
93.0
45.0
51.0
22.0
""
""
""
""
""
""
""
""
""
""
""
28.0
""
""
""
174.0
""
""
341.0
30.0
78.0
""
55.0
79.0
""
62.0
""
30.0
""
43.0
50.0
64.0
49.0
542.0
34.0
230.0
262.0
47.0
62.0
""
""
50.0
41.0
40.0
85.0
49.0
""
""
147.0
""
""
243.0
97.0
""
31.0
220.0
""
86.0
43.0
""
61.0
131.0
38.0
""
""
""
""
66.0
770.0
34.0
160.0
39.0
""
""
""
48.0
""
""
""
22.0
""
33.0
209.0
285.0
194.0
99.0
81.0
58.0
""
90.0
""
""
""
""
36.0
""
""
38.0
""
37.0
71.0
311.0
""
396.0
38.0
27.0
""
211.0
""
""
""
37.0
""
""
23.0
""
""
""
""
""
""
""
""
22.0
""
""
""
""
20.0
""
269.0
""
""
""
""
""
""
""
""
""
178.0
""
""
""
106.0
""
216.0
61.0
""
""
""
""
""
""
84.0
""
21.0
""
22.0
59.0
23.0
53.0
""
166.0
31.0
""
127.0
84.0
41.0
52.0
329.0
""
""
93.0
118.0
""
20.0
""
31.0
""
""
""
""
36.0
34.0
23.0
""
61.0
77.0
""
65.0
""
25.0
""
""
""
""
""
""
""
55.0
""
""
""
438.0
94.0
""
""
115.0
49.0
37.0
""
211.0
20.0
""
""
""
""
118.0
76.0
89.0
""
""
163.0
""
""
""
""
""
""
173.0
""
""
52.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
101.0
540.0
""
""
""
""
""
""
""
""
""
""
""
""
53.0
""
48.0
193.0
234.0
""
49.0
""
""
367.0
""
319.0
32.0
""
""
""
41.0
""
124.0
38.0
431.0
""
58.0
885.0
1504.0
526.0
159.0
3234.0
330.0
25.0
132.0
130.0
122.0
""
""
""
36.0
""
""
41.0
22.0
""
59.0
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
149.0
""
178.0
""
""
""
60.0
""
""
""
""
""
""
25.0
66.0
""
57.0
472.0
98.0
""
""
20.0
""
""
""
""
""
""
""
""
38.0
""
""
63.0
""
""
""
""
""
38.0
""
69.0
368.0
671.0
62.0
73.0
45.0
46.0
379.0
48.0
""
420.0
109.0
331.0
2316.0
415.0
236.0
35.0
335.0
28.0
847.0
23.0
""
121.0
146.0
77.0
50.0
116.0
59.0
89.0
432.0
104.0
""
308.0
160.0
194.0
158.0
""
""
""
136.0
168.0
""
""
56.0
213.0
""
""
53.0
50.0
32.0
""
""
187.0
92.0
29.0
""
34.0
""
81.0
""
""
""
241.0
""
""
""
1461.0
47.0
2438.0
154.0
814.0
59.0
""
2032.0
977.0
163.0
2789.0
""
29.0
21.0
146.0
20.0
""
98.0
21.0
""
""
""
115.0
470.0
44.0
190.0
""
""
""
66.0
""
25.0
148.0
""
""
148.0
206.0
112.0
65.0
123.0
205.0
209.0
413.0
200.0
609.0
314.0
107.0
22.0
""
332.0
208.0
516.0
439.0
""
66.0
443.0
109.0
108.0
1760.0
69.0
""
29.0
35.0
268.0
136.0
169.0
551.0
60.0
388.0
54.0
307.0
142.0
""
""
108.0
""
""
""
172.0
101.0
1422.0
