marr_26_natam_female_n
49.0
23.0
""
80.0
53.0
""
172.0
""
""
21.0
55.0
234.0
""
20.0
42.0
""
188.0
51.0
""
74.0
106.0
2237.0
138.0
29.0
199.0
40.0
71.0
95.0
207.0
""
""
26.0
149.0
89.0
99.0
100.0
26.0
""
""
""
82.0
""
""
""
""
""
218.0
415.0
78.0
76.0
115.0
67.0
22.0
""
""
95.0
""
53.0
""
""
""
135.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
123.0
""
""
""
21.0
150.0
""
""
45.0
304.0
110.0
30.0
""
""
50.0
""
""
25.0
52.0
255.0
82.0
92.0
252.0
161.0
70.0
96.0
185.0
79.0
186.0
20.0
45.0
36.0
30.0
84.0
""
117.0
81.0
60.0
""
""
""
26.0
""
""
23.0
""
41.0
40.0
""
""
""
295.0
""
""
""
22.0
""
52.0
50.0
""
""
61.0
55.0
""
""
""
""
56.0
241.0
""
""
22.0
104.0
21.0
""
205.0
200.0
58.0
41.0
""
""
""
""
41.0
285.0
""
489.0
138.0
50.0
345.0
60.0
696.0
99.0
98.0
111.0
41.0
27.0
96.0
252.0
96.0
93.0
22.0
28.0
107.0
""
""
131.0
""
""
29.0
""
""
27.0
82.0
""
""
""
28.0
""
98.0
""
94.0
60.0
24.0
30.0
26.0
64.0
124.0
""
20.0
31.0
""
33.0
""
""
66.0
61.0
46.0
163.0
""
24.0
""
""
41.0
""
168.0
27.0
""
""
104.0
48.0
58.0
25.0
""
""
""
""
""
25.0
""
""
""
""
20.0
33.0
""
""
""
189.0
""
""
391.0
32.0
90.0
""
64.0
90.0
""
69.0
""
32.0
""
50.0
63.0
74.0
52.0
621.0
43.0
254.0
308.0
52.0
75.0
""
""
60.0
46.0
47.0
98.0
57.0
""
20.0
172.0
""
""
288.0
111.0
""
34.0
253.0
""
101.0
49.0
""
66.0
147.0
40.0
""
""
23.0
""
74.0
874.0
35.0
177.0
44.0
""
""
""
54.0
""
""
""
24.0
""
37.0
233.0
314.0
235.0
115.0
94.0
69.0
""
95.0
""
""
""
""
40.0
""
""
42.0
""
40.0
78.0
367.0
""
464.0
45.0
30.0
""
241.0
""
""
""
42.0
20.0
""
24.0
21.0
""
""
""
""
20.0
""
""
23.0
""
""
""
""
21.0
""
308.0
""
""
""
""
""
""
""
""
""
204.0
""
""
""
120.0
""
249.0
67.0
""
""
""
""
""
""
99.0
""
25.0
""
25.0
71.0
28.0
57.0
""
191.0
36.0
""
140.0
96.0
44.0
62.0
373.0
""
""
109.0
134.0
""
20.0
""
38.0
""
""
""
""
37.0
39.0
23.0
""
69.0
89.0
""
71.0
""
25.0
""
""
""
""
""
""
""
63.0
""
""
""
476.0
103.0
21.0
""
137.0
58.0
41.0
""
245.0
23.0
""
""
""
""
135.0
86.0
102.0
""
""
195.0
""
""
""
""
""
""
207.0
""
""
67.0
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
116.0
620.0
""
""
""
""
20.0
""
""
""
""
""
""
""
60.0
""
51.0
222.0
274.0
""
56.0
""
""
421.0
""
371.0
36.0
""
""
""
50.0
""
141.0
42.0
489.0
21.0
60.0
1043.0
1740.0
591.0
187.0
3692.0
374.0
29.0
159.0
159.0
140.0
""
""
""
42.0
""
""
46.0
24.0
""
63.0
31.0
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
167.0
""
203.0
""
""
""
69.0
""
""
""
""
""
""
29.0
76.0
""
64.0
543.0
111.0
21.0
""
21.0
""
""
""
""
""
""
""
""
46.0
""
""
70.0
""
""
""
""
""
47.0
20.0
79.0
421.0
756.0
71.0
79.0
55.0
55.0
437.0
54.0
""
478.0
126.0
374.0
2661.0
478.0
272.0
38.0
385.0
30.0
943.0
26.0
""
144.0
159.0
86.0
53.0
127.0
62.0
101.0
487.0
116.0
""
335.0
177.0
216.0
175.0
""
""
""
145.0
189.0
""
""
65.0
250.0
""
""
59.0
54.0
36.0
""
""
208.0
107.0
33.0
""
38.0
""
88.0
""
""
""
275.0
""
""
""
1645.0
55.0
2702.0
178.0
914.0
68.0
""
2347.0
1127.0
193.0
3212.0
""
30.0
25.0
166.0
24.0
""
110.0
22.0
""
""
""
126.0
524.0
51.0
218.0
""
""
""
74.0
""
32.0
164.0
""
""
174.0
227.0
123.0
76.0
139.0
239.0
228.0
471.0
224.0
705.0
359.0
122.0
22.0
""
386.0
236.0
604.0
500.0
""
73.0
514.0
127.0
125.0
2018.0
78.0
""
32.0
42.0
305.0
163.0
192.0
639.0
67.0
447.0
65.0
349.0
167.0
""
""
122.0
""
""
""
195.0
122.0
1615.0
