stayhome_other_pooled_n
339.0
172.0
24.0
661.0
385.0
66.0
977.0
43.0
27.0
242.0
294.0
1448.0
41.0
124.0
303.0
""
38.0
333.0
34.0
70.0
393.0
1448.0
309.0
161.0
1524.0
46.0
240.0
938.0
2648.0
86.0
111.0
231.0
1542.0
1528.0
103.0
630.0
42.0
110.0
21.0
""
327.0
54.0
""
""
35.0
55.0
1601.0
281.0
628.0
212.0
513.0
482.0
162.0
""
""
595.0
53.0
31.0
""
121.0
70.0
707.0
26.0
72.0
75.0
71.0
""
25.0
52.0
44.0
54.0
70.0
90.0
159.0
50.0
23.0
85.0
61.0
33.0
1166.0
76.0
143.0
49.0
135.0
1299.0
122.0
136.0
666.0
785.0
243.0
147.0
53.0
56.0
434.0
64.0
22.0
158.0
282.0
3076.0
654.0
783.0
4729.0
1752.0
623.0
1009.0
2923.0
710.0
2053.0
119.0
390.0
311.0
281.0
841.0
34.0
878.0
696.0
888.0
30.0
20.0
21.0
224.0
89.0
96.0
324.0
67.0
552.0
474.0
56.0
30.0
28.0
4526.0
95.0
193.0
42.0
222.0
95.0
465.0
575.0
35.0
95.0
434.0
452.0
24.0
57.0
138.0
26.0
341.0
109.0
59.0
50.0
76.0
686.0
145.0
21.0
1714.0
452.0
46.0
377.0
42.0
84.0
""
32.0
629.0
3846.0
50.0
10583.0
197.0
88.0
194.0
356.0
6688.0
834.0
159.0
594.0
135.0
57.0
826.0
1782.0
161.0
156.0
113.0
102.0
1842.0
124.0
120.0
2058.0
27.0
94.0
535.0
25.0
78.0
503.0
1129.0
40.0
39.0
142.0
265.0
284.0
951.0
77.0
912.0
430.0
113.0
214.0
403.0
710.0
1828.0
145.0
231.0
319.0
247.0
349.0
33.0
42.0
703.0
738.0
652.0
2907.0
164.0
233.0
102.0
149.0
210.0
119.0
2415.0
342.0
211.0
244.0
2105.0
727.0
569.0
396.0
22.0
190.0
25.0
122.0
25.0
278.0
""
48.0
200.0
131.0
210.0
514.0
106.0
141.0
342.0
1245.0
119.0
354.0
2289.0
402.0
176.0
24.0
371.0
122.0
89.0
1100.0
108.0
571.0
177.0
687.0
1040.0
1211.0
1190.0
15209.0
1245.0
6921.0
6646.0
801.0
662.0
163.0
36.0
249.0
31.0
68.0
741.0
325.0
93.0
232.0
2690.0
""
""
6635.0
1229.0
126.0
736.0
4238.0
168.0
69.0
41.0
22.0
77.0
84.0
53.0
47.0
25.0
116.0
103.0
262.0
4890.0
60.0
181.0
284.0
62.0
62.0
38.0
101.0
198.0
""
185.0
294.0
111.0
207.0
497.0
386.0
105.0
344.0
244.0
218.0
89.0
737.0
110.0
72.0
71.0
244.0
453.0
148.0
150.0
541.0
52.0
547.0
764.0
2071.0
157.0
8987.0
773.0
253.0
90.0
2961.0
34.0
62.0
274.0
397.0
165.0
52.0
91.0
74.0
42.0
46.0
131.0
69.0
115.0
27.0
119.0
199.0
22.0
123.0
52.0
84.0
126.0
""
408.0
""
""
65.0
56.0
23.0
""
""
""
""
97.0
""
""
""
21.0
""
23.0
146.0
""
""
""
""
""
""
23.0
""
""
""
20.0
32.0
44.0
45.0
""
239.0
41.0
""
25.0
""
""
35.0
198.0
24.0
24.0
191.0
214.0
""
48.0
""
99.0
65.0
""
""
""
""
36.0
27.0
""
""
""
""
39.0
""
62.0
41.0
44.0
55.0
56.0
32.0
50.0
82.0
645.0
28.0
24.0
30.0
422.0
25.0
""
""
""
64.0
219.0
""
""
38.0
43.0
44.0
""
73.0
230.0
24.0
449.0
32.0
41.0
1386.0
38.0
""
""
""
""
40.0
2218.0
""
""
246.0
34.0
""
""
""
""
""
""
""
""
32.0
31.0
""
85.0
""
40.0
623.0
4308.0
23.0
""
63.0
60.0
139.0
32.0
""
""
""
""
""
132.0
39.0
""
490.0
670.0
1132.0
120.0
117.0
66.0
67.0
502.0
265.0
2872.0
209.0
103.0
""
""
408.0
58.0
558.0
127.0
574.0
68.0
120.0
863.0
764.0
702.0
245.0
3793.0
265.0
40.0
259.0
1172.0
232.0
""
45.0
""
125.0
""
78.0
275.0
188.0
24.0
281.0
57.0
""
""
""
35.0
69.0
""
""
52.0
""
28.0
""
104.0
25.0
""
1652.0
32.0
2555.0
38.0
56.0
""
300.0
25.0
""
""
""
""
54.0
282.0
551.0
155.0
324.0
5336.0
421.0
138.0
65.0
192.0
""
""
""
42.0
""
40.0
""
""
340.0
""
""
285.0
""
""
28.0
43.0
26.0
248.0
71.0
1443.0
2662.0
4304.0
179.0
353.0
285.0
233.0
867.0
121.0
""
334.0
101.0
221.0
3850.0
297.0
320.0
178.0
176.0
""
1961.0
""
""
""
30.0
""
48.0
223.0
78.0
84.0
46.0
""
""
494.0
66.0
37.0
281.0
24.0
45.0
""
55.0
75.0
""
""
""
243.0
""
""
100.0
111.0
84.0
""
24.0
238.0
224.0
52.0
""
115.0
""
12583.0
735.0
2241.0
35.0
220.0
""
""
42.0
1397.0
""
5201.0
24.0
1830.0
254.0
""
238.0
384.0
46.0
237.0
1794.0
121.0
62.0
941.0
120.0
""
203.0
46.0
""
30.0
""
771.0
3393.0
236.0
380.0
""
""
29.0
39.0
""
109.0
333.0
""
""
538.0
306.0
577.0
83.0
355.0
2014.0
1468.0
2510.0
1074.0
9147.0
7700.0
83.0
20.0
21.0
1123.0
1497.0
17573.0
4611.0
""
40.0
8697.0
316.0
1430.0
33391.0
146.0
99.0
127.0
128.0
1273.0
148.0
508.0
5131.0
142.0
2216.0
160.0
485.0
700.0
77.0
""
293.0
""
""
""
399.0
232.0
14558.0
