kfr_native_pooled_pooled_n
10812
4575
1196
14200
9546
1681
19291
1638
1072
6710
8101
26706
1171
3038
7139
776
743
6910
937
1657
11386
12895
7083
4161
24901
1045
4729
10856
24796
2432
2894
4504
20365
12367
2941
9328
2319
3281
853
921
11283
2227
1024
536
1624
1887
26837
5975
16091
4775
8907
11930
5923
458
907
12057
1825
715
592
4174
2380
14358
1137
2429
2625
2361
943
1622
1849
2294
1706
2848
3329
4693
2211
1032
4290
3229
1240
23570
3296
3676
2244
3933
25032
3168
3657
5669
10935
6730
4944
1968
2116
9890
1882
737
3830
7336
37066
10369
11819
30581
20929
10182
11384
26618
9882
22840
2553
6111
5238
4815
15433
1467
12513
17115
11124
940
642
888
4805
2231
1699
2834
1859
8053
7767
2063
1563
1843
58770
2897
3851
1654
5042
3065
10241
6521
1189
2521
7666
3979
834
1242
3706
1200
7446
3302
2191
2096
3189
21190
4963
1334
13287
12062
1555
8257
1919
3351
594
1540
6053
44483
883
72458
4413
5077
2210
10599
110938
13611
6135
19988
6226
2626
14461
35844
5801
3922
3998
4684
29839
3308
2977
44445
1463
4068
11199
962
2006
5010
26460
1282
1957
4667
7895
9177
21727
3335
18060
11358
3660
5027
10232
15151
30134
3936
6435
8858
5881
10187
1806
1404
15991
17821
11291
54270
4914
5460
3073
5165
5261
3276
34813
8493
9536
13280
57947
20043
21458
7857
1360
5596
944
3094
1293
6974
613
3314
7338
3592
3618
9132
3512
2619
4983
27658
5308
8102
48437
11098
8283
1378
8049
4523
3106
21644
6261
20748
8877
12790
26682
26326
15379
99251
19841
69963
99042
11884
9187
3436
735
8534
1166
2282
16889
8437
3384
7538
22920
145
146
66915
25505
3428
12141
52650
4044
2589
1825
1275
2767
5101
3438
4178
2112
7585
5185
11786
72517
2785
7086
10290
3467
2950
3051
4090
8032
1374
5682
7248
4792
7610
20114
10597
3551
17767
13659
9364
6971
18526
6289
2760
3743
5935
10232
4964
4369
11258
2652
16560
16638
42026
4350
121262
16995
3216
3897
54433
1271
2903
7735
10526
4880
1531
3147
2132
1420
1926
3951
2970
3378
699
5492
6972
1041
5395
1923
3070
4734
1183
11184
93
422
2442
1854
1089
606
423
1268
1064
4238
157
419
144
835
385
468
2945
602
104
58
179
465
37
313
197
349
533
1117
817
1104
1661
672
6360
1749
1013
959
187
334
1933
5637
1468
1807
4826
7231
783
1748
177
7179
4907
822
510
328
507
2152
1190
832
857
429
283
808
164
5346
3202
2873
3600
2754
2811
2493
4408
15108
1477
1635
2266
5240
174
133
46
131
2620
3129
645
507
2718
3066
1776
1272
3117
6748
1160
8882
1851
2306
23686
1603
776
100
357
616
1593
15247
216
212
4762
633
454
362
182
479
694
324
178
891
2107
2015
391
1719
83
724
11241
47073
976
40
1273
1778
2831
1340
546
315
964
625
554
2255
1090
984
4456
8690
14096
2931
1901
2068
1713
4868
3126
42754
5740
3001
1554
866
7923
2335
11604
3657
8137
1899
3468
8493
4479
9284
2324
25089
1742
913
3543
11471
1737
166
1014
32
2688
180
2031
7267
1994
863
6071
1754
319
224
25
1480
1398
489
307
940
571
682
803
4120
981
419
22143
1140
32918
962
1335
27
6735
891
346
204
362
360
2259
9906
11268
3473
7421
69858
10659
3311
1994
2931
595
173
703
741
414
1442
651
793
5323
222
461
4162
740
103
578
1668
1275
6841
2437
7842
38153
60538
4863
9243
6943
5426
5371
1595
267
3381
1801
2500
29157
2361
4553
4747
2807
41
8498
186
28
232
248
155
277
925
351
453
761
188
36
2683
800
691
3256
499
1355
457
1161
1401
546
26
239
4833
56
357
2557
2231
1630
217
523
3393
3378
1577
465
2609
51
14579
795
1935
980
3608
280
182
1191
14996
329
54158
1127
16595
4733
291
4852
5768
960
3704
2407
3290
1457
11370
1926
269
4289
2060
268
1224
73
13649
41284
7290
9702
353
228
999
1651
686
3129
3808
214
266
5264
2797
5758
887
3802
12219
11513
20764
7432
41755
26660
1477
470
280
8366
9750
51337
23331
41
580
34076
3170
9670
152060
2680
1658
1938
2151
13751
2382
5730
35544
1651
20940
1728
4814
7657
1566
281
3380
82
258
305
3217
2251
66459
