coll_hisp_pooled_n
54.0
38.0
""
106.0
142.0
""
246.0
""
""
55.0
76.0
420.0
""
28.0
102.0
""
""
84.0
""
""
80.0
358.0
54.0
34.0
410.0
""
101.0
199.0
446.0
""
""
38.0
259.0
206.0
""
140.0
""
25.0
""
""
74.0
""
""
""
""
""
648.0
57.0
130.0
42.0
118.0
91.0
38.0
""
""
109.0
""
""
""
29.0
30.0
149.0
""
""
""
""
""
""
""
""
""
""
""
29.0
20.0
""
30.0
""
""
243.0
22.0
35.0
""
51.0
261.0
23.0
30.0
134.0
125.0
53.0
38.0
""
""
66.0
""
""
33.0
239.0
2209.0
590.0
436.0
10643.0
1693.0
687.0
392.0
2565.0
385.0
472.0
36.0
205.0
124.0
44.0
178.0
""
170.0
191.0
162.0
""
""
""
69.0
28.0
""
63.0
20.0
116.0
119.0
24.0
""
""
1321.0
""
62.0
""
161.0
""
103.0
155.0
""
28.0
136.0
63.0
""
""
33.0
""
81.0
20.0
""
""
""
144.0
""
""
263.0
94.0
""
64.0
""
""
""
""
126.0
615.0
""
3249.0
31.0
""
""
156.0
1683.0
275.0
83.0
369.0
25.0
35.0
242.0
806.0
39.0
20.0
""
34.0
247.0
26.0
""
275.0
""
""
90.0
""
""
91.0
202.0
""
""
""
154.0
90.0
493.0
95.0
356.0
197.0
69.0
75.0
96.0
211.0
331.0
34.0
33.0
133.0
39.0
57.0
""
""
893.0
75.0
318.0
702.0
23.0
""
""
""
21.0
""
292.0
56.0
35.0
47.0
266.0
177.0
172.0
64.0
""
29.0
""
""
""
28.0
""
""
29.0
55.0
23.0
84.0
""
33.0
49.0
273.0
33.0
60.0
817.0
73.0
41.0
""
84.0
21.0
52.0
265.0
32.0
267.0
35.0
593.0
754.0
336.0
683.0
17703.0
658.0
7039.0
2809.0
305.0
158.0
28.0
""
36.0
""
""
80.0
40.0
""
34.0
732.0
""
""
2319.0
269.0
""
530.0
2382.0
32.0
""
""
""
""
24.0
""
43.0
""
74.0
45.0
62.0
841.0
""
29.0
61.0
63.0
38.0
""
69.0
63.0
""
143.0
63.0
38.0
58.0
170.0
122.0
""
95.0
87.0
47.0
30.0
180.0
36.0
""
""
79.0
97.0
36.0
51.0
295.0
22.0
244.0
392.0
1075.0
98.0
11093.0
452.0
53.0
""
458.0
""
28.0
59.0
84.0
""
""
""
34.0
""
""
24.0
26.0
20.0
""
34.0
61.0
""
28.0
""
38.0
36.0
""
30.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
49.0
""
""
""
""
""
""
27.0
20.0
""
52.0
72.0
""
""
""
35.0
""
""
""
""
""
""
""
""
""
""
""
""
""
76.0
25.0
""
58.0
""
31.0
38.0
31.0
198.0
""
""
23.0
78.0
""
""
""
""
104.0
139.0
25.0
""
46.0
64.0
""
""
88.0
165.0
""
133.0
""
""
510.0
55.0
""
""
""
""
32.0
809.0
""
""
765.0
105.0
""
""
""
""
""
""
""
""
22.0
86.0
""
69.0
""
29.0
868.0
3671.0
""
""
99.0
61.0
65.0
""
""
""
""
""
""
39.0
""
""
90.0
221.0
461.0
63.0
51.0
27.0
78.0
72.0
60.0
929.0
68.0
39.0
""
""
48.0
""
101.0
58.0
112.0
""
57.0
143.0
58.0
252.0
""
517.0
22.0
""
62.0
6310.0
247.0
24.0
312.0
""
559.0
32.0
438.0
1013.0
308.0
169.0
697.0
113.0
21.0
""
""
418.0
194.0
54.0
""
111.0
60.0
62.0
133.0
633.0
74.0
90.0
2631.0
64.0
8211.0
185.0
139.0
""
1122.0
280.0
110.0
108.0
190.0
110.0
1911.0
6950.0
2867.0
348.0
805.0
9956.0
362.0
179.0
61.0
409.0
95.0
""
217.0
396.0
445.0
243.0
73.0
110.0
454.0
22.0
41.0
229.0
25.0
""
59.0
100.0
119.0
530.0
109.0
633.0
2967.0
6017.0
124.0
417.0
200.0
155.0
190.0
114.0
27.0
88.0
47.0
61.0
870.0
24.0
115.0
60.0
51.0
""
200.0
""
""
""
""
""
""
20.0
""
""
""
""
""
61.0
""
""
34.0
""
23.0
""
30.0
23.0
""
""
""
83.0
""
""
23.0
""
""
""
""
38.0
34.0
22.0
33.0
63.0
""
848.0
46.0
117.0
271.0
824.0
44.0
25.0
171.0
2857.0
56.0
6098.0
127.0
2986.0
231.0
""
298.0
255.0
40.0
191.0
136.0
154.0
108.0
440.0
138.0
""
64.0
65.0
""
""
""
308.0
1356.0
116.0
280.0
""
""
24.0
20.0
""
96.0
156.0
""
""
223.0
72.0
175.0
36.0
70.0
2485.0
2593.0
6016.0
691.0
4540.0
6032.0
84.0
40.0
""
578.0
792.0
6486.0
2599.0
""
26.0
6544.0
1875.0
1508.0
52393.0
31.0
""
187.0
133.0
266.0
53.0
90.0
1012.0
93.0
751.0
38.0
693.0
553.0
20.0
""
73.0
""
""
""
77.0
34.0
1916.0
